character,dialog
RON STALLWORTH,They may have lost the Battle but they didn't lose The War.
BOVREGARD- KLAN NARRATOR,"Yes, Friends, We are under attack. You've read about it in your Local Newspapers or seen it on The Evening News. That's right. We're living in an Era marked by the spread of Integration and Miscegenation. The recent Brown Decision forced upon us by The Jewish controlled Puppets on the U.S. Supreme Court compelling White children to go to School with an Inferior Race is The Final Nail in a Black Coffin towards Americabecoming a Mongrel Nation."
BOVREGARD- KLAN NARRATOR,We had a great way of Life before The Martin Luther Coon's of The World…
BOVREGARD- KLAN NARRATOR,and their Army of Commies started their Civil Rights Assault on our Holy White Christian Values.
BOVREGARD- KLAN NARRATOR,Do you really want your precious White Child going to School with A Negro
STONEWALL KLAN CO-STAR,"They are Lying, Dirty Monkeys..."
BOVREGARD- KLAN NARRATOR,...Stopping at nothing to gain Equality with The White Man.
STONEWALL KLAN CO-STAR,"Ape like, Backwards..."
BOVREGARD- KLAN NARRATOR,"...Craving The Virgin, Pure Flesh of White Women."
STONEWALL KLAN CO-STAR,"Rapists, Murderers..."
BOVREGARD- KLAN NARRATOR,...and the Negro's insidious tactics under the tutelage of High Ranking Jews! Using an Army of outside...
STONEWALL KLAN CO-STAR,...Northern Black Beast Agitators...
BOVREGARD- KLAN NARRATOR,...determined to overthrow The God Commanded and Biblically inspired Rule of The White Race.
KLAN CO-STAR,It's an International... Jewish... Conspiracy.
RON STALLWORTH,"Before I moved to Colorado Springs, I never thought much about all these Racial, Political things...I was asleep..."
RON STALLWORTH,...not Woke but that would soon change.
CHIEF TAGGERT,Would you call yourself a Womanizer?
RON STALLWORTH,"No Sir, I would not."
MR. WOODS,Do you frequent Night Clubs?
RON STALLWORTH,No Sir.
CHIEF TAGGERT,Do you drink?
RON STALLWORTH,"On Special occasions, Sir."
MR. WOODS,Have you ever done any Drugs?
RON STALLWORTH,"Only those prescribed by My Doctor, Sir."
MR. WOODS,That's kind of rare these days for a young Hip Guy like you.
RON STALLWORTH,"I know but my Father was in The Military and I was raised up that way, Sir."
CHIEF TAGGERT,"How are you with people, generally?"
RON STALLWORTH,"Sir, they treat me right, I treat them right, like I already said I was raised..."
CHIEF TAGGERT,...Have you ever had any negative...
MR. WOODS,...What would you do if another Cop called you a Nigger?
MR. WOODS,"There's never been a Black Cop in this City. If we make you an Officer, you would, in effect, be the Jackie Robinson of the Colorado Springs Police force."
MR. WOODS,"And if you know anything about Jackie Robinson you know he had to take a lot of... guff... from his fellow Teammates, from Fans, other Teams, and The Press."
RON STALLWORTH,"I know Jackie's Story, Sir."
MR. WOODS,"Good. So, knowing that, when someone calls you Nigger will you be able to turn the other Cheek?"
RON STALLWORTH,"If I need to, yes, Sir."
MR. WOODS,Good. We think you might be The Man to open things up here. Chief Taggert here will be your Branch Rickey.
CHIEF TAGGERT,I'll have your back but I can only do so much. The Weight of this is on You...and You alone.
OFFICER CLOUGHERTY,Ron...
OFFICER CLOUGHERTY,Whatdoyouthink?
RON STALLWORTH,Faye Dunaway. She was great in Bonnie and Clyde.
OFFICER CLOUGHERTY,"Yeah, but ah, what you think?"
RON STALLWORTH,She's a very good Actress.
OFFICER CLOUGHERTY,Y'know you want some of that.
OFFICER CLOUGHERTY,Truth be told when I see one of your kind with a White Woman it turns my Stomach.
RON STALLWORTH,Yeah. Why's that?
OFFICER CLOUGHERTY,He could only want one thing.
RON STALLWORTH,What would that be?
OFFICER CLOUGHERTY,"You like acting dumb, Y'know."
RON STALLWORTH,"No, I just like my questions to be answered."
WHEATON,Hey! Anybody in there? Looking for a Toad here.
WHEATON,Get me the record for this Toad named Raymond Jackson.
WHEATON,"While you're at it, why don't you grab another Toad... Steven Wilson."
RON STALLWORTH,"While I've got you both here. Sirs, I'd like to be an Undercover Detective."
CHIEF TAGGERT,What Narcotics?
RON STALLWORTH,"Whatever Department works, Sir."
SGT. TRAPP,"You just joined The Force, Son."
RON STALLWORTH,"I know, Sir but I think I could do some good there."
SGT. TRAPP,How so?
RON STALLWORTH,"Well, I'm young. I think there's a niche for me. Get In where I can Fit In."
SGT. TRAPP,"What do you think, Chief?"
CHIEF TAGGERT,"Think a lot of yourself, don't cha?"
RON STALLWORTH,"Just trying to be of help, Sir."
RON STALLWORTH,"Plus, I hate working in The Records room."
CHIEF TAGGERT,"Well, I think Records is a good place for you to start."
SGT. MORRIS,Need a File on a Toad.
SGT. MORRIS,You Deaf? I said I need info on a Toad.
RON STALLWORTH,No Toads here.
SGT. MORRIS,Excuse me?
