character,dialog
ALAN TURING,Are you paying attention?
ALAN TURING,"Good. This is going to go very quickly now. If you are not listening carefully, you will miss things. Important things. You’re writing some of this down? That’s good."
ALAN TURING,"I will not pause, I will not repeat myself, and you will not interrupt me. If you ask me a question, I will ignore it. You think that because you’re sitting where you are, and I am sitting where I am, that you are in control of what is about to happen. You’re mistaken. I am in control, because I know things that you do not know."
ALAN TURING,"What I will need from you now is a commitment. You will listen closely, and you will not judge me."
ALAN TURING,"When I am finished — when I have told you that I am finished — you are free to think whatever you like. But until then, you will trust that while this story will be hard for you to understand, everything I am saying I am saying for a reason."
ALAN TURING,"If you cannot commit to this, then please leave the room. That’s right, you’re the one who’s free to go. But if you choose to stay, if you choose to listen, remember this: If things happen that you do not like, you chose to be here."
ALAN TURING,What happens from this moment forward is not my responsibility: It’s yours.
ALAN TURING,This will go quite fast now.
SGT. STAEHL,"Bit late, don’t you think?"
DETECTIVE NOCK,"The baby. Up all night, hollering and crying. June says it’s collick."
SGT. STAEHL,"Turing, Alan. Professor at King’s. Seems there’s been a robbery."
DETECTIVE NOCK,What of?
SGT. STAEHL,"That’s just it. Nothing’s missing, really."
DETECTIVE NOCK,"No, what’s he a professor of?"
SGT. STAEHL,"Maths. Or, as he put it, “ordinal logic, with a dose of number theory.”"
DETECTIVE NOCK,What’s he doing in Manchester?
SGT. STAEHL,"Something with machines. Project at the NPL, I checked, but he won’t say what it’s on."
DETECTIVE NOCK,"He’s a bit squirrely then, our Professor Turing?"
SGT. STAEHL,That’s putting it mildly.
DETECTIVE NOCK,Professor Turing? Professor Turing? My name is Detective Nock. Manchester Police. Sergeant Staehl here tells me you’ve had a robbery last night. Professor Turing
DETECTIVE NOCK ,Professor —
ALAN TURING,"— I would step back, if I were you."
DETECTIVE NOCK,Pardon me?
ALAN TURING,"Step back, and don’t breathe so much."
DETECTIVE NOCK,Breathe?
ALAN TURING,You’re breathing heavily and you’re going to inhale this junk and you’re going to leave your collicky son without a father.
ALAN TURING ,Sound carries in this house.
DETECTIVE NOCK,What is all that?
ALAN TURING,Cyanide. Undiluted. Wouldn’t take more than a thimbleful to kill you.
ALAN TURING,Oh. Disappointing.
DETECTIVE NOCK,Pardon?
ALAN TURING,I’d hoped for a bit more.
DETECTIVE NOCK,"Sergeant Staehl, is it just me, or do you get the sense that we’re being insulted?"
ALAN TURING,"You lied to your friend here about your son, which is just unseemly. Collick didn’t keep you up all night. Drink did. You’ve bags under your eyes the size of strawberries. Your topcoat reeks of whiskey. You’re short of breath after walking 30 paces. And I believe Manchester United had a match yesterday, yes? I could hear the shouting from Simpson’s on my way home."
DETECTIVE NOCK,... We won by four. Would’ve been unseemly not to celebrate.
SGT. STAEHL,"You had a break in last night. Your neighbor, a Mr. Springborn, called to report the noise. Only you say there’s nothing missing. Odd. So how about it — You tell us what happened, and we find the chap who did this."
ALAN TURING,"Gentlemen, I don’t think you could figure out who broke into my house if he walked up and spat in your face. What I could really use at the moment is not a bobby but a good cleaning lady. So unless one of you has an apron in your car, I’d suggest that you file your reports and leave me alone."
DETECTIVE NOCK,"... As you say, Professor Turing. Best of luck with your cyanide."
SGT. STAEHL,I’ll give you a bob if you can name me a more insufferable sod.
DETECTIVE NOCK,"Curious, isn’t he?"
SGT. STAEHL,"Oh, you’ve a soft spot for the bastard ‘cause he called you on your drink? Which, while we’re on the subject —"
DETECTIVE NOCK,"— Seemed a bit forced though, didn’t it?"
SGT. STAEHL,Don’t know what you mean.
DETECTIVE NOCK,"If you didn’t want a pair of bobbies digging around in your personal affairs, well, that would have been a stellar way to see that they don’t. Tell me you don’t think this is suspicious."
SGT. STAEHL,I don’t think this is suspicious.
DETECTIVE NOCK,A mysterious professor who won’t admit he’s had something stolen from his flat?
SGT. STAEHL,What’re you suggesting?
DETECTIVE NOCK,I’m suggesting that Alan Turing is hiding something.
COMMANDER DENNISTON,— What are you doing here?
ALAN TURING,The girl told me to wait —
COMMANDER DENNISTON,In my office? She tell you to help yourself to a cup of tea while you were here?
ALAN TURING,No. She didn’t.
COMMANDER DENNISTON,"She didn’t tell you what a joke is then either, I gather."
ALAN TURING,Was she supposed to?
COMMANDER DENNISTON,For Christ’s sake — who are you?
ALAN TURING,Alan Turing.
COMMANDER DENNISTON,"Turing... Let me see... Oh, Turing. The mathematician"
ALAN TURING,Correct.
COMMANDER DENNISTON,How ever could I have guessed?
ALAN TURING,You didn’t. It was written on your paper.
COMMANDER DENNISTON,"... King’s College, Cambridge. Says here you were a bit of a prodigy in the maths department."
ALAN TURING,"I’m not sure I can evaluate that, Mr... ?"
COMMANDER DENNISTON,"How old are you, Mr. Turing?"
ALAN TURING,27.
COMMANDER DENNISTON,How old were you when you became a fellow at Cambridge?
ALAN TURING,24.
COMMANDER DENNISTON,"And how old were you when you published this paper here, that has a title I can barely understand, which apparently got you this fellowship?"
ALAN TURING,23.
COMMANDER DENNISTON,And you don’t think that qualifies you as a certified prodigy?
ALAN TURING,"Rather depends on how old my peers were when they did comparable work, doesn’t it?"
COMMANDER DENNISTON,And how old were they?
ALAN TURING,Newton discovered the binomial theorem at 22. Einstein published four papers that changed the world at 26. As far as I can tell I’ve barely made par.
COMMANDER DENNISTON,"You’re serious, aren’t you?"
ALAN TURING,Would you prefer I make a joke?
COMMANDER DENNISTON,Not sure you know what those are.
ALAN TURING,"It hardly seems fair that that would be a requirement for employment here, Mr...?"
COMMANDER DENNISTON,"Commander Denniston, of the Royal Navy. All right, Mr. Turing, I’ll bite. Why do you want to work for His Majesty’s government?"
ALAN TURING,"Oh, I don’t, really."
COMMANDER DENNISTON,"Are you a bleeding pacifist, Turing?"
ALAN TURING,I’m agnostic about violence.
COMMANDER DENNISTON,But you realize that 600 miles from London there’s this nasty chap named Hitler who’s looking to engulf Europe in tyranny?
ALAN TURING,Politics is not my area of expertise.
COMMANDER DENNISTON,I believe you’ve just set a record for the shortest job interview in British military history.
ALAN TURING,Mother says that I can be off- putting sometimes. On account of being the best mathematician in the world.
