character,dialog
MILES,...the fuck...
MILES,Yeah?
RAUL,"Hi, Miles. Can you move your car, please?"
MILES,What for?
RAUL,"The painters got to put the truck in, and you didn’t park too good."
MILES,"Yeah, hold on."
MILES,Fuck!
MILES,"Yeah, no, I know I said I’d be there by noon, but there’s been all this work going on at my building, and it’s like a total nightmare, and I had a bunch of stuff to deal with this morning. I’m out the door right this second. It’s going to be great. Yeah. Bye."
BARISTA,"Hey, Miles."
MILES,"Hey, Simon. Triple espresso, please."
SIMON,"Rough night, huh? For here?"
MILES,"No, I’m running late. Make it to go. And give me a New York Times and...a spinach croissant."
MRS. ERGANIAN,Look what the cat dragged!
MILES,"Hi, everybody."
JACK,"About time you got here, bud. Mr. Prompt."
MR. ERGANIAN,We were thinking maybe you took the wrong way and went to Tijuana and they didn’t let you back in.
MILES,I had to bribe them.
CHRISTINE,"Hey, Miles."
MILES," Seriously though, the 405 was unbelievable today. Unbelievable. Bumper to bumper the whole way. People getting an early start on the weekend, I guess. Granted I got a late start, but still."
MRS. ERGANIAN,"Christine, why don’t you ask Miles about the cake?"
CHRISTINE,"Oh. Good idea. Here, Miles, come to the kitchen with me."
JACK,Oh hey. Don’t bother him with that. We got to get going.
CHRISTINE,It’ll just take a second.
MRS. ERGANIAN,Jack tells us you are publishing a book. Congratulations.
MILES,"Yeah, well, it’s not exactly finalized yet, but, um, there has been some interest and --"
MRS. ERGANIAN,Your friend is modest.
JACK,"Yeah, Miles, don’t be so modest. Indulge them. Don’t make me out a liar."
MR. ERGANIAN,What subject is your book? Non- fiction?
MILES,"No, it’s a novel. Fiction. Although there’s a lot from my own life, so I guess technically a lot of it is non-fiction."
MR. ERGANIAN,I like non-fiction. There is so much to know about the world that I think reading a story someone just invented is kind of a waste of time.
CHRISTINE,So which one do you like better?
MILES,I like them both.
JACK,See?
JACK,"Where the fuck were you, man? I was dying in there. We were supposed to be a hundred miles away by now."
MILES,I can’t help the traffic.
JACK,Come on. You’re fucking hungover.
MILES,"Okay, there was a tasting last night. But I wanted to get us some stuff for the ride up. Check out the box."
MILES,Why did you tell them my book was being published?
JACK,You said you had it all lined up.
MILES,"No, I didn’t. What I said was that my agent heard there was some interest at Conundrum..."
JACK,"Yeah, Conundrum."
MILES,"...and that one of the editors was passing it up to a senior editor. She was supposed to hear something this week, but now it’s a week, and... It’s always like this. It’s always a fucking waiting game."
JACK,I don’t know. Senior Editor? Sounds like you’re in to me.
MILES,"It’s a long shot, all right? I’ve been rejected by seventeen other publishers, and I’m not getting my hopes up again. And Conundrum is just a small specialty publisher anyway. I’ve stopped caring. That’s it. I’ve stopped caring. So just do me a favor -- don’t bring it up again."
JACK,"Well, I had to tell her parents something. I mean hey, I’m proud of you. But Christine’s parents, they sort of, you know, they kind of play in the big leagues, and they like people with a little ambition.  And you have it, man. You have it. I just --"
MILES,Don’t open that now. It’s warm.
JACK,"Come on, we’re celebrating. I say we pop it."
MILES,That’s a 1992 Vintage Byron. It’s sacrilegious.
MILES,See what I mean? It’s pissed off.
JACK,Shut up. Here’s to a great week.
MILES,Absolutely. An outstanding week. I’m glad we’re getting this time together.
JACK,"Oh, that’s tasty."
MILES,100% Pinot Noir. Single vineyard.
JACK,Pinot Noir? How come it’s white?
MILES,Jesus! Don’t ask questions like that up in wine country. They’ll think you’re a moron.
JACK,Just tell me.
MILES,"Color in red wines comes from the skins. This juice is free run, so there’s no skin contact in the fermentation, ergo no color."
JACK,Sure is tasty.
MILES,"Did you read the latest draft, by the way?"
JACK,Oh yeah. Yeah.
MILES,And?
JACK,"I liked it a lot. A lot of improvements. It just seemed overall, I don’t know, tighter, more... congealed or something."
MILES,How about the new ending? Did you like that?
JACK,Oh yeah. Much better.
MILES,There is no new ending. Page 750 on is exactly the same.
JACK,"Well, then I guess it must have felt new because everything leading up to it was so different."
JACK,What the fuck? It’s Christine. Hey you.
CHRISTINE,You guys having fun?
JACK,Yeah. All five minutes so far have been a blast.
CHRISTINE,Good. That’s good.
JACK,So what’s up?
CHRISTINE,"Just seeing how you’re doing. And, um, Mom and I were starting to look over the seating charts again, and we’re wondering if you wanted Tony Levin to sit next to the Feldmans, or should he be at one of the singles tables? So what do you think? With the Feldmans?"
JACK,"Yeah, the Feldmans."
CHRISTINE,The problem with that is that then there’s one extra --
JACK,"Well, then put him at the singles table."
JACK,Then put him with the Feldmans. I don’t care. Whatever you and your Mom decide is fine with me.
CHRISTINE,Don’t dismiss me. I’m trying to include you in this decision. He’s your friend.
JACK,"I didn’t dismiss you. I told you what I thought, but it didn’t seem to matter, so you decide. And this is supposed to be my time with Miles anyway, so please try not to call every five minutes."
CHRISTINE,"I’m not going to call every five minutes, but this is important"
JACK,"Look, all I know is I just got on the road with my best man, and you call before we’re even on the freeway. I just hope you’re going to give me a little space before the wedding. Isn’t that the point of this? Isn’t that what we talked about with Dr. Gertler?"
CHRISTINE,Why are you being so defensive?
JACK,Because I feel attacked.
CHRISTINE,"So now I’m attacking you. I ask you one simple question, and suddenly I’m attacking you."
JACK,"Listen. I’ll call you when we get there, and we’ll talk about it then, okay? Okay?"
JACK,I love you.
JACK,Fucking Bride-zilla!
MILES,You invited Tony Levin?
JACK,Why are we getting off?
MILES,Um...I’ve just got to make one quick stop. Won’t take a second.
JACK,What?
MILES,My mother. She’s here in Montecito. Right off the freeway.
JACK,"Your mother? Jesus, Miles, we’re supposed to be up there already."
MILES,"It’s her birthday tomorrow. And I don’t feel right driving by her house and not stopping in to say happy birthday, okay? It’ll just take a second."
JACK,How old?
MILES,Um...seventy...something.
JACK,Did you get her a present?
MILES, I’ll just give her a bottle.
JACK,"A bottle? That’s no present for your mother. She gave birth to you, for Christ’s sake."
MILES,I’m supposed to thank her for that?
JACK,I’ll be right back.
JACK,"Fuck, I forgot."
JACK,"Here, sign this."
MILES,"Happy birthday, Mom."
JACK,"Yeah, happy birthday."
PHYLLIS,"My God. Miles. And Jack! What a surprise. I can’t remember the last time you brought me flowers, Miles."
JACK,They’re from both of us.
PHYLLIS,A famous actor bringing me flowers on my birthday. Don’t I feel special?
MILES,A famous actor who’s getting married next week.
PHYLLIS,"Oh, that’s right. Isn’t that nice. I hope that girl knows how lucky she is, marrying no less than Derek Summersby."
JACK,"Jeez, Mrs. Raymon, that was eleven years ago."
PHYLLIS,"Well, you were wonderful on that show. I never understood why they had to give you that brain tumor so soon. Why that didn’t make you the biggest movie star in the world is a sin. It’s a sin"
JACK,"Yeah, well, you should be my agent."
PHYLLIS,"If I was, I would sing your praises up and down the street until they put me in the loony bin. Now Miles, why didn’t you tell me you were coming and bringing along this handsome man? Look how I’m dressed. I’ve got to run and put my face on."
JACK,"You look fabulous, Mrs. Raymond."
PHYLLIS,"Oh, stop it. Make yourselves comfortable. Have you eaten yet?"
MILES,No.
JACK,"We’re not going to stay too long, right?"
MILES,Yeah. We’ll just hang out a little while and hit the road.
JACK,Okay. Cool.
MILES,"Let me show you something. The secret to opening champagne is that once the cork is released, you keep pressure on it so you don’t --"
JACK,Just a second.
PHYLLIS,Ready for my close up!
PHYLLIS,"Oh, champagne! Miles, why don’t you bring that out onto the lanai? I thought we could eat on the lanai."
JACK,"Mrs. Raymond, this is delicious. Absolutely delicious."
PHYLLIS,They’re just leftovers. I could have made something fancier if a certain someone had let me know that a certain someone was coming for a visit with a certain special friend. Could have made my pork roast.
MILES,"It’s a surprise, Mom."
PHYLLIS,"And I could have already put clean sheets on the other bed and the fold-out. You are staying. Wendy, Ron, and the twins are picking us up at 11:30 to go to Sunday brunch at the Sheraton. They do a magnificent job there. Wendy is so excited you’re here."
MILES,You talked to Wendy?
PHYLLIS,Just now. She’s so thrilled. And the kids.
MILES,"Yeah, well. You know, Jack’s pretty eager to get up to... you know, but, uh, yeah. We’ll see how it goes."
PHYLLIS,"Well, you boys do what you want. I just think it would be nice for us to be together as a family."
MILES,Uh-huh. I’ll be right back.
MILES,"Seven, eight, nine, ten, eleven, twelve, thirteen, fourteen, fifteen... Sixteen."
PHYLLIS,"And what was that other one you did, the one where you’re the jogger?"
JACK,"Oh, that was for, uh, wait...That was for Spray and Wash."
PHYLLIS,Spray and Wash. That’s the one.
JACK,"Yeah, I remember the girl who was in it with me. Yikes, she was something."
PHYLLIS,I don’t remember her. I just remember you jogging.
PHYLLIS,How come a handsome man like you is not married yet?
MILES,"Jack’s getting married next week, Mom, remember?"
JACK,And Miles is my best man. My main man.
PHYLLIS,"Yeah, yeah. And your wife works in real estate. With her father. Of course I remember. Miles, when are you going to get married again?"
MILES,"Mom, I just got divorced."
PHYLLIS,You and Victoria should get back together. She was good for you. Because I saw something on TV about how people who live alone and don’t believe in God live shorter lives.
PHYLLIS,"Much shorter. She was good for you. And so beautiful and intelligent. You knew her, right?"
JACK,"Oh, yeah. Very well. Still do."
