character,dialog
VAN NEUMANN,Mathematicians won the war ...
VAN NEUMANN,Mathematicians broke the Japanese codes and built the A-bomb ...
VAN NEUMANN,Mathematicians like you ...
VAN NEUMANN,"But peace's flame burns all too briefly. Atomic weapons are within Stalin's reach. You are the vanguard of democracy and freedom. Today, we bequeath America's future into your able hands. Welcome to Princeton."
SHAPELY,Milnor's gonna get the brass ring if it kills him.
ZWEIFEL,He's used to pretty metal. Silver spoon.
ZWEIFEL,It's not enough he won the Carnegie scholarship.
SHAPELY,Has to have it all for himself.
SHAPELY,He's set his sights on the new military think tank at RAND.
ZWEIFEL,They only recruit the best brain from each class.
SHAPELY,Milnor's used to being picked first. Shapely. Symbol Cryptography.
ZWEIFEL,Shapes broke a Jap code. Helped rid the world of Fascism. Least that's what he tells the girls.  Zweifel. Atomic physics. And you are ...
FOX,Am l late?
SHAPELY,Yes.
ZWEIFEL,Yes.
FOX,Hi. I'm Fox.
MILNOR,"Ah the burden of genius. So many supplicants, so little time."
MILNOR,I'll take a white wine.
NASH,Excuse me.
MILNOR,"A thousand pardons. I simply assumedyou were the waiter.
"
FOX,"Play nice, Milnor."
SHAPELY,Nice is not Milnor's strong suit.
MILNOR,An honest mistake. What with those war ration shoes 
NASH,It's not your first mistake. I read your brief on Nazi ciphers.
FOX,Who was that masked man?
MILNOR,Gentlemen meet John Nash. The mysterious West Virginia genius. The other winner of the distinguished Carnegie scholarship.
CHARLES,The prodigal roommate arrives.
NASH,Roommate?
CHARLES,Did you know that a hangover is not having enough water in your body to run your krebs cycle?
CHARLES,Which is exactly what happens when you die of thirst.
CHARLES,So dying of thirst would feel like the hangover that finally kills you.
CHARLES,"Nash, right? Happy to meet you."
CHARLES,Officially almost human again.
CHARLES,"Officer, I saw the driver who hit me. His name was Johnny Walker."
CHARLES,I got in last night. Right in time for English Department cocktails. The cock was mine. The tail belonged to a lovely young thing with a passion for D.H. Lawrence.
CHARLES,"Not easily distracted, are you?"
NASH,I'm here to work.
CHARLES,I see.
NASH,Hey
CHARLES,Is my roommate a dick?
CHARLES,"If we can't break the ice, how about we drown it?"
CHARLES,So how's it go? You the poor boy who didn't go to Harvard or Yale ...
NASH, That's me. Big chip.
CHARLES,Or the nerdy kid the other kids only liked for his brains?
NASH,"My first grade teacher wrote, John has a beautiful mind. I was five."
CHARLES,Lots of smart people around here.
NASH,But that's all I am. Smart. I'm not warm. I don't do people well.
NASH,Half these guys already published. I can't waste time with books or classes. I have to come up with a truly original idea. It's the only way  I'll distinguish myself. It's the only way I'll ...
CHARLES,Matter.
CHARLES,The cookies help.
HORNER,The Russians stated goal is worldwide communism .
HORNER,It is on us to stop them. What we are looking for here is math with practical application. Morse's dot and dash. Einstein's torn atom. Numbers that can change the world.
HORNER,"Results, gentleman. Publishable. Applicable. Results ..."
HORNER,This is an actual Russian Air Force code. Can you break it? Mr. Shapely you're disqualified.
HORNER,All right complete the sequence! Go!
MILNOR,Seven.
HORNER," Good. Again. Hurry, their MIG 15's are heading our way."
HORNER,(scrawls more) Again. They' re closing in on the Capitol.
MILNOR,Six
HORNER, Again. You can hear the roar of their Tupolevs
MILNOR,Seven
HORNER, The warheads are armed.
MILNOR,"Seven, seven, one."
HORNER,Washington owes you a debt of gratitude Mr. Milnor. Good work.
HORNER,"From now on, this is how you will think of numbers. Not as theory. Not as abstraction. As weapons."
HORNER,My name is Lew Horner and I will be your teacher. Welcome to Mathematics in Thought and Action.
HORNER,Where the hell is ... Nash?
MILNOR,He's looking for his original idea.
VAN NEUMANN,We study games to study strategic behavior in conflict ...
VAN NEUMANN,"Thank you for stopping by Mr. Fox. Put simply, the study of games is the study of war ..."
VAN NEUMANN,"Good day, Mr Nash. Care to join?"
NASH,Classes dull the mind and destroy authentic creativity. No offense.
MILNOR,John's going to stun us all with his original idea.
ZWEIFEL,Psy-cho.
MILNOR,Which is another way of saying he doesn't have the nerve to compete.
MILNOR,Scared?
MILNOR,"Let me ask you something, John."
NASH,"Be my guest, Martin."
MILNOR,Fox and Zweif correctly predicted stress fractures on Yeager's X-1
NASH,Adequate work without innovation.
FOX,I'm flattered. Are you flattered?
ZWEIFEL,Flattered.
MILNOR,I've got two weapons briefs under security review by the DOD.
NASH,Derivative drivel.
MILNOR,But Nash achievements: zero.
NASH,Is there an actual question coming?
MILNOR,What if you never come up with your original idea? How will it feel when I'm chosen for RAND and you're not?
MILNOR,What if you lose?
NASH,You shouldn't have won. The game is flawed.
MILNOR,"Ah, the hubris of the defeated."
MILNOR,"Gentlemen, the great John Nash."
ZWEIFEL,What the hell.
SHAPELY,"John, take it easy."
ZWEIFEL,He's totally lost it.
