character,dialog
ANNE,Dad?
ANNE,Dad? It’s me... Are you there? Dad?
ANNE,"Ah, there you are."
ANTHONY,What are you doing here?
ANNE,What do you think?
ANNE,So? What happened?
ANTHONY,Nothing.
ANNE,Tell me.
ANTHONY,I just did. Nothing happened.
ANNE,Nothing happened?
ANNE,I’ve just had her on the phone.
ANTHONY,So? What does that prove?
ANNE,You can’t go on behaving like this.
ANTHONY,"It’s my flat, isn’t it? I mean, this is incredible. You burst in on me as if... I’ve no idea who she is, this woman. I never asked her for anything."
ANNE,She’s here to help you.
ANTHONY,To help me do what? I don’t need her. I don’t need anyone.
ANNE,She told me you’d called her a little bitch. And I don’t know what else.
ANTHONY,Me?
ANTHONY,Could be. I don’t remember.
ANNE,She was in tears.
ANTHONY,"What, just because I called her a..."
ANNE,No. She told me you threatened her. Physically.
ANTHONY,"Physically? Me? Obviously she has no idea what she’s talking about. This woman is raving mad, Anne. Best if she does leave, believe me."
ANTHONY,Especially as...
ANNE,As what?
ANTHONY,"Listen... I didn’t want to tell you... but if you must know, I suspect she was..."
ANTHONY,She was stealing from me.
ANNE,Angela? Of course not. What are you talking about?
ANTHONY,I’m telling you. She stole my watch.
ANNE,Your watch?
ANTHONY,Yes.
ANNE,Isn’t it more likely you just lost it?
ANTHONY,"No, no, no. I already had my suspicions. So I set a trap for her. I left my watch somewhere, out in the open, to see if she’d pinch it."
ANNE,Where? Where did you leave it?
ANTHONY,Mm? Somewhere. Can’t remember. All I know is it’s nowhere to be found. That girl stole it. I know she did.
ANTHONY,What’s the matter?
ANNE,I don’t know what to do.
ANNE,"We have to talk, Dad."
ANTHONY,"That’s what we’re doing, isn’t it?"
ANNE,"I mean, seriously. This is the third one you’ve..."
ANTHONY,"I said, I don’t need her! I don’t need her or anyone else! I can manage very well on my own!"
ANNE,"She wasn’t easy to find, you know. It’s not that easy. I thought she was really good. A lot of good qualities. She... and now she doesn’t want to work here any more."
ANTHONY,You’re not listening to what I’m telling you. This girl stole my watch! I’m not going to live with a thief.
ANNE,Have you looked in your bathroom cupboard?
ANTHONY,What?
ANNE,In your bathroom cupboard. Behind the boiler. Where you hide your valuables.
ANTHONY,How do you know?
