character,dialog
RADIO,"Angela Rose, do you copy?"
RUBY,"OK, copy."
RADIO,Are you guys coming in?
ARTHUR,"I see you, Ruby! I’m cutting off your ice! I’m not a freaking charity!"
RUBY,It’s coming!
TONY,How you doing honey?
BRADY,"Hey, Ruby! I thought you guys were fishing First Ledge. You’re done already for the day?"
RUBY,Piece of shit quotas.
BRADY,"Bullshit quotas, right? What are you gonna give her on those haddock, two bucks a pound?"
TONY,Two-fifty and I’m being generous.
RUBY,Two-fifty? What’re you guys getting at auction?
TONY,"Calm ya livah, honey, you let me worry about the numbers. Sign over here."
BRADY,What’re you gonna take her lunch money too?
RUBY,What a dick.
LEO,"I keep saying, let’s sell our own fish."
FRANK,They tried it down the Cape. That all went to hell.
LEO,So keep bitching. That’ll work.
RUBY,Gotta go. Love you Daddy.
FRANK,Don’t forget about the doctor. And the nets.
RUBY,I know. Bye shit-face.
LEO,Bye twat waffle.
RUBY,Twat waffle. That’s a new one! That’s good.
MS. SIMON,"Where the Bill of Rights protected people from the federal government, Amendments 13, 14, and 15 protected them from their state governments..."
MS. SIMON,"Sadly, there was no amendment protecting the right to nap - Ruby!"
RUBY,What’s wrong?
MS. SIMON,"Ok, let’s re-read and we will resume this tomorrow. You are free to go!"
GERTIE,Guess what!
RUBY,What?
GERTIE,I did it. I hooked up with Tiny Fingers.
RUBY,Why?!
GERTIE,"I don’t know! Curiosity got the better of me. Also, totally wrong. Despite those little baby hands..."
RUBY,Really?!
GERTIE,"Yeah, we have to change the nickname."
AUDRA,Do you smell fish?
GERTIE,"Well, at least she’s not doing deaf voice anymore. That’s progress."
GERTIE,The goal is to find the elective that asks the least of you.
GERTIE,"Plus, Mr. Wabatch is actually pretty hot, you know. In a Comic Con kind of way."
MILES,"Yeah, choir please."
RUBY,Choir.
GUIDANCE COUNSELOR,Okay. Just fill this out.
GERTIE,Choir?! Are you high?
RUBY,I sing all the time!
GERTIE,"You’re already socially challenged enough around here, but sure... If you start, you know, beat- boxing, or doing that cup/clapping thing, we’re done, yeah?"
RUBY,Turn that down! It’s loud.
JACKIE,You didn’t change after fishing? You stink.
FRANK,I love this song. Feel that beat. My whole ass is vibrating.
RUBY,Just drive please!
FRANK,It’s definitely itchy as hell.
RUBY,It itches.
FRANK,My nuts are on fire.
RUBY,"His, you know..."
FRANK,They’re like angry hard little beets. Covered in barnacles.
RUBY,I got it.
FRANK,And your mother’s got it even worse. Like a boiled lobster claw.
DOCTOR,"Right, so the layman’s term for what you both have is “jock itch.” It’s common if you spend a lot of time in damp clothes. And it’s easily transferable via intercourse."
RUBY,You guys have jock itch.
DOCTOR,I’ll give you an antifungal cream. But you both have to keep the area dry and avoid sex for two weeks.
