character,dialog
MONK,OK. Let's begin.
MONK,Who wants to start?
MONK,"Yes, Brittany. Kick it off."
BRITTANY,"I don't have a thought on the reading, I just think that that word on the board is wrong."
MONK,"No, it still had two Gs last I checked."
BRITTANY,It's not funny. We shouldn't have to stare at the n-word all day.
MONK,"Listen. This is a class on the literature of the American South. You’re going to encounter some archaic thoughts, coarse language, but we're all adults here, and I think we can understand it in the context in which it's used."
BRITTANY,"Well, I just find that word really offensive."
MONK,"With all due respect, Brittany, I got over it. I’m pretty sure you can, too."
BRITTANY,"Well, I don't see why."
MONK,"Now, does anyone else have thoughts on the reading?"
LEO,"Well, it made some of your students uncomfortable, Monk."
MONK,When did they all become so goddamn delicate?
MANDEL,This wasn’t an isolated incident.
MONK,What?
GILDA,Last month you asked a student if his family had been Nazis.
MONK,"Yeah, I did. He’s German. We were reading “The Plot Against America.” And trust me, from the way he was squirming, they were."
LEO,"Monk, you are a very talented writer. We’re fortunate to have you here --"
MANDEL,What? He hasn’t published in years. I’ve written three novels since the last time you published.
MONK,This is true. And the speed with which you write only proves that good things take time.
MANDEL,"Oh, go to hell, Monk!"
LEO,"Enough. Enough! Relax, Mandy."
MONK,"Yeah, relax, Mandy. And anyway, my new book is in with Ecco and my agent says they’re very excited about it."
LEO,That’s great to hear. What’s it about?
GILDA,"Can we stop stalling, Leo."
LEO,"Uh, listen, Monk, we’d like to give you a break."
MONK,A break?
LEO,Just some time off.
MANDEL,Mandatory time off.
LEO,"It’s just, you’re already going to Boston for the festival, right? Why don’t you just stay there for a couple weeks?"
MONK,Because I hate Boston. My family’s there.
LEO,"Well, you need some time to relax. You’re on edge, man."
MONK,And you’re under the impression that time spent with my family will take the edge off. I’m fine.
MANDEL,You’re not fine. I saw you crying in your car last week. He punched the steering wheel.
MONK,"You know, if you spent less time spying on me you could probably write a dozen more novels that people buy in airports, with their neck pillows, and Cheez-Its."
MANDEL,"Oh, here we go! You want to get dirty, doggy?! Okay, well, enjoy Boston! You can get my book at the airport! Oh, and good luck with Ecco!"
MONK,Hello?
ARTHUR,Welcome back. How’s it feel to be home?
MONK,Great. I've already had a man in a Bruins jersey ask me if I think I'm better than him.
ARTHUR,That's good luck here. That's Boston's version of a ladybug landing on you.
MONK,Any news?
ARTHUR,Patrick at Ecco is passing. But who fucking cares -- he's an old alcoholic.
MONK,What is that? Nine now?
ARTHUR,"He said... ""This book is finely crafted, with fully developed characters and rich language, but one is lost to understand what this reworking of Aeschlyus' The Persians has to do with the African-American experience."""
MONK,And there it is.
ARTHUR,They want a black book.
MONK,They have one. I'm black and it's my book.
ARTHUR,You know what I mean.
MONK,"You mean they want me to write about a cop killing some teenager, or a single mom in Dorchester raising five kids."
ARTHUR,Dorchester's pretty white now. But yes.
MONK,Jesus Christ. Do you know that I don't even really believe in race?
ARTHUR,Yeah. The problem is that everyone else does.
ARTHUR,"Anyway, have fun at the book festival. And just don’t insult anyone important. Please."
AUTHOR,...and writing from a historical perspective doesn't mean you can't make work that doesn't resonate with today's audiences. I think of things like Game of Thrones as proof that nerds like us can still find great success.
MODERATOR,Unfortunately we’re going to have to end it there. Thank you to our authors and thanks to all of you for attending.
MONK,"Is it just me, or was this small, even for a book festival?"
MODERATOR,"Yeah, it's because we're up against Sintara."
MONK,Who?
MODERATOR,Sintara Golden. You haven't read her?
MONK,No. What's her book called?
MODERATOR,"Raves everywhere: the Post, Bookforum, the Times. The London Review of Books said, ""'We's Lives in Da Ghetto' is a heartbreaking and visceral debut."" Plus, a little birdie told me that perhaps there's a TV adaptation in the works?"
SINTARA,No comment.
MODERATOR,OK. It was worth a shot. Tell us: What was your life like before you were an author?
SINTARA,"I did undergrad at Oberlin and moved to New York the day after graduation. And, a couple months later, I was an assistant at a publisher."
MODERATOR,And did that assistant experience shape your writing?
SINTARA,"Absolutely. I was a ""first reader,"" meaning I would read all the manuscripts in the slush pile and send them up the ladder if they were any good. Some of them were great, most were not."
