character,dialog
AUGUST,The attacks were originally attributed to ghosts and demons.
AUGUST,"When the women woke up feeling drowsy and in pain, their bodies bruised and bleeding, many believed they were being made to suffer as punishment for their sins. Many accused the women of lying for attention or to cover up adultery."
SALOME,Hundreds of times. All of us.
ONA,They said we were dreaming. But then we realized that we were dreaming one dream and it wasn’t a dream at all.
SALOME,They told us that it was Satan. Or the result of wild female imagination.
ONA,I’m glad you’re back August. It’s good that you came back.
NEITJE,“Do nothing.”
SALOME,“Stay and fight.”
SALOME,"""Leave""."
NEITJE,"""Leave""."
AUGUST,"I have been in love with Ona Friesen for most of my life. This morning she found me, having lost my faith in everything."
ONA,August.
ONA,Where are you going?
AUGUST,Nowhere.
ONA,Early this morning I saw a squirrel and a rabbit.
AUGUST,Oh.
ONA,"The squirrel charged the rabbit. Just as the squirrel was about to make contact with the rabbit, the rabbit leapt straight up into the air. Then the squirrel turned around and charged the rabbit from the other direction and the rabbit
leapt into the air and the squirrel missed."
ONA,They were playing!
AUGUST,Is that so?
ONA,"Maybe I wasn’t meant to have seen them playing. It was very early in the morning, and I was the only one roaming around."
AUGUST,But you really saw that?
ONA,Yes. I saw it with my own eyes.
ONA,We need you.
AUGUST,What do you need me for?
ONA,We need you to take the minutes of our meeting.
AGATA,"We must honour our service to each other. We must represent it. Just as the feet of the disciples were washed by Jesus at the Last Supper, knowing that his hour had come."
AUTJE,Stop. You’re tickling me.
NEITJE,God bless you.
AUGUST,"At this moment in time, most of the men are gone from the colony. All of the able bodied men, excluding those in wheelchairs, the elderly, and me, the schoolteacher, left yesterday for the city to post bail for the imprisoned attackers, leaving the women free to talk openly with one another."
PETERS,We will be back in two days.
AUGUST,"When they return, in 24 hours, the women will be given the opportunity to forgive these men, guaranteeing everyone’s place in heaven."
AUGUST,"My name is August Epp. Two months ago, I returned, from the outside world, to this colony, where I was raised. I am now the colony schoolteacher, and I have been asked to take the minutes of the meetings because the women are functionally illiterate, having had very little education."
AUGUST,"Ona Friesen asked me if I would take the minutes, and as I had nothing to do but kill myself, and as I have been in love with her for most of my life and would do anything for her, I agreed."
AUGUST,A vote was held earlier this morning.
AUGUST,"As the vote was tied between the option of Staying and Fighting or Leaving, representatives of two families of women, the Reimers and the Friesens, have been tasked with deciding whether or not to Stay and Fight or Leave, while the rest of the women tend to the work of the colony. They have invited representatives of the Janz family to be part of the conversation, though they voted to do nothing. They are meeting in Earnest Penner’s hayloft, as he is senile and rarely comes in."
SCARFACE JANZ,It is part of our faith to forgive. We have always forgiven those who have wronged us. Why not now?
SALOME,Because now we know better.
SCARFACE JANZ,Better than God? You know better than God?
ANNA,"Our Lord requires us to forgive, Salome. Or do you believe yourself mightier than he?"
SCARFACE JANZ,"We will be excommunicated, forced to leave the colony in disgrace, if we don’t forgive the men. And if we are excommunicated, we will forfeit our place in heaven."
HELENA,How could any of you live with the fear of that?
AGATA,What else are you afraid of Helena? Tell us. We want to hear.
HELENA,We can only do what we have learned.
GRETA,"Speak up, Helena. We can’t hear you."
HELENA,We have only domestic skills. How are we supposed to survive out in the World if we are excommunicated?
ANNA,We are unable to read or write. We’ve never even seen a map.
AGATA,These are all legitimate fears. How can we address them?
SALOME,"Shouldn’t we be concerned about more than just our survival, Helena? Is what we have lived, worth preserving?"
SCARFACE JANZ,These questions themselves are blasphemous.
GRETA,"Alright. No more blasphemous questions. I want to talk about my horses, Ruth and Cheryl."
GRETA,Alright. We’ll go.
GRETA,"When Ruth and Cheryl are frightened by Dueck’s Rottweilers on the mile road that leads to the church, their initial instinct is to bolt. These horses don’t organize meetings to decide what they will do. They run."
AGATA,"But Greta, we are not animals."
GRETA,We have been preyed upon like animals. Maybe we should respond like animals.
ONA,Do you mean run away?
SALOME,Or kill our attackers?
PETERS,Go. Go to the city. Get the police.
PETERS,For their own protection. These men need to be taken to jail in the city.
AGATA,In my lifetime I have seen horses confront angry dogs and try to stomp them to death. Animals don’t always flee their attackers. They can fight back and they can run away.
AGATA,"Either way, it’s a waste of time to try to establish whether we are animals. The men will be coming back from the city after they pay the bail for our attackers. Soon."
SCARFACE JANZ,The only important thing to establish is whether we forgive the men so that we are allowed to enter the gates of heaven.
MARICHE,"Laugh all you want, Salome. But we will be forced to leave the colony if we don’t forgive the men. And how will the Lord, when He arrives, find all the women if we aren’t in our colony?"
SALOME,"If Jesus is able to return to life, live for thousands of years and then drop down to earth from heaven, to scoop up his supporters, surely he’d also be able to locate a few women who-"
AGATA,Let’s stay on track-
SALOME,Alright. I’ll stay on track. I cannot forgive them. I will never forgive them.
MEJAL,I can’t either.
MARICHE,But we want to enter the gates of heaven when we die.
ONA,Are we asking ourselves what our priority is? To protect our children or to enter the kingdom of heaven?
MEJAL,No. That is not what we are asking. That is an exaggeration of what we are discussing.
ONA,"What are we discussing, then?"
AGATA,We will burn that bridge when we come to it.
SCARFACE JANZ,We have everything we want here.
SALOME,No.
SCARFACE JANZ,Want less.
SCARFACE JANZ,Does entering the kingdom of heaven mean nothing to any of you? After all we have suffered?
ANNA,Are you really willing to give up what we have always lived for?
ONA,"Surely there is something in this life worth living for, not only in the next."
SCARFACE JANZ,Are you abandoning your faith?
AGATA,We cannot stand by and do nothing when our children are harmed.
SCARFACE JANZ,How are you protecting your children from harm if you turn your back on God? And how will any of you survive? If you stay and fight you will lose. Or if you leave...
HELENA,Where will you go?
AGATA,All I know is that we cannot do nothing. By doing nothing we are not protecting our children who were given to us by God to protect and nurture.
SCARFACE JANZ,We will not be damned to hell with you.
AGATA,"That is your decision, and we must respect it."
AGATA,We must decide now whether we will stay and fight or leave. These are the options in front of us. We will not do nothing.
GRETA,I believe the only solution is to flee.
SALOME,Is this how we want to teach our daughters to defend themselves? By fleeing?
GRETA,"Not fleeing, but leaving. I am talking about leaving."
SALOME,I’d rather stand my ground and shoot each man in the heart and bury them in a pit than flee. And I’ll deal with God’s wrath if I have to!
ONA,"Salome. Aunt Greta is talking about leaving, not fleeing. The word “fleeing” wasn’t what they meant."
MARICHE,"Please forgive my mother for using the wrong word. It is a sin so outrageous, that Salome must take it upon herself to rectify for the sake of all humanity."
AGATA,“Leaving” and “fleeing” are different words. With different meanings. They each say something about us.
AGATA,August what do you make of all this? Do you have an opinion too?
AGATA,"Well, August?"
AUGUST,"I think... I think that it is possible to leave something or someone in one frame of mind and arrive elsewhere, in another entirely unexpected frame of mind."
MARICHE,We are already aware of this.
ONA,"We are aware of many things, in our hearts. But it is good, sometimes, to have them said out loud."
MEJAL,I want to stay and fight.
MARICHE,Won’t we lose the fight to the men and then be forced to forgive them anyway?
ONA,Is forgiveness that is forced upon us true forgiveness?
MARICHE,Autje!
MEJAL,Behave yourself. Can’t you hear the rafter creaking? Do you want the roof to cave in?
SALOME,I want to stay and fight too.
MARICHE,Of course you do. No one is surprised that you do. All you do is fight. Is this how we are to decide the fates of all of the women of this colony? Just another vote where we put an X next to our position? I thought we were here to do more than that.
SALOME,You mean talk more about forgiving the men and doing nothing?
MARICHE,Everything else is insane. But none of you will listen to reason.
SALOME,Why are you here then?! Why are you still here with us if that is what you believe?! Leave with the rest of the do-nothing women!
GRETA,She is my daughter and I want her here with us.
AGATA,I believe we are capable of hearing opinions other than our own. Or how can we expect anything to change?
AUTJE,This is never going to end.
NEITJE,We’ll be dead and they’ll still be talking.
AUTJE,Or worse. We might have to live through it.
ONA,August. I think you should make lists of the pros and cons for both options. Staying and Fighting or Leaving. And write large. Post it on the wall.
MEJAL,Why? We can’t read it.
ONA,No. But we will keep it here as an artifact for others to discover.
SALOME,Yes. A discovery.
ONA,"I think the first heading should read as follows. Staying and Fighting. Beneath that, write Pros."
AGATA,Who will go first?
AUGUST,Forgive me. Please excuse me. Forgive me. May I request that you take turns speaking so that I can understand what each of you is saying. It takes me a few seconds to transcribe...I’m a little behind here. I have to catch up.
MARICHE,Shall we put up our hands? As though we are children in your schoolhouse?
AUGUST,I apologize.
SALOME,We won’t have to leave.
AUGUST,Excuse me?
MARICHE,Write it down. Under pros. Salome has had a brilliant idea.
MARICHE,"“If we stay, we won’t have to leave.”"
NEITJE,We won’t have to pack.
MEJAL,We won’t have to figure out where we’re going or experience the uncertainty of not knowing where we are going. We don’t have a map.
SALOME,"That’s absurd. The only certainty we’ll know is uncertainty, no matter where we are."
ONA,Other than the certainty of the power of love.
SALOME,Keep nonsense like that to yourself. Please.
MEJAL,"Why couldn’t that be the case, that the only certainty is the power of love?"
SALOME,Because it’s meaningless! Especially in this fucking situation!
AGATA,Stop it. Now. I mean it.
MEJAL,That is disgusting. Truly.
AGATA,Neitje? Autje? Do you have something to add to the list?
NEITJE,We won’t have to leave the people we love?
GRETA,We could bring loved ones with us if we leave.
MEJAL,How? What does that mean? We move the whole colony? What can that possibly mean?
ONA,Several of the people we love are people we also fear.
AGATA,"We could create the possibility of a new order right here, in a place that is familiar to us."
SALOME,Not simply familiar. A place that is ours.
MEJAL,Do we need to write the cons? Isn’t it obvious that we must stay and fight?
GRETA,Cons. We won’t be forgiven.
MARICHE,We don’t know how to fight.
SALOME,I know how to fight.
MARICHE,We don’t want to fight.
