character,dialog
MARK,Did you know there are more people with genius IQ’s living in China than there are people of any kind living in the United States?
ERICA,That can’t possibly be true.
MARK,It is.
ERICA,What would account for that?
MARK,"Well, first, an awful lot of people live in China. But here’s my question:"
MARK,How do you distinguish yourself in a population of people who all got 1600 on their SAT’s?
ERICA,I didn’t know they take SAT’s in China.
MARK,"They don’t. I wasn’t talking about China anymore, I was talking about me."
ERICA,You got 1600?
MARK,"Yes. I could sing in an a Capella group, but I can’t sing."
ERICA,Does that mean you actually got nothing wrong?
MARK,I can row crew or invent a 25 dollar PC.
ERICA,Or you can get into a final club.
MARK,Or I can get into a final club.
ERICA,"You know, from a woman’s perspective, sometimes not singing in an a Capella group is a good thing?"
MARK,This is serious.
ERICA,On the other hand I do like guys who row crew.
MARK,Well I can’t do that.
ERICA,I was kid--
MARK,"Yes, it means I got nothing wrong on the test."
ERICA,Have you ever tried?
MARK,I’m trying right now.
ERICA,To row crew?
MARK,"To get into a final club. To row crew? No. Are you, like--whatever--delusional?"
ERICA,"Maybe, but sometimes you say two things at once and I’m not sure which one I’m supposed to be aiming at."
MARK,"But you’ve seen guys who row crew, right?"
ERICA,No.
MARK,"Okay, well they’re bigger than me. They’re world class athletes. And a second ago you said you like guys who row crew so I assumed you had met one."
ERICA,I guess I just meant I liked the idea of it. The way a girl likes cowboys.
MARK,Okay.
ERICA,Should we get something to eat?
MARK,Would you like to talk about something else?
ERICA,"No, it’s just since the beginning of the conversation about finals club I think I may have missed a birthday. There are really more people in China with genius IQ’s than the entire population of--"
MARK,"The Phoenix is the most diverse. The Fly Club, Roosevelt punched the Porc."
ERICA,Which one?
MARK,"The Porcellian, the Porc, it’s the best of the best."
ERICA,Which Roosevelt?
MARK,Theodore.
ERICA,Is it true that they send a bus around to pick up girls who want to party with the next Fed Chairman?
MARK,You can see why it’s so important to get in.
ERICA,"Okay, well, which is the easiest to get into?"
MARK,Why would you ask me that?
ERICA,I’m just asking.
MARK,"None of them, that’s the point. My friend Eduardo made $300,000 betting oil futures one summer and Eduardo won’t come close to getting in. The ability to make money doesn’t impress anybody around here."
ERICA,"Must be nice. He made $300,000 in a summer?"
MARK,He likes meteorology.
ERICA,You said it was oil futures.
MARK,You can read the weather you can predict the price of heating oil. I think you asked me that because you think the final club that’s easiest to get into is the one where I’ll have the best chance.
