character,dialog
CARDINAL MENDOZA,Are we criminals now? Searched? Luggage opened...
LAWRENCE,"I’m so sorry, Your Eminence, but we are told there is a heightened state of security."
CARDINAL MENDOZA,"And look at this. Spat upon. The Protestors. We’re all paedophiles now, apparently. Don Tutino?"
LAWRENCE,Will not be attending.
LAWRENCE,"Eminence Khal-Koh, welcome!"
TREMBLAY,Thomas!
TREMBLAY,Is he smuggling in his private Chef?
LAWRENCE,"How many is that, Willi?"
ARCHBISHOP MANDORFF,"One hundred and three, Eminence."
LAWRENCE,I wonder where Tedesco has got to.
MONSIGNOR O'MALLEY,Perhaps he isn’t coming?
LAWRENCE,That would be too much to hope for.
MONSIGNOR O'MALLEY,We can wait inside if you prefer?
LAWRENCE,"No, let’s get some fresh air while we still can."
BELLINI,Am I the last?
LAWRENCE,Not quite. How are you?
BELLINI,Oh fairly dreadful. You’ve seen the papers? Apparently it’s already decided it’s to be me.
LAWRENCE,And I happen to agree with them.
BELLINI,What if I don’t want it? No sane man would want the papacy.
LAWRENCE,Some of our colleagues seem to.
BELLINI,But what if I know in my heart I’m not worthy?
LAWRENCE,You’re more worthy than any of us.
BELLINI,I’m not.
LAWRENCE,Then... t ell your supporters not to vote for you. Pass the chalice...
BELLINI,And let it go to him? How am I to live with myself if I don’t try to stop him?
TEDESCO,"Apologies, Lawrence. My train was delayed in Venice."
LAWRENCE,ather Tedesco. We’ve missed you.
TEDESCO,"No doubt. But don’t worry, my friends have kept me wellinformed. >"
LAWRENCE,Are you well? >
TEDESCO,"Ah, no-one is ever well at our age. How have you found your new responsibilities? You have everything undercontrol?"
TEDESCO,I believe so.
TEDESCO,Good.  Stop hovering. I carry my own bag.
BELLINI,And let it go to him? How am I to live with myself if I don’t try to stop him?
LAWRENCE,"Heavenly Father, Bless this Conclave, and guide it in Wisdom."
LAWRENCE,Where is he? 
O’MALLEY,"The meeting room, Your Eminence. "
LAWRENCE,Will you take these upstairs for me?
O’MALLEY,Do you want me to sit in?
LAWRENCE,"No, no, I’ll deal with it."
LAWRENCE, Janusz?
ARCHBISHOP WOZNIAK,"In the name of the Father, the Son and the Holy Ghost. My last confession was four weeks ago..."
LAWRENCE,"Janusz, Janusz, I’m sorry I don’t have time to hear your confession. There is so much still to do."
LAWRENCE,Have you been drinking?
LAWRENCE,What’s troubling you? Tell me.
ARCHBISHOP WOZNIAK,I should have come to you before. But I promised I wouldn’t say anything.
LAWRENCE,Promised who?
ARCHBISHOP WOZNIAK,Cardinal Tremblay.
LAWRENCE,"Janusz, the doors close soon and you’ll have to leave. Now if you promised Father Tremblay then perhaps it isn’t right for you to..."
ARCHBISHOP WOZNIAK,"The day the Pope died, the last person to have an official appointment with him was Cardinal Tremblay."
LAWRENCE,"Yes, I know. It’s on the official timeline for..."
ARCHBISHOP WOZNIAK,"At that meeting, the Holy Father dismissed him from all his offices in the Church."
LAWRENCE,What?
ARCHBISHOP WOZNIAK,He sacked him.
LAWRENCE,Why?
ARCHBISHOP WOZNIAK,For gross misconduct.
LAWRENCE,You...you tell me this now? We are about to be sequestered and...
ARCHBISHOP WOZNIAK,"Forgive me! But it wasn’t until the last few days, when I started to hear the rumours..."
LAWRENCE,What rumours?
ARCHBISHOP WOZNIAK,That he might be elected Pope.
LAWRENCE,"And you see it as your duty to prevent that, do you?"
ARCHBISHOP WOZNIAK,I no l onger know what my duty is.
LAWRENCE,Were you there at this meeting?
ARCHBISHOP WOZNIAK,"No, Your Eminence. The Holy Father told me about it afterwards, when we had supper."
LAWRENCE,Did he tell you why he had dismissed Father Tremblay?
ARCHBISHOP WOZNIAK,No. He said the reasons would become clear soon enough. He was very angry .
LAWRENCE,Does anyone else know about this?
ARCHBISHOP WOZNIAK,Monsignor Morales was at the meeting.
LAWRENCE,Why hasn’t he mentioned anything to me? He was there in the apartment with us the night the Holy Father died.
ARCHBISHOP WOZNIAK,"After the Holy Father... after ... I went to see M onsignor Morales to tell him what the Pope had said but he was very firm. He said there had been no dismissal and that the Holy Father had not been his usual self in the last weeks. He said I shouldn’t raise the subject again. But... it’s not right, Eminence. God tells me it’s not right."
LAWRENCE,"Oh dear God, one of them’s died."
MONSIGNOR O'MALLEY,What?
LAWRENCE,Have we lost a Cardinal?
MONSIGNOR O'MALLEY,"No, Your Eminence. We seem to have acquired one.  I mean it literally, Eminence. Another cardinal has just turned up."
LAWRENCE,If we’ve left someone off the list...
MONSIGNOR O'MALLEY,He was never on our lists. He says he was created in pectore.
LAWRENCE,"He has to be an imposter, surely?"
MONSIGNOR O'MALLEY,"That’s what I thought, Eminence. But Archbishop Mandorff has spoken to him and thinks not."
LAWRENCE,What’s this I’m hearing?
ARCHBISHOP MANDORFF,"His name is Vincent Benitez, Eminence. He’s the Archbishop of Kabul."
LAWRENCE,Archbishop of where?
ARCHBISHOP MANDORFF,Kabul. He’s Mexican. The Holy Father appointed him last year.
LAWRENCE,Last year? And how has this been kept a secret?
ARCHBISHOP MANDORFF,"I thought, perhaps, you would be aware of his elevation."
LAWRENCE,No. I am not.
LAWRENCE,"Ray, ask Father Bellini to join us. Perhaps he knew of this."
ARCHBISHOP MANDORFF,"He has a letter of appointment from the Pope addressed to the archdiocese of Kabul, which they kept secret at the Hol y Father’s request. You don’t think he could have forged it?"
LAWRENCE,Where is he now?
BELLINI,A cardinal in Afghanistan? It’s absurd. How many catholics are there in Afghanistan?
LAWRENCE,He was the Head of the Catholic Mission there until his... elevation.
BELLINI,The Americans will be appalled. How could we possibly ensure his safety?
LAWRENCE,Presumably that’s why the Holy Father wanted it kept secret. Well it won’t be in pectore now. I don’t think we have any choice but to admit him.
BELLINI,Must we? Are we sure the Holy Father was entirely... competent to make this appointment?
BELLINI,Papal infallibility covers doctrine. It does not extend to appointments.
LAWRENCE,"That man is leg ally a cardinal, Aldo. He has a right to take part in the election."
LAWRENCE,"Welcome to the Vatican, Archbishop. I’m Father Lawrence, Dean of the College. This is Father Bellini. I’m sorry you’ve had to wait. We had to make checks I’m afraid."
BENITEZ,It is I who must apologise for such an unexpected entrance.
BELLINI,"Archbishop, forgive me, but I have to say I think you’ve made a mistake coming here."
BENITEZ,"Why is that, Your Eminence?"
BELLINI,I would have thought the position of Christians in Central Asia w as perilous enough without you having been made a cardinal and showing yourself in Rome.
BENITEZ,I’m aware of the risks.
BELLINI,But now you’re here I don’t see how you expect to go back.
BENITEZ,"I’ll go back. And face the consequences of my faith, like so many others."
BELLINI,"Your return will have diplomatic repercussions and therefore will not, necessarily, be your decision."
BENITEZ,"Nor yours, Eminence. It will be a decision for the next Pope."
LAWRENCE,"Well, the first thing is to find you a room. Where’s your luggage?"
BENITEZ,I don’t have any.
LAWRENCE,None?
BENITEZ,"I thought it best to go to the airport empty-handed, to disguise my intentions."
LAWRENCE,Ray?
LAWRENCE,"His Eminence will require toiletries, some clean clothes, and choir dress of course. Monsignor O’Malley will look after you."
BELLINI,It’s just so...irregular.
LAWRENCE,"We’re neighbours, Joshua."
ADEYEMI,It seems so.
LAWRENCE,I thought - a little more work on my homily for tomorrow...
ADEYEMI,"Ah, yes of course... I look forward to it. I understand the trick is to offend no-one."
ADEYEMI,Well...
LAWRENCE,Our recent Popes have all been tireless promoters of peace and co-operation at the international level. Let us pray that the future Pope will continue this ceaseless work of charity and love...
LAWRENCE,You’re a manager. Manage.
LAWRENCE,"Your Eminences, before we eat I should like to introduce a new member of our order, whose existence was not known to any of us until a few hours ago. (Raising a hand to the stir of surprise) This is because our brother was made a cardinal by a perfectly legitimate procedure known as creation in pectore. The reason why it had to be done this way is known only to God and to the late Holy Father. But I think we can guess well enough as our new brother’s ministry is an extremely dangerous one."
LAWRENCE,"It has not been an easy journey for him to join us but now, by the Grace of God a brotherhood of one hundred and seven has become one hundred and eight. Welcome to our order, Vincent Benitez, Cardinal Archbishop of Kabul."
LAWRENCE,"Would you bles s our meal, Eminence?"
BENITEZ,"Bless us, O Lord, and these Your gifts which we are about to receive from Your bounty."
BENITEZ,"Bless too, all those who cannot share this meal. And help us, O Lord, as we eat and drink, to remember the hungry, the thirsty, the sick and the lonely, and those sisters who prepared this food for us. Through Christ Our Lord, Amen."
TEDESCO,Dean!
TEDESCO,Take some wine
TEDESCO,You look anxious. And we haven’t even begun yet. Our new brother...did I hear correctly? Afghanistan?
LAWRENCE,I did.
LAWRENCE,"A marvellous testament to the Universal Church, don’t you think? So many men of different cultures, races, bound together by their fait in God."
TEDESCO,"Look again. Notice how everyone has gravitated to their fellow countrymen. Italians over here... Spanish speakers there...English there... Divided by language. When we were boys and the Tridentine Mass was still the liturgy of the world - we would all have been speaking Latin. But then your fellow liberals insisted we get rid of that “dead” language. You say “Universal” Church, but we have become a confederation at best."
LAWRENCE,"The church i s evolving, Goffredo."
TEDESCO,Disintegrating.
TEDESCO,"Another Holy Father like the last one and our Mother the Church will cease to exist. Without Rome, without the tradition of Rome… ... “things fall apart, the centre cannot hold.”"
LAWRENCE,So... what? The next Pope must be Italian? TEDESCO TEDESCO
TEDESCO,We haven’t had an Italian Pope for more than forty years. Can you seriously imagine the alternative?
LAWRENCE,Excuse me. I must circulate amongst our colleagues.
LAWRENCE,"I’ll give him this, he clearly has no i ntention of tempering his views to win votes."
CARDINAL SABBADIN,"It was shrewd of him to stay away from Rome until today. One outspoken newspaper interview could have written Tedesco off. Instead, he will do well tomorrow, I think."
LAWRENCE,Define “well.”
CARDINAL SABBADIN,I’d say he’s worth fifteen votes in the first ballot.
LAWRENCE,And your man?
BELLINI,Why do I feel like a cow being priced by the farmer?
CARDINAL SABBADIN,First ballot? Between twenty and twenty-five. But it’s tomorrow night that the real work b egins. Somehow we have to get him a two- thirds majority.
BELLINI,"By real work, you mean - what, exactly?"
CARDINAL LANDOLFI,"Your Eminence, those who seek the papacy..."
BELLINI,I don’t “seek” the papacy. I...
CARDINAL VILLANUEVA,"Listen you don’t have to do anything, leave it to us. But if they ask us what you stand for...?"
BELLINI,"Tell them I stand for a common- sense approach to issues such as gays, or divorce. Tell them I stand for never returning to the days of the Latin liturgy, families of ten children because Mamma and Papa know no better."
BELLINI,"It was an ugly, repressive time and I’m glad it’s over. Tell them I stand for respecting other faiths, tolerating other views within our own Church. And tell them I believe women should play more of a role within the Curia..."
CARDINAL SABBADIN,Let’s... let’s not mention women.
BELLINI,"Brother, I have no intention of concealing my views or pretending to be anything oth er than I am in order to try and sway any of our number who are undecided. So if you are going to canvas on my behalf, make sure my message is clear... Tell them that I stand for everything Tedesco does not. Now, if you’ll excuse me..."
CARDINAL SABBADIN,"Rocco, you talk to the Americans. Villanueva, I’ll leave the South Americans to you. Gianmarco, you take the Africans. And, obviously, no mention of women."
LAWRENCE,He doesn’t want this. Any of it. You know that don’t you?
CARDINAL SABBADIN,Of course. That’s why I support him. The men who are dangerous are the ones who actively desire it.
