Title,Writers,Script URL,IMDB ID,Year,Rating,Genres,Director,Cast and Characters
2001: A Space Odyssey,"['Stanley Kubrick', 'Arhur C. Clarke']",https://imsdb.com/scripts/2001-A-Space-Odyssey.html,0062622,1968,8.3,"['Adventure', 'Sci-Fi']",Stanley Kubrick,"        Actor/Actress                      Characters     Sex
0         Keir Dullea               [Dr. Dave Bowman]    Male
1       Gary Lockwood               [Dr. Frank Poole]    Male
2   William Sylvester          [Dr. Heywood R. Floyd]    Male
3      Daniel Richter                  [Moon-Watcher]    Male
4    Leonard Rossiter            [Dr. Andrei Smyslov]    Male
..                ...                             ...     ...
67      Doug Robinson  [Judo Opponent on Aries-Ib TV]    Male
68   Jennifer Sanders  [Judo Opponent on Aries-Ib TV]  Female
69        Kevin Scott                        [Miller]    Male
70     John Swindells      [TMA-1 Site Technician #1]    Male
71     Burnell Tucker       [TMA-1 Site Photographer]    Male

[72 rows x 3 columns]"
2012,"['Roland Emmerich', 'Harald Kloser']",https://imsdb.com/scripts/2012.html,1190080,2009,5.8,"['Action', 'Adventure', 'Sci-Fi']",Roland Emmerich,"        Actor/Actress         Characters     Sex
0         John Cusack   [Jackson Curtis]    Male
1         Amanda Peet      [Kate Curtis]  Female
2    Chiwetel Ejiofor  [Adrian Helmsley]    Male
3     Thandiwe Newton     [Laura Wilson]  Female
4        Oliver Platt    [Carl Anheuser]    Male
..                ...                ...     ...
150      Ian Thompson   [Motorcycle Cop]    Male
151             Tiger       [Lital lama]    Male
152    Derek Versteeg        [Scientist]    Male
153      Pierre Wolff       [Ark Worker]    Male
154       Yuel Yawney        [Violinist]    Male

[155 rows x 3 columns]"
20th Century Women,['Mike Mills'],https://imsdb.com/scripts/20th-Century-Women.html,4385888,2016,7.3,"['Comedy', 'Drama']",Mike Mills,"        Actor/Actress         Characters     Sex
0      Annette Bening  [Dorothea Fields]  Female
1        Elle Fanning     [Julie Hamlin]  Female
2        Greta Gerwig     [Abbie Porter]  Female
3        Billy Crudup          [William]    Male
4   Lucas Jade Zumann     [Jamie Fields]    Male
..                ...                ...     ...
86      Richard Nixon             [Self]    Male
87      Aaron O'Brien              [Cop]    Male
88      Jacob Peacock     [Carpenter #3]    Male
89      Ronald Reagan             [Self]    Male
90       Haleigh Ward    [Pregnant Teen]  Female

[91 rows x 3 columns]"
25th Hour,['David Benioff'],https://imsdb.com/scripts/25th-Hour.html,0307901,2002,7.6,['Drama'],Spike Lee,"             Actor/Actress           Characters     Sex
0            Edward Norton       [Monty Brogan]    Male
1   Philip Seymour Hoffman      [Jacob Elinsky]    Male
2             Barry Pepper   [Frank Slaughtery]    Male
3           Rosario Dawson  [Naturelle Riviera]  Female
4              Anna Paquin    [Mary D'Annunzio]  Female
..                     ...                  ...     ...
71          Rumaisa Rahman             [Dancer]  Female
72            Arloa Reston       [Prep Student]  Female
73              Bill Spade         [Man at bar]    Male
74      Stacy Lynn Spierer        [Club Dancer]  Female
75             Ruben Vidal             [Dancer]    Male

[76 rows x 3 columns]"
28 Days Later,['Alex Garland'],https://imsdb.com/scripts/28-Days-Later.html,0289043,2002,7.5,"['Drama', 'Horror', 'Sci-Fi']",Danny Boyle,"            Actor/Actress                           Characters     Sex
0             Alex Palmer                           [Activist]    Male
1       Bindu De Stoppani                           [Activist]  Female
2          Jukka Hiltunen                           [Activist]    Male
3         David Schneider                          [Scientist]    Male
4          Cillian Murphy                                [Jim]    Male
5           Toby Sedgwick                    [Infected Priest]    Male
6           Naomie Harris                             [Selena]  Female
7            Noah Huntley                               [Mark]    Male
8       Christopher Dunne                       [Jim's Father]    Male
9           Emma Hitching                       [Jim's Mother]  Female
10     Alexander Delamere                        [Mr. Bridges]    Male
11          Kim McGarrity              [Mr. Bridges' Daughter]  Female
12        Brendan Gleeson                              [Frank]    Male
13            Megan Burns                             [Hannah]  Female
14         Justin Hackney                       [Infected Kid]    Male
15             Luke Mably                    [Private Clifton]    Male
16       Stuart McQuarrie                   [Sergeant Farrell]    Male
17          Ricci Harnett                  [Corporal Mitchell]    Male
18               Leo Bill                      [Private Jones]    Male
19         Junior Laniyan                       [Private Bell]    Male
20           Ray Panthaki                    [Private Bedford]    Male
21  Christopher Eccleston                   [Major Henry West]    Male
22       Sanjay Rambaruth                      [Private Davis]    Male
23        Marvin Campbell                     [Private Mailer]    Male
24     Adrian Christopher                  [Featured Infected]    Male
25          Richard Dwyer                  [Featured Infected]    Male
26             Nick Ewans                  [Featured Infected]    Male
27             Terry John                  [Featured Infected]    Male
28             Paul Kasey                  [Featured Infected]    Male
29        Sebastian Knapp                  [Featured Infected]    Male
30   Nicholas James Lewis                  [Featured Infected]    Male
31             Jenni Lush                  [Featured Infected]  Female
32       Tristan Matthiae                  [Featured Infected]    Male
33           Jeffrey Rann                  [Featured Infected]    Male
34         Joelle Simpson                  [Featured Infected]  Female
35              Al Stokes                  [Featured Infected]    Male
36            Steen Young                  [Featured Infected]    Male
37            Danny Boyle  [Infected Running Across Minefield]    Male"
30 Minutes or Less,"['Michael Diliberti', 'Matthew Sullivan']",https://imsdb.com/scripts/30-Minutes-or-Less.html,1622547,2011,6.1,"['Action', 'Comedy', 'Crime']",Ruben Fleischer,"              Actor/Actress                  Characters     Sex
0           Jesse Eisenberg                      [Nick]    Male
1             Danny McBride                    [Dwayne]    Male
2               Aziz Ansari                      [Chet]    Male
3             Nick Swardson                    [Travis]    Male
4          Dilshad Vadsaria                      [Kate]  Female
5              Michael Peña                    [Chango]    Male
6            Bianca Kajlich                     [Juicy]  Female
7                 Fred Ward                 [The Major]    Male
8              Sam Johnston            [15 Year Old #1]    Male
9                Jack Foley            [15 Year Old #2]    Male
10        Elizabeth Shapiro               [Chet's Date]  Female
11             Brett Gelman                [Pizza Boss]    Male
12             Paul Tierney                    [Rodney]    Male
13      Staci Lynn Fletcher     [Family Dollar Cashier]  Female
14           Gary Brichetto                [Mr. Fisher]    Male
15            Ilyssa Fradin                       [Mom]  Female
16           Grace Heemstra                  [Daughter]  Female
17             Torey Adkins                   [Big Guy]    Male
18              Rebecca Cox                    [Sandra]  Female
19               Rick Irwin              [Bank Manager]    Male
20              Sam Tedesco            [Security Guard]    Male
21              Wayne Bibbs             [Bank Customer]    Male
22             Joseph Lyman                 [Alley Cop]    Male
23          David Fleischer          [Bus Passenger #4]    Male
24          Lucas Fleischer              [Random Local]    Male
25         Matthew Sullivan        [Random Tanning Guy]    Male
26             Ashley Adler               [Club Dancer]    Male
27             Julia Brooks             [Girl in store]  Female
28           Jackson Ezinga                [Pedestrian]    Male
29            Emily Grauman                [7th Grader]  Female
30             Rebecca Guth            [Woman Shopping]  Female
31            Aubree Knight             [The Pool Girl]  Female
32           Sydney Lumbert                 [Classmate]    Male
33         Geoff Pilkington  [Cocky Guy on Dance Floor]    Male
34                Alex Rush     [Major Tan Bikini Girl]    Male
35                Ron Shedd                [Bar Patron]    Male
36            Robin E Silas                [Chet's Dad]    Male
37            Angelique Sky            [Club Bartender]  Female
38  Daniel James Wrzesinski               [Bank Teller]    Male
39  Stephanie Malári Yousif     [Major Tan Bikini Girl]  Female"
42,['Brian Helgeland'],https://imsdb.com/scripts/42.html,0453562,2013,7.5,"['Biography', 'Drama', 'Sport']",Brian Helgeland,"           Actor/Actress         Characters     Sex
0       Chadwick Boseman  [Jackie Robinson]    Male
1          Harrison Ford    [Branch Rickey]    Male
2         Nicole Beharie  [Rachel Robinson]  Female
3     Christopher Meloni     [Leo Durocher]    Male
4          Ryan Merriman     [Dixie Walker]    Male
..                   ...                ...     ...
225       Marvin E. West              [Fan]    Male
226     Brandon J. White     [Baseball fan]    Male
227  Sabrina C. Williams       [Dodger Fan]  Female
228         Ted Williams             [Self]    Male
229        Nickolas Wolf     [Baseball Fan]    Male

[230 rows x 3 columns]"
44 Inch Chest,"['Louis Mellis', 'David Scinto']",https://imsdb.com/scripts/44-Inch-Chest.html,0914837,2009,5.8,"['Crime', 'Drama']",Malcolm Venville,"      Actor/Actress        Characters     Sex
0      Ray Winstone   [Colin Diamond]    Male
1       Ian McShane        [Meredith]    Male
2         John Hurt  [Old Man Peanut]    Male
3     Tom Wilkinson          [Archie]    Male
4   Stephen Dillane             [Mal]    Male
5    Joanne Whalley     [Liz Diamond]  Female
6    Melvil Poupaud        [Loverboy]    Male
7    Steven Berkoff    [Tippi Gordon]    Male
8         Edna Doré    [Archie's Mum]  Female
9   Andy de la Tour   [Biggy Walpole]    Male
10        Derek Lea         [Bumface]    Male
11  Ramon Christian     [Boy on Sofa]    Male
12      Dave Legeno  [Brighton Billy]    Male"
48 Hrs.,"['Steven E. De Souza', 'Walter Hill', 'Roger Spottiswoode', 'Larry Gross', 'Jeb Stuart']",https://imsdb.com/scripts/48-Hrs..html,0083511,1982,6.9,"['Action', 'Comedy', 'Crime']",Walter Hill,"      Actor/Actress                                  Characters     Sex
0        Nick Nolte                                [Jack Cates]    Male
1      Eddie Murphy                            [Reggie Hammond]    Male
2   Annette O'Toole                                    [Elaine]  Female
3       Frank McRae                                     [Haden]    Male
4       James Remar                               [Albert Ganz]    Male
..              ...                                         ...     ...
72    Fred Trombley                       [Torchy's Bar Patron]    Male
73       Ed Vandell                             [Prison Inmate]    Male
74   Richard Wakasa                            [Police Officer]    Male
75     Bill Willens                       [Torchy's Bar Patron]    Male
76       Anna Young  [Plainclothes Detective in Police Station]  Female

[77 rows x 3 columns]"
50-50,['Will Reiser'],https://imsdb.com/scripts/50-50.html,1306980,2011,7.6,"['Comedy', 'Drama', 'Romance']",Jonathan Levine,"                   Actor/Actress                      Characters     Sex
0           Joseph Gordon-Levitt                          [Adam]    Male
1                     Seth Rogen                          [Kyle]    Male
2                  Anna Kendrick                     [Katherine]  Female
3            Bryce Dallas Howard                       [Rachael]  Female
4                Anjelica Huston                         [Diane]  Female
5                    Serge Houde       [Richard - Alzheimer Dad]    Male
6                  Andrew Airlie                      [Dr. Ross]    Male
7                    Matt Frewer                         [Mitch]    Male
8              Philip Baker Hall                          [Alan]    Male
9                 Donna Yamamoto                 [Dr. Walderson]  Female
10               Sugar Lyn Beard                         [Susan]  Female
11                   Yee Jee Tso                       [Dr. Lee]    Male
12                   Sarah Smyth                         [Jenny]  Female
13                 Peter Kelamis                          [Phil]    Male
14        Jessica Parker Kennedy                        [Jackie]  Female
15                  Daniel Bacon                  [Dr. Phillips]    Male
16               P. Lynn Johnson                        [Bernie]  Female
17                 Laura Bertram                        [Claire]  Female
18                Matty Finochio                           [Ted]    Male
19              Luisa d'Oliveira         [Agabelle Loogenburgen]  Female
20                    Veena Sood                 [Nurse Stewart]  Female
21                Jason Vaisvila          [Cute Guy with Dreads]    Male
22                Brent Sheppard                      [Minister]    Male
23            Marie Avgeropoulos                       [Allison]  Female
24         Adrian Glynn McMorran                     [Bartender]    Male
25             Stephanie Belding                [Friendly Nurse]  Female
26                 Andrea Brooks           [Attractive Woman #2]  Female
27                 Ryan W. Smith                           [Joe]    Male
28        Karen van Blankenstein                   [Nurse Scott]  Female
29  William 'Big Sleeps' Stewart                        [George]    Male
30               Bonnie Bollivar  [Elderly Female Chemo Patient]  Female
31                 Beatrice King                   [Pretty Girl]  Female
32                 Chilton Crane             [Mother on the Bus]  Female
33            Amitai Marmorstein       [Young Person on the Bus]    Male
34           Lauren Miller Rogen                         [Bodie]  Female
35                   Will Reiser                          [Greg]    Male
36             Richard C. Burton              [Thom the Patient]    Male
37                  Neil Corbett                 [Hospital Tech]    Male
38           Karolina Anna Sabat            [Art Gallery Patron]  Female
39       Christopher De-Schuster            [Art Gallery Patron]    Male
40                 Susan De West                      [Bar Girl]  Female
41          Marlow the Wonderdog                          [Self]    Male
42                        Denver                      [Skeletor]    Male
43                       William                      [Skeletor]    Male
44               Stephen Colbert                          [Self]    Male
45                  D.C. Douglas         [Live Volcano Reporter]    Male
46                  Tom MacNeill                  [Office Staff]    Male
47                 Kiwi O'Gorman                    [Barista #2]  Female
48              Cameron K. Smith                 [Chemo Patient]    Male
49                    Ally Tully      [Chemo Patient Who Faints]  Female"
