Title,Writers,Script URL,IMDB ID,Year,Rating,Genres,Director,Cast and Characters
Cradle 2 the Grave,"['""John OBrian""', 'Channing Gibson']",https://imsdb.com/scripts/Cradle-2-the-Grave.html,0306685,2003,5.8,"['Action', 'Crime', 'Drama']",Andrzej Bartkowiak,"       Actor/Actress        Characters     Sex
0             Jet Li              [Su]    Male
1                DMX    [Anthony Fait]    Male
2   Anthony Anderson           [Tommy]    Male
3           Kelly Hu            [Sona]  Female
4         Tom Arnold          [Archie]    Male
..               ...               ...     ...
66          D.Y. Sao  [Hip Hop Dancer]  Female
67   Vanessa Thomson        [Waitress]  Female
68       Aaron Toney       [Spectator]    Male
69    Garrett Warren    [Cage Fighter]    Male
70        Natasha Yi       [Club Girl]  Female

[71 rows x 3 columns]"
Crank,"['Mark Neveldine', 'Brian Taylor']",https://imsdb.com/scripts/Crank.html,0479884,2006,6.9,"['Action', 'Crime', 'Thriller']",Mark Neveldine,"          Actor/Actress                Characters     Sex
0         Jason Statham            [Chev Chelios]    Male
1             Amy Smart                     [Eve]  Female
2   Jose Pablo Cantillo                  [Verona]    Male
3         Efren Ramirez                   [Kaylo]    Male
4         Dwight Yoakam               [Doc Miles]    Male
..                  ...                       ...     ...
56  Lucy Rendler-Kaplan                   [Model]  Female
57        Scott Stewart       [Man Watching News]    Male
58      Jerome Villaluz                [Gangster]    Male
59         Robin Wilson  [Shopping Girl with Pug]    Male
60      Nina Xining Zuo                [Masseuse]  Female

[61 rows x 3 columns]"
Crash,"['J.G. Ballard', 'David Cronenberg']",https://imsdb.com/scripts/Crash.html,0115964,1996,6.4,['Drama'],David Cronenberg,"                 Actor/Actress              Characters     Sex
0                 James Spader         [James Ballard]    Male
1                 Holly Hunter       [Helen Remington]  Female
2                 Elias Koteas               [Vaughan]    Male
3           Deborah Kara Unger     [Catherine Ballard]  Female
4             Rosanna Arquette             [Gabrielle]  Female
5               Peter MacNeill        [Colin Seagrave]    Male
6               Yolande Julian        [Airport Hooker]  Female
7                Cheryl Swarts         [Vera Seagrave]  Female
8                   Judah Katz              [Salesman]    Male
9               Nicky Guadagni             [Tattooist]  Female
10               Ronn Sarosiak                  [A.D.]    Male
11                  Boyd Banks                  [Grip]    Male
12               Markus Parilo         [Man in Hanger]    Male
13                  Alice Poon           [Camera Girl]  Female
14           John Stoneham Jr.                 [Trask]    Male
15            David Cronenberg   [Auto Wreck Salesman]    Male
16  Jordan-Patrick Marcantonio  [Man in Tattoo Parlor]    Male"
"Crazy, Stupid, Love",['Dan Fogelman'],"https://imsdb.com/scripts/Crazy,-Stupid,-Love.html",1570728,2011,7.4,"['Comedy', 'Drama', 'Romance']",Glenn Ficarra,"         Actor/Actress        Characters     Sex
0         Steve Carell             [Cal]    Male
1         Ryan Gosling           [Jacob]    Male
2       Julianne Moore           [Emily]  Female
3           Emma Stone          [Hannah]  Female
4           Lio Tipton         [Jessica]    Male
..                 ...               ...     ...
87    Steven D. Snyder      [Gym Guy #1]    Male
88                  Ty  [Laughing Diner]    Male
89  Christopher Villar     [Club Patron]    Male
90       Andre Wiggins   [Dinner Patron]    Male
91           Lily Winn         [Student]  Female

[92 rows x 3 columns]"
Crazylove,['Carol Watson'],https://imsdb.com/scripts/Crazylove.html,0416658,2005,5.9,"['Comedy', 'Drama', 'Romance']",Ellie Kanner,"          Actor/Actress           Characters     Sex
0      Reiko Aylesworth        [Letty Mayer]  Female
1          Bruno Campos            [Michael]    Male
2       JoBeth Williams         [Mrs. Mayer]  Female
3             Meat Loaf               [John]    Male
4        Marla Sokoloff         [Ruth Mayer]  Female
5          Greg Germann          [Dr. Emlee]    Male
6     David Alan Basche       [Paul Lascher]    Male
7       Lizette Carrion              [Maria]  Female
8          Paul Schulze             [Thomas]    Male
9         Michael Hyatt        [Nurse Gates]  Female
10             K Callan     [Mrs. Hallstrom]  Female
11      Miguel Sandoval      [Bill Johansen]    Male
12        Randee Heller     [Principal Gail]  Female
13           Alex Rocco         [Uncle Cort]    Male
14           John Terry          [Mr. Mayer]    Male
15          Diane Robin             [Monica]  Female
16           David Groh     [Mr. Santalucci]    Male
17    Jeanette O'Connor    [Mrs. Santalucci]  Female
18        Randy Crowder       [Mr. Anderson]    Male
19         Cheryl White      [Mrs. Anderson]  Female
20     Jo Deodato Clark       [Grandma Rosa]  Female
21       Aaron Lipstadt       [Judge Milton]    Male
22         Chris D'Elia               [Jake]    Male
23      Stewart Skelton         [Mr. Smythe]    Male
24   Pat Crawford Brown           [Old Lady]    Male
25          Tom Kiesche     [Market Manager]    Male
26       Kellee Stewart       [Market Clerk]  Female
27         Jimmy Dineen    [Market Employee]    Male
28       Stephanie Paul       [Bridal Clerk]  Female
29       Carlo Imperato               [Tony]    Male
30          Lorna Scott        [Mrs. Montes]  Female
31       Jo Ann Dearing              [Nurse]  Female
32          Myrna Niles         [Aunt Lilly]  Female
33         Suanne Spoke           [Lady One]  Female
34       Shannon Wilcox           [Lady Two]  Female
35      Juliette Goglia              [Jenny]  Female
36       Elijah Runcorn              [Bobby]    Male
37         Arthur Young               [Zach]    Male
38       Ashly Holloway            [Chandra]  Female
39          Aidan Marus             [Waiter]    Male
40  Nikki Taylor Melton  [Classroom Student]  Female
41          Faye Michel      [John's Mother]    Male
42   Nils Allen Stewart     [Security Guard]    Male
43        Dwight Wilson          [Groomsman]    Male
44        Lorenzo Yates  [Background Artist]    Male"
Creation,['John Collee'],https://imsdb.com/scripts/Creation.html,0974014,2009,6.6,"['Biography', 'Drama', 'Romance']",Jon Amiel,"           Actor/Actress            Characters     Sex
0           Paul Bettany      [Charles Darwin]    Male
1              Ian Kelly     [Captain Fitzroy]    Male
2              Guy Henry          [Technician]    Male
3            Martha West        [Annie Darwin]  Female
4    Anabolena Rodriguez       [Fuegia Basket]  Female
5          Paul Campbell         [Boat Memory]    Male
6             Zak Davies        [Jemmy Button]    Male
7        Teresa Churcher         [Mrs. Davies]  Female
8      Jennifer Connelly         [Emma Darwin]  Female
9            Freya Parks         [Etty Darwin]  Female
10            Jim Carter             [Parslow]    Male
11    Christopher Dunkin       [George Darwin]    Male
12          Gene Goodman       [Franky Darwin]    Male
13    Harrison Sansostri        [Lenny Darwin]    Male
14  Benedict Cumberbatch       [Joseph Hooker]    Male
15            Toby Jones       [Thomas Huxley]    Male
16      Ellie Haddington        [Nanny Brodie]  Female
17        Jeremy Northam      [Reverend Innes]    Male
18       Richard Ridings            [Thatcher]    Male
19            Ian Mercer             [Goodman]    Male
20      Robert Glenister         [Dr. Holland]    Male
21         Bill Paterson           [Dr. Gully]    Male
22      Catherine Terris            [Landlady]  Female
23             Ken Drury            [Landlord]    Male
24          Nigel Bowden          [Zoo Keeper]    Male
25         Howard Pearse          [Churchgoer]    Male
26         Pauline Stone  [Mrs. Darwin's Maid]  Female"
Crime Spree,['Brad Mirman'],https://imsdb.com/scripts/Crime-Spree.html,0310924,2003,6.4,"['Action', 'Comedy', 'Crime']",Brad Mirman,"            Actor/Actress           Characters     Sex
0        Gérard Depardieu       [Daniel Foray]    Male
1           Harvey Keitel    [Frankie Zammeti]    Male
2         Johnny Hallyday       [Marcel Burot]    Male
3                  Renaud               [Zero]    Male
4          Saïd Taghmaoui               [Sami]    Male
5         Stéphane Freiss     [Julien Labesse]    Male
6          Shawn Lawrence        [Agent Pogue]    Male
7             Albert Dray      [Raymond Gayet]    Male
8            Joanne Kelly      [Sophie Nicols]  Female
9       Richard Bohringer           [Bastaldi]    Male
10             Abe Vigoda   [Angelo Giancarlo]    Male
11          Gino Marrocco      [Joey Two Tons]    Male
12         Sal Figliomeni     [Nicky The Rake]    Male
13         Diego Chambers            [Raphael]    Male
14            Carlos Diaz             [Hector]    Male
15           K.C. Collins              [Lamar]    Male
16          Michel Perron              [Vinny]    Male
17        Louis Di Bianco          [Bobby Vee]    Male
18            Jeff Geddis              [Wayne]    Male
19           Joyce Gordon           [Waitress]    Male
20          Dwayne McLean  [Old Man Caretaker]    Male
21              Rick Sood        [Store Clerk]    Male
22  Camillo Eugene Natale    [Half Tooth Tony]    Male
23      Phillip MacKenzie          [FBI Agent]    Male
24          Lory Wajnberg        [Joey's Wife]  Female
25            Ron Kennell              [Felix]    Male
26          Scotty Watson        [Motel Clerk]    Male
27             Lyriq Bent            [Ellwood]    Male
28            P.J. Ingram           [Deaf Guy]    Male
29         Garnet Harding     [Gang Member #1]    Male
30       Geoffrey Coulter   [Car Rental Clerk]    Male
31        Reginald Doresa     [Eddie The Hare]    Male
32           Billy Khoury           [Freddy O]    Male
33          Richard Bauer       [Man on Phone]    Male
34           Kiera Belley        [Little Girl]  Female
35             Liz Gordon       [Receptionist]  Female
36        Philip Marshall          [Large Man]    Male
37          Rhona Shekter              [Judge]  Female
38             J.C. Kenny        [TV Reporter]    Male
39      Plato Fountidakis     [Gang Member #2]    Male
40         Hakan Coskuner     [Gang Member #3]    Male
41            Grace Armas               [Maid]  Female
42                Ho Chow        [Taxi driver]    Male
43        Patrick Ezerzer     [French Mobster]    Male
44           Vania Giusto              [Angie]  Female"
The Croods,"['Kirk DeMicco', 'Chris Sanders']","https://imsdb.com/scripts/Croods,-The.html",0481499,2013,7.1,"['Animation', 'Adventure', 'Comedy']",Kirk DeMicco,"      Actor/Actress Characters     Sex
0      Nicolas Cage     [Grug]    Male
1        Emma Stone      [Eep]  Female
2     Ryan Reynolds      [Guy]    Male
3  Catherine Keener     [Ugga]  Female
4   Cloris Leachman     [Gran]  Female
5        Clark Duke    [Thunk]    Male
6     Chris Sanders     [Belt]    Male
7        Randy Thom    [Sandy]    Male"
"Crouching Tiger, Hidden Dragon","['Wang Hui Ling', 'James Schamus', 'Tsai Kuo Jung']","https://imsdb.com/scripts/Crouching-Tiger,-Hidden-Dragon.html",0190332,2000,7.9,"['Action', 'Adventure', 'Drama']",Ang Lee,"      Actor/Actress            Characters     Sex
0      Chow Yun-Fat    [Master Li Mu Bai]    Male
1     Michelle Yeoh         [Yu Shu Lien]  Female
2        Ziyi Zhang                 [Jen]    Male
3        Chang Chen                  [Lo]    Male
4       Sihung Lung              [Sir Te]    Male
5     Pei-Pei Cheng            [Jade Fox]  Female
6         Fazeng Li         [Governor Yu]    Male
7          Xian Gao                  [Bo]  Female
8           Yan Hai           [Madame Yu]    Male
9       Deming Wang                [Tsai]    Male
10            Li Li                 [May]    Male
11     Suying Huang           [Auntie Wu]  Female
12    Jinting Zhang               [De Lu]  Female
13         Rui Yang                [Maid]    Male
14           Kai Li         [Gou Jun Pei]    Male
15     Jianhua Feng      [Gou Jun Sinung]    Male
16        Zhenxi Du          [Shop Owner]    Male
17     Cheng Lin Xu             [Captain]    Male
18         Feng Lin             [Captain]    Male
19    Wensheng Wang          [Gangster A]    Male
20        Dong Song          [Gangster B]    Male
21     Zhongxuan Ma             [Mi Biao]    Male
22     Bao Cheng Li  [Fung Machete Chang]    Male
23      Yongde Yang           [Monk Jing]    Male
24    Shaojun Zhang      [Male Performer]    Male
25          Ning Ma    [Female Performer]    Male
26      Jianmin Zhu              [Waiter]    Male
27  Changsheng Dong        [Homeless Man]    Male
28          Yi Shih            [Waitress]    Male
29         Bin Chen             [Servant]    Male
30  Shaocheng Zhang            [Nightman]    Male"
Croupier,['Paul Mayersberg'],https://imsdb.com/scripts/Croupier.html,0159382,1998,7.0,"['Crime', 'Drama']",Mike Hodges,"          Actor/Actress              Characters     Sex
0            Clive Owen          [Jack Manfred]    Male
1           Nick Reding        [Giles Cremorne]    Male
2         Nicholas Ball             [Jack Snr.]    Male
3      Alexander Morton        [David Reynolds]    Male
4           Barnaby Kay            [Car Dealer]    Male
5            Gina McKee           [Marion Nell]  Female
6        John Radcliffe                [Barber]    Male
7      Sheila Whitfield            [Manicurist]  Female
8        David Hamilton     [Casino Supervisor]    Male
9           Carol Davis      [Table Supervisor]  Female
10           Eddie Osei    [West Indian Punter]    Male
11        Doremy Vernon               [Woman I]  Female
12      Claudine Carter              [Woman II]  Female
13       Ursula Alberts         [Madame Claude]  Female
14     Neville Phillips      [White Haired Man]    Male
15        Paul Reynolds                  [Matt]    Male
16          Kate Hardie                 [Bella]  Female
17            Ozzie Yue              [Mr Tchai]    Male
18   Joanna E. Drummond                 [Agnes]  Female
19       Manfred Heiden  [Mr Tchai's Bodyguard]    Male
20        Alex Kingston      [Jani de Villiers]  Female
21       Ciro de Chiara                 [Cheat]    Male
22          Rhona Mitra       [Girl with Joint]  Female
23        John A. Baker      [Couple in Toilet]    Male
24          Vida Garman      [Couple in Toilet]  Female
25          George Khan          [Coughing Man]    Male
26  Christine Niemöller                   [Pat]  Female
27        Claudia Barth              [Waitress]  Female
28          Tom Mannion                  [Ross]    Male
29         Arnold Zarom   [Habib the Terrorist]    Male
30          James Clyde                [Gordon]    Male
31           Emma Lewis                 [Fiona]  Female
32         Kate Fenwick                 [Chloe]  Female
33     Rosemarie Dunham          [Jewish Woman]  Female
34      Magnus Hastings                [Gigolo]    Male
35          John Surman                 [Loser]    Male
36            Mark Long            [Gangster I]    Male
37   Michail Golzarandi           [Gangster II]    Male
38       Karlheinz Ciba       [Accusing Punter]    Male
39          Sven Morche             [Policeman]    Male
40      Loretta Parnell                  [Lucy]  Female
41  Simon Fisher-Turner         [Ironic Punter]    Male
42             Mary Coy              [Croupier]  Female
43           David Gant              [Croupier]    Male
44       Norbert Kleine              [Croupier]    Male
45       Lynsey Pinsent              [Croupier]  Female
46         Ulrich Vogel              [Croupier]    Male
47        Elke Wartmann              [Croupier]  Female"
The Crow Salvation,['Chip Johannessen'],"https://imsdb.com/scripts/Crow-Salvation,-The.html",0132910,2000,4.9,"['Action', 'Crime', 'Fantasy']",Bharat Nalluri,"        Actor/Actress                        Characters     Sex
0       Kirsten Dunst                    [Erin Randall]  Female
1    William Atherton                  [Nathan Randall]    Male
2          Debbie Fan                    [Barbara Chen]  Female
3         Eric Mabius                     [Alex Corvis]    Male
4         Grant Shaud                     [Peter Walsh]    Male
5   David Jean Thomas                          [Mercer]    Male
6     Gabrielle Woods                       [Old Woman]  Female
7    Jodi Lyn O'Keefe                  [Lauren Randall]  Female
8    David H. Stevens                   [Tommy Leonard]    Male
9        Dale Midkiff                  [Vincent Erlich]    Male
10         Bill Mondy                  [Phillip Dutton]    Male
11     Walton Goggins                    [Stan Roberts]    Male
12          Tim DeKay                   [Martin Toomey]    Male
13     Robby Robinson                        [Minister]    Male
14       Tony Larimer                          [Warden]    Male
15         Don Shanks                        [Guard #1]    Male
16        K.C. Wilson              [Stacey's Boyfriend]    Male
17     Joey Miyashima                     [Radio Guard]    Male
18      Kylee Cochran                           [Tracy]  Female
19     Melanie Cotter                          [Jannie]  Female
20      Bruce McCarty                          [Madden]    Male
21          David Lea                         [Doorman]    Male
22       Curley Green              [Roll Call Sergeant]    Male
23        Kelly Haren                       [Secretary]  Female
24          Fred Ward                     [The Captain]    Male
25     Heather Ashton                    [Tommy's Wife]  Female
26        Britt Leary                            [Girl]  Female
27         K.C. Clyde                       [Boyfriend]    Male
28         Jeff Olson                        [Sergeant]    Male
29    Benjamin Barton                          [Barfly]    Male
30        Noname Jane                  [Young Stripper]  Female
31        Rob Timothy  [Handsome man leaving bar table]    Male"
The Crow,['David Schow'],"https://imsdb.com/scripts/Crow,-The.html",0109506,1994,7.5,"['Action', 'Crime', 'Drama']",Alex Proyas,"            Actor/Actress                 Characters     Sex
0             Brandon Lee              [Eric Draven]    Male
1          Rochelle Davis               [Sarah Mohr]  Female
2            Ernie Hudson            [Sgt. Albrecht]    Male
3         Michael Wincott               [Top Dollar]    Male
4                Bai Ling                     [Myca]  Female
..                    ...                        ...     ...
63            Kai Portman        [Thug in Boardroom]    Male
64        Gilbert Rosales               [Dollar Man]    Male
65         David J. Schow  [Shooter #2 in Boardroom]    Male
66  Michael Sinterniklaas                    [Extra]    Male
67            Tom Wayland                    [Extra]    Male

[68 rows x 3 columns]"
The Crow: City of Angels,"['David S Goyer', '""James OBarr""']","https://imsdb.com/scripts/Crow-City-of-Angels,-The.html",0115986,1996,4.6,"['Action', 'Crime', 'Fantasy']",Tim Pope,"          Actor/Actress               Characters     Sex
0         Vincent Perez  [Ashe Corven, The Crow]    Male
1          Mia Kirshner                  [Sarah]  Female
2        Richard Brooks             [Judah Earl]    Male
3              Iggy Pop                  [Curve]    Male
4           Thomas Jane                   [Nemo]    Male
5   Vincent Castellanos          [Spider Monkey]    Male
6            Thuy Trang                   [Kali]  Female
7           Eric Acosta                  [Danny]    Male
8              Ian Dury                   [Noah]    Male
9          Tracey Ellis                  [Sybil]  Female
10    Beverley Mitchell                  [Grace]  Female
11    Aaron Thell Smith        [Tattoo Customer]    Male
12         Alan Gelfant                [Bassett]    Male
13         Shelly Desai                  [Hindu]    Male
14         Holley Chant             [Holly Daze]  Female
15        Kerry Rossall                   [Zeke]  Female
16       Reynaldo Duran                 [Priest]    Male
17       Danny Verduzco          [Boy in Church]    Male
18    Maria Julia Moran     [Old Lady in Church]  Female
19         Chino Moreno     [Self, The Deftones]    Male
20            Chi Cheng     [Self, The Deftones]    Male
21    Stephen Carpenter     [Self, The Deftones]    Male
22       Abe Cunningham     [Self, The Deftones]    Male
23         Ace Cheverez  [Nightclub Entertainer]    Male
24            Gorja Max             [Fire eater]    Male
25        Paul Sinacore            [Latex Black]    Male
26        Kira Tashjian                  [Woman]  Female"
Cruel Intentions,['Roger Kumble'],https://imsdb.com/scripts/Cruel-Intentions.html,0139134,1999,6.8,"['Drama', 'Romance']",Roger Kumble,"            Actor/Actress             Characters     Sex
0   Sarah Michelle Gellar     [Kathryn Merteuil]  Female
1          Ryan Phillippe    [Sebastian Valmont]    Male
2       Reese Witherspoon     [Annette Hargrove]  Female
3             Selma Blair      [Cecile Caldwell]  Female
4         Louise Fletcher       [Helen Rosemond]  Female
5          Joshua Jackson        [Blaine Tuttle]    Male
6             Eric Mabius       [Greg McConnell]    Male
7     Sean Patrick Thomas      [Ronald Clifford]    Male
8           Swoosie Kurtz        [Dr. Greenbaum]  Female
9      Christine Baranski       [Bunny Caldwell]  Female
10       Alaina Reed-Hall                [Nurse]  Female
11         Deborah Offner        [Mrs. Michalak]  Female
12              Tara Reid      [Marci Greenbaum]  Female
13             Herta Ware        [Mrs. Sugarman]  Female
14            Hiep Thi Le              [Mai-Lee]  Female
15      Charlie O'Connell       [Court Reynolds]    Male
16            Fred Norris           [Meter Maid]    Male
17        Ginger Williams             [Clorissa]  Female
18            Drew Snyder  [Headmaster Hargrove]    Male
19              Phil Hawn    [Subway Pedestrian]    Male
20            Jim Jenkins         [Mr. Caldwell]    Male
21         Spencer Kayden          [Cheerleader]  Female
22         Stephen Kearin    [Subway Pedestrian]    Male
23           Alisha Klass          [Cheerleader]  Female
24           Guy Kochlani              [Student]    Male"
Crying Game,['Neil Jordan'],https://imsdb.com/scripts/Crying-Game.html,0104036,1992,7.2,"['Crime', 'Drama', 'Romance']",Neil Jordan,"          Actor/Actress         Characters     Sex
0       Forest Whitaker             [Jody]    Male
1    Miranda Richardson             [Jude]  Female
2           Stephen Rea           [Fergus]    Male
3         Adrian Dunbar          [Maguire]    Male
4       Breffni McKenna           [Tinker]    Male
5            Joe Savino            [Eddie]    Male
6         Birdy Sweeney            [Tommy]    Male
7         Jaye Davidson              [Dil]    Male
8        Andrée Bernard             [Jane]  Female
9         Jim Broadbent              [Col]    Male
10          Ralph Brown             [Dave]    Male
11        Tony Slattery         [Deveroux]    Male
12            Jack Carr         [Franknum]    Male
13      Josephine White  [Bar Performer 1]  Female
14        Shar Campbell  [Bar Performer 2]    Male
15        Bryan Coleman            [Judge]    Male
16          Ray De-Haan   [Security Man 1]    Male
17      David Crionelly   [Security Man 2]    Male
18  Charles Mandracchia          [Bouncer]    Male"
Cube,"['Andr� Bijelic', 'Vincenzo Natali', 'Graeme Manson']",https://imsdb.com/scripts/Cube.html,0123755,1997,7.1,"['Horror', 'Mystery', 'Sci-Fi']",Vincenzo Natali,"       Actor/Actress  Characters     Sex
0     Nicole de Boer    [Leaven]  Female
1     Nicky Guadagni  [Holloway]  Female
2      David Hewlett     [Worth]    Male
3      Andrew Miller     [Kazan]    Male
4    Julian Richings  [Alderson]    Male
5       Wayne Robson    [Rennes]    Male
6  Maurice Dean Wint   [Quentin]    Male"
The Curious Case of Benjamin Button,['Eric Roth'],"https://imsdb.com/scripts/Curious-Case-of-Benjamin-Button,-The.html",0421715,2008,7.8,"['Drama', 'Fantasy', 'Romance']",David Fincher,"              Actor/Actress             Characters     Sex
0            Cate Blanchett                [Daisy]  Female
1                 Brad Pitt      [Benjamin Button]    Male
2              Julia Ormond             [Caroline]  Female
3    Faune Chambers Watkins        [Dorothy Baker]  Female
4              Elias Koteas      [Monsieur Gateau]    Male
..                      ...                    ...     ...
143             Louis Webre              [Soldier]    Male
144            Gelsey Weiss               [Dancer]  Female
145          Autumn Withers               [Dancer]  Female
146          Brianna Womick        [Ballet Dancer]  Female
147         Michael Wozniak  [World War I Officer]    Male

[148 rows x 3 columns]"
Custody,['Eric Stuyvesant'],https://imsdb.com/scripts/Custody.html,0759956,Video,6.8,['Comedy'],Eric Stuyvesant,"           Actor/Actress            Characters     Sex
0         Marisa Zakaria     [Melanie Simmers]  Female
1        Eric Stuyvesant        [Rick Stevens]    Male
2    Kristian Stuyvesant       [Chris Stevens]    Male
3     Phillip Stuyvesant      [Philip Stevens]    Male
4    Nicholas Stuyvesant        [Nick Stevens]    Male
5   Zachary Semelsberger        [Zach Simmers]    Male
6           Chuck French    [John Silverstein]    Male
7            Mary Faktor              [Mother]  Female
8    Rick Montgomery Jr.              [Father]    Male
9           Shelia Weiss  [Carrie Silverstein]  Female
10           Heidi Bankz       [Cindy Stevens]  Female
11     Dominic Koulianos          [Prosecutor]    Male
12         Michelle Dean          [Mrs. Heath]  Female
13         David Shurmer                [Boss]    Male
14        Edward Learner          [Frank Ryan]    Male
15            Bryan Alan           [Young Cop]    Male
16          Travis Bowen                [Boss]    Male
17       Mary Lu Garmone         [Mrs. Nelson]  Female
18         David R. King           [Detective]    Male
19         David R. King           [Detective]    Male
20          Mary Mahoney           [The Judge]  Female
21         Natasha Nicol    [Daycare Provider]  Female
22     Rachelle Williams                 [Bar]  Female"
Dallas Buyers Club,"['Craig Borten', 'Melisa Wallack']",https://imsdb.com/scripts/Dallas-Buyers-Club.html,0790636,2013,7.9,"['Biography', 'Drama']",Jean-Marc Vallée,"                  Actor/Actress               Characters     Sex
0           Matthew McConaughey           [Ron Woodroof]    Male
1               Jennifer Garner                    [Eve]  Female
2                    Jared Leto                  [Rayon]    Male
3                  Denis O'Hare             [Dr. Sevard]    Male
4                    Steve Zahn                 [Tucker]    Male
..                          ...                      ...     ...
88              John Wettermark  [Hospital Board Member]    Male
89               Treasure White    [Child Aids Patients]  Female
90  Christina Michelle Williams  [Hospital Receptionist]  Female
91             Jesse Yarborough        [Rodeo Spectator]    Male
92                  Frank Young                   [Self]    Male

[93 rows x 3 columns]"
The Damned United,"['Peter Morgan', 'David Peace']","https://imsdb.com/scripts/Damned-United,-The.html",1226271,2009,7.5,"['Biography', 'Drama', 'Sport']",Tom Hooper,"       Actor/Actress                      Characters   Sex
0        Colm Meaney                     [Don Revie]  Male
1      Henry Goodman                 [Manny Cussins]  Male
2        David Roper                    [Sam Bolton]  Male
3   Jimmy Reddington                  [Keith Archer]  Male
4      Oliver Stokes                  [Nigel Clough]  Male
..               ...                             ...   ...
66     Elliot Stroud                     [Solicitor]  Male
67      Peter Taylor                          [Self]  Male
68   Danny Tomlinson                  [David Harvey]  Male
69    Craig Williams                    [Joe Jordan]  Male
70      Chris Wilson  [FA Disciplinary Board Member]  Male

[71 rows x 3 columns]"
Dances with Wolves,['Michael Blake'],https://imsdb.com/scripts/Dances-with-Wolves.html,0099348,1990,8.0,"['Adventure', 'Drama', 'Western']",Kevin Costner,"                   Actor/Actress                            Characters     Sex
0                  Kevin Costner                   [Lieutenant Dunbar]    Male
1                 Mary McDonnell                  [Stands With A Fist]  Female
2                  Graham Greene                        [Kicking Bird]    Male
3                Rodney A. Grant                    [Wind In His Hair]    Male
4     Floyd 'Red Crow' Westerman                           [Ten Bears]    Male
5                Tantoo Cardinal                         [Black Shawl]  Female
6              Robert Pastorelli                             [Timmons]    Male
7                 Charles Rocket                    [Lieutenant Elgin]    Male
8                  Maury Chaykin                     [Major Fambrough]    Male
9                   Jimmy Herman                          [Stone Calf]    Male
10  Nathan Lee Chasing His Horse                        [Smiles A Lot]    Male
11                Michael Spears                               [Otter]    Male
12            Jason R. Lone Hill                                [Worm]    Male
13                   Tony Pierce                              [Spivey]    Male
14           Doris Leader Charge                       [Pretty Shield]  Female
15                   Tom Everett                     [Sergeant Pepper]    Male
16                  Larry Joshua                      [Sergeant Bauer]    Male
17                    Kirk Baltz                             [Edwards]    Male
18                   Wayne Grace                               [Major]    Male
19                 Donald Hotton                        [General Tide]    Male
20                 Annie Costner                           [Christine]  Female
21                   Conor Duffy                              [Willie]    Male
22                  Elisa Daniel                  [Christine's Mother]  Female
23             Percy White Plume                         [Big Warrior]    Male
24                     John Tail                      [Escort Warrior]    Male
25                  Steve Reevis                [Sioux #1, Warrior #1]    Male
26      Sheldon Peters Wolfchild                [Sioux #2, Warrior #2]    Male
27                     Wes Studi                     [Toughest Pawnee]    Male
28                 Buffalo Child                           [Pawnee #1]    Male
29             Clayton Big Eagle                           [Pawnee #2]    Male
30         Richard Leader Charge                           [Pawnee #3]    Male
31               Redwing Ted Nez                       [Sioux Warrior]    Male
32                   Marvin Holy                       [Sioux Warrior]    Male
33               Raymond Newholy                       [Sioux Courier]    Male
34               David J. Fuller                  [Kicking Bird's Son]    Male
35               Ryan White Bull           [Kicking Bird's Eldest Son]    Male
36                Otakuye Conroy             [Kicking Bird's Daughter]    Male
37              Maretta Big Crow                      [Village Mother]  Female
38                Steve Chambers                               [Guard]    Male
39         William H. Burton Jr.                      [General's Aide]    Male
40                 Bill W. Curry              [Confederate Cavalryman]    Male
41                 Nick Thompson                 [Confederate Soldier]    Male
42                 Carter Hanner                 [Confederate Soldier]    Male
43                     Kent Hays                        [Wagon Driver]    Male
44                Robert Goldman                       [Union Soldier]    Male
45             Frank P. Costanza                              [Tucker]    Male
46             James A. Mitchell                                 [Ray]    Male
47                   R.L. Curtin                 [Ambush Wagon Driver]    Male
48                        Justin                               [Cisco]    Male
49                         Teddy                  [Two Socks - a Wolf]    Male
50                          Buck                  [Two Socks - a Wolf]    Male
51                Michael Horton  [Captain Cargill - extended version]    Male
52               J. Wesley Adams                             [Settler]    Male
53                   Linda Allen                       [Female Barber]  Female
54                  Bill Costner                       [Union Soldier]    Male
55                  David Rambow    [Background Artist: Union Soldier]    Male
56               William Rossman                       [Union soldier]    Male
57                    Jim Wilson                              [Doctor]    Male"
The Danish Girl,"['Lucinda Coxon', 'David Ebershoff']","https://imsdb.com/scripts/Danish-Girl,-The.html",0810819,2015,7.1,"['Biography', 'Crime', 'Drama']",Tom Hooper,"       Actor/Actress        Characters     Sex
0    Alicia Vikander           [Gerda]  Female
1     Eddie Redmayne            [Lili]    Male
2      Tusse Silberg     [Older Woman]  Female
3    Adrian Schiller       [Rasmussen]    Male
4        Amber Heard            [Ulla]  Female
..               ...               ...     ...
73     Niki Topgaard   [Art Collector]    Male
74    Nadia Townsend       [Costumier]  Female
75     Simon Vinholt  [Artist in Café]    Male
76   Stephanie Wiese  [Friend at Cafe]  Female
77  Alicia Woodhouse       [Ballerina]  Female

[78 rows x 3 columns]"
