Title,Year,Rating,Genres,Director,Cast,Budget,Gross
The Shawshank Redemption,,,"Drama, Crime",,,25000000,
The Godfather,,,"Drama, Crime",,,6000000,
The Dark Knight,,,"Drama, Action, Crime, Thriller",,,185000000,
The Matrix,,,"Action, Science Fiction",,,63000000,
Parasite,,,"Comedy, Thriller, Drama",,,11363000,
