Topic_ID,Count,Palabras
-1,7056,outliers (sin tema claro)
0,619,"girl, daughter, wife, want, woman, look, come, think, love, work"
1,422,"water, chicken, wine, eat, drink, apple, fish, hand, cream, bottle"
2,371,"father, son, come, guy, want, dad, man, little, make, look"
3,366,"nigger, black, white, white people, people, ass, black man, man, black people, want"
4,302,"bomb, atomic, scientist, weapon, atomic bomb, security, war, physics, reaction, atomic weapon"
5,250,"bond, mortgage, bank, market, cdo, swap, housing, bet, mortgage bond, subprime"
6,245,"dollar, money, thousand dollar, thousand, pay, sell, make, business, make money, mandingo"
7,242,"priest, church, sin, cardinal, catholic, report, nun, year, archdiocese, make cardinal"
8,191,"gay, vote, candidate, district, city, homosexual, people, gay people, ballot, office"
9,189,"room, come, stair, party, tomorrow, home, morning, car, hang, early"
10,189,"want, apologize, sure, understand, mad, speak, sabotage, shit, think, time"
11,161,"lawyer, sue, client, case, court, jury, motion, doc, file, trial"
12,137,"band, music, rock, song, play, record, roll, stage, record company, rock roll"
13,134,"universe, life, world, present, feel, mind, real, day, version, dream"
14,125,"guy, kid, good, job, story, student, transplantation, brain transplantation, frequently, remark"
15,118,"cop, police, officer, spy, charge, informant, undercover, law enforcement, enforcement, secure"
16,112,"job, interview, work, quit, member, boss, certificate, work work, time, day"
17,104,"kill, scared, fear, afraid, razzle dazzle, razzle, person, dazzle, save, old razzle"
18,103,"student, thefacebook, site, social, online, friend, network, facebook, people, website"
19,94,"book, read, write, novel, publish, write book, writer, fiction, think book, scholar"
20,89,"city, live, small, club, country, party, place, street boulevard, little whitcraft, finish novel"
21,87,"doctor, heart, muscle, patient, disease, medicine, treatment, basically, remove, heal"
22,86,"day, honor, serve, spectacle, match, shall, duty, discharge duty, conquest, discharge"
23,82,"fight, fighter, title, manager, round, title fight, champ, punch, good, lightweight"
24,78,"slave, horse, candyland, ranch, ride, plantation, slave trade, horse want, ride horse, trade"
25,74,"unto, thy, shall, commandment, shalt love, love thy, shalt, ye, law, o"
26,73,"wedding, relationship, marry, lucky, time, life, married, meet, lucky meet, sex"
27,68,"jewish, nazi, deny, force, training weekend, deny jewish, decree, home want, hive, area"
28,65,"yes yes, shoot, gun, weapon, yes, bullet, head, hand, away, away weapon"
29,64,"rupee, million rupee, million, thousand rupee, thousand, rupee million, sixteen thousand, sixteen, century, class century"
30,64,"message, machine, decrypt, code, setting, operating, bit, break, microprocessor, os"
31,62,"drug, trafficker, coke, sheriff, kill, year, somebody, enforcement, law enforcement, truck"
32,60,"voice, speak, hear, microphone, silence, silent, record, directional microphone, directional, hear look"
33,56,"king, doom, end come, celt, war, long, haste, end, river, save"
34,55,"let, slow, let slow, come come, chance, let make, come time, time, opportunity, come"
35,54,"people love, beg people, end beg, feel, love, happy, shit, beg, look world, think use"
36,51,"door, lock, car, key, toy, replace lock, wrench, lock door, drawer, replace"
37,49,"embassy, hostage, passport, airport, checkpoint, american, cover, canadian, execute, rumour"
38,47,"lie, secret, story, lie need, people lie, yah, need, people, friend, anybody"
39,45,"mother, mother come, mom, mother let, home mother, aide, come, present, home, turn real"
40,44,"floor, burn, wrap body, hell night, night wrap, screen fireplace, work hell, body cast, cast, fireplace"
41,40,"accent, speak, world speak, word, pronounce, tongue, insist, hear, agat, accent accent"
42,40,"movie, actor, make movie, film, fake, build cover, hire actor, movie business, fake movie, dream"
43,38,"idea, answer, method, original idea, think idea, wrong lose, project, think, idea want, answer wrong"
44,36,"german, speak, stand reason, teach, lady, mistress, ya, uppity son, carnation day, carnation"
45,36,"thank, good friend, want thank, thank today, want honor, friend, thank come, want, grateful, nervous"
46,35,"love, fall love, kind love, love absolute, love word, fall, kill people, love try, absolute, rhinoceros"
47,35,"sleep, clock, wake, sorry wake, night, come night, bed, early morning, morning, sit"
