Topic_ID,Count,Palabras
-1,2313,outliers (sin tema claro)
0,429,"father, look, come, time, think, work, try, want, love, make"
1,405,"think, feel, people, make, life, forgive, love, want, try, man"
2,361,"daughter, think, want, maid, wear, look, work, girl, mother, help"
3,185,"dinner, eat, come, leave, upstairs, want, stay, ready, food, walk"
4,179,"money, welfare, job, pay, house, work, paper, need, cut, buy"
5,141,"woman, colony, leave, man, stay, fight, boy, return, stay fight, war"
6,131,"book, read, school, work, write, alternative school, alternative, reading, good, want read"
7,110,"jury, priest, trial, victim, guilty, evidence, file, murder, police, man"
8,91,"child, feel, laugh, year, life, believe, teach, way, protect, car"
9,90,"baby, pregnant, adoption, mother, abortion, child, raise, infant, need, mom"
10,88,"wine, rain, bubble, live, street, city, beautiful, glass, nest, thistle"
11,81,"phone, need, want, wait, help, day, time, need need, think need, little"
12,72,"king, speak, brother, slave, son, kill, arena, army, strike, history"
13,57,"listen, music, fat, girl, darlin, act, body, woman, rock, remember want"
14,50,"foot, doctor, spinal, bleeding, patient, normal, pill, stupid, wear, bunch"
15,50,"relationship, marriage, marry, divorce, anymore, status, love, year, relationship way, single page"
16,46,"love, love love, friend, feel, make, deserve love, capable deserve, new friend, capable, love way"
17,44,"kindness, love, gracious compassionate, love kindness, kindness forgiveness, rich love, slow anger, sacrifice, compassionate, compassionate slow"
18,36,"look, wake, sweet, look mirror, dew look, hotel room, moth, morning dew, wake hotel, sweet morning"
19,35,"house, buy, home, room, buy buy, live, living room, great, living, build"
