Topic_ID,Count,Palabras
-1,4375,outliers (sin tema claro)
0,5964,"want, think, come, make, time, good, look, people, need, let"
1,1919,"bomb, war, make, think, come, man, time, want, priest, letter"
2,352,"book, band, music, movie, write, read, play, song, rock, actor"
3,191,"gay, vote, candidate, people, district, city, homosexual, want, office, gay people"
4,125,"guy, kid, good, job, work, story, think, ago, student, respect"
5,89,"city, live, small, work, place, party, country, club, kid, great"
6,64,"message, machine, decrypt, code, bit, setting, break, operating, microprocessor, german"
7,64,"rupee, million rupee, million, thousand rupee, thousand, rupee million, sixteen thousand, sixteen, century, win"
