character,dialog
SCRAP ,Only ever met one man f wouldn't want to fight
FRANKIE,"Get outta the building, you useless cit"
SCRAP ,"When I met him he was already the best cut man in the business. Started training and managing in the 60's, but he never lost Kis gift"
BIG WILLIE,You stop it?
FRANKIE,"Can't, Willie"
FRANKIE,He's fine
RING DOCTOR,He ain't  if you don't stop that bleeding. I'il give you one more round
BIG WILLIE,What do we do? Tell me what to do
FRANKIE,Just let him hit you
SCRAP ,Sometimes there's just nothing you can do
SCRAP ,"Cut's too wide, too close to the bone, maybe you got a severed vein"
SCRAP ,Or you just can't get the coagulant deep enough
SCRAP ,There are all kinds of combinations you come up against down in the different layers of meat. And Frankie knew how to work every one
SCRAP ,Harder thing to stop is looking
SCRAP ,"People love violence. They'll watch a cock slash a rooster's throat; they slow down at car wrecks to check for bodies. They'll stand outside a bar, watch two friends stab each other with knives. Same people claim to love boxing. They got no idea what it is"
SCRAP ,Boxing is about respect
SCRAP ,Gettin' it for yourself
SCRAP ,And takin‘ it away From the other guy
FRANKIE,I'll warm up the car
MAGGIE,Mr. Dunn?
FRANKIE,I  owe you money?
MAGGIE,"No, sir"
FRANKIE,I know your mother?
MAGGIE,"Don't rightly know, sir"
FRANKIE,Then what do you want?
MAGGIE,"Iwas on the undercard, won my fight, too."
FRANKIE,Good for you
MAGGIE,You happen to see it?
FRANKIE,Nope
MAGGIE,I pretty good. Thought you might be interested in trainin' me
FRANKIE,Don't train girls
MAGGIE,Maybe you should. People see me fight say I'm pretty tough
FRANKIE,"Girlie, tough ain't enough"
HOGAN,It's a mistake
BIG WILLIE,"Cars should be abie to back up, Frankie"
FRANKIE,Just push
BIG WILLIE,What'd Hogan want?
FRANKIE,He offered us a title fight
BIG WILLIE,Bout time
FRANKIE,I turned him down
FRANKIE,"Two-three more fights, you'il be ready"
BIG WILLIE,"Been two-three more fights a long time now, Frankie"
FRANKIE,"You get one shot at the title, Willie. Lose, it may never come back around. Two-cthree more fights, you'il be ready"
BIG WILLIE,"Whatever you say, Frankie"
SCRAP ,Frankie liked to say that boxing is an unnatural act
SCRAP ,That everything in boxing is backwards
SCRAP ,Sometimes best way to deliver a punch is te step back. FRANKIE
FRANKIE," Dear Lord, do your best to protect Katy. Annie, too. Other than that, you know what I want, Lord, not gonna repeatmyself"
SCRAP ,"But step back too far, you ain't fighting at all"
FRANKIE,"Beautiful sermon, Father, made e weep."
FATHER HORVATH,What's confusing you this week?
FRANKIE,"It's the one God, three God thing again"
FATHER HORVATH,"Frankie, most people figure out by Kindergarten that it's about faith"
FRANKIE,"Is it sorta like Snap, Crackle, Pop, all in one big box?"
FATHER HORVATH,You're standing on the steps of my church comparing God to Rice Crispies? The only reason you come to mass every day is to try and wind me up; it's not gonna happen this morning
FRANKIE,I really am confused about this
FATHER HORVATH,"No, you aren't"
FRANKIE,I am.
FATHER HORVATH,"Then here's your answer: there's one God! Anything else, cause I'm busy?"
FRANKIE,What about the Holy Ghost?
FATHER HORVATH,He's an expression of God's love
FRANKIE,--And Jesus? ~-
FATHER HORVATH,"Son of God, don't play stupid!"
FRANKIE,"So, that makes him what, a demigod?"
FATHER HORVATH,"There aré no demigods, you fuckin! pagan! Did you write your daughter?!"
FRANKIE,Absolutely
FATHER HORVATH,"Now you're lying to a priest. You know what? Take a day off, don't come to mass tomorrow"
SCRAP ,Some pe ple'd say the most important thing a fighter can have is heart
SCRAP ,Frankie'd say show me a fighter who's nothing but heart and I'll show you aman waiting for a beating.
SCRAP ,Think I only ever met one Fighter whe was all heart
DANGER,"My name's Dangerous Dillard Fightin! Flippo Bam-Bam Barch outta Broward County, Texas--"
SCRAP ,Danger showed up a coupl'a years back
SCRAP ,"He'd come visitin' L.A. with Ervel, his momma's new boyfriend"
SCRAP ,Apparently Ervel got lost and ended up back in Texas
SCRAP ,Danger looked for him for about a week. ‘Fors he introduced himseif
DANGER,I gots nothin! against niggers
SCRAP ,Glad to hear it
DANGER,"Lotsa people where I comes from does, but my mamma taught me not to cause hurt to no man, niggers or not"
SCRAP ,You got a good mamma. Anything else I can do for you?
SCRAP ,"It was just one of those questions you ask, but Danger wanted to give it his best answer"
DANGER,I'd likes to become the Welterweight Champion of the world
DANGER,and I challenge the Motor City Cobra Thomas Hit Man Hearns to fight me for the WBA Welterweight Championship of the whole world!
SHAWRELLE,"Flippy, you ain't even ranked. To get ranked, you gotta have at least one fight."
SHAWRELLE,"I' ll fight any man, anytime!"
SHAWRELLE,"You're a brave man. Wanna get in the ring, go a few rounds with me?"
SCRAP ,"Leave kim be, Shawrelile. Danger, get back to your training."
DANGER,"Will do, Mist Scrap!"
SCRAP ,Shawrelle Berry had a left hook that could move a tank. But he had a heart the sige of a split pea.
SCRAP ,Frankie bought The Hit Pit from Bobby Maione seventeen years ago. Bobby wanted to move to Florida and Frankie wanted some security. Bobby died while he was packing and Frankie found out most gyms lose money.
FRANKIE,I thought I told you Danger couldn't work out here anymore.
SCRAP ,The boy's not hurting anybody
FRANKIE,He's hurting me. He's breaking my heart watching him punch the air like it's gonna punch back
FRANKIE,How many times I tell you that bleach is bleach? Why do you have to buy the stuff that costs more?
SCRAP ,Cause it smelis better
FRANKIE,Tt's bleach. It smeils like bleach!
BIG WILLIE,"Hey, Scrap"
SCRAP ,"Hey, Mr. Willie"
BIG WILLIE,"Hey, Sally"
SALLY,"Hey, Willie. Nice fight, people are talking"
FRANKIE,tá cul  fionn is dha shail ghiasa agat
SCRAP ,What the hell kind of language is that?
FRANKIE,What do you want?
SCRAP ,Just thought you'd want to know you got a fighter out there not talking to another manager
FRANKIE,Not talking to him?
SCRAP ,"And not just any manager, Mickey Mack"
FRANKIE,"So, you came in to tell me Big Willie is not talking to Mickey Mack"
SCRAP ,"Not a word, neither one of them"
FRANKIE,I'm trying to read here
SCRAP ,If you think that's more important
SCRAP ,"So, who's your new girl?"
FRANKIE,"Oh, Jesus"
SCRAP ,I'd hurry; she keep hittin’ it like chat she gomna break her wrists
FRANKIE,You wasted your money. I don't train girls
MAGGIE,Thought you might change your mind
FRANKIE,"Gotta be a dozen trainers around looking for girls, you'll have no trouble finding one. "
MAGGIE,"Don't hardly need a dozen, boss. Your mind."
FRANKIE,"I'm not your boss, so don't be calling me that. Willie, you ready to work?"
BIG WILLIE,Anytime
MAGGIE,"If I stop calling you boss, will you train me?"
FRANKIE,No.
MAGGIE,Then I might just as well keep calling you it
SCRAP ,"She came from South-Western Missouri, the hills outside the scratch-ass"
SCRAP ,"Ogark town of Theodosia, get in the cedars and oak trees somewhere between nowhere and good-bye"
SCRAP ,"She grew up knowing one thing: she Was trash, and she weren't never gomna be looked at anyway else"
OWNER,"So, you can only do dinners?"
MAGGIE,"I'm working breakfasts somewhere elee, sir. I need the rest of the day to train"
OWNER,You bathe every day?
MAGGIE,I'm sorry?
OWNER,"Had another Hillbilly girl working here, all the customers complained of the stink. She never washed"
MAGGIE,"I bathe every day, sir"
OWNER,Make sure you do
SCRAP ,"She'd come eighteen hundred miles, but Theodosia was still just over the hill"
MAGGIE,"Working the bag, boss"
FRANKIE,Not your boss and that bag's working you
FRANKIE,Give her her money back
SCRAP ,You gure?
FRANKIE,Why? How much she pay?
SCRAP ,Six months
FRANKIE,Jesus Christ
SCRAP ,"So, I'll just go give her it back"
FRANKIE,"Don't be a smart ass. Woman expects me to throw away six months dues to get rid cf her, she's out of her mind. Just don't encourage her. What the hell is Danger looking at?"
SCRAP ,Appears to be a bottle of water
FRANKIE,He paying his dues?
SCRAP ,"Boy can't afford pants, you want him to pay dues?"
FRANKIE,Ger out of my office
SCRAP ,Can't think of it as a bag
SCRAP ,"I'm not a  trainer, but I can show you this, if you want."
MAGGIE,Appreciate any help I can get
SCRAP ,"Think of it as a man; movin' back to side, toward you. Watch hin, he'll tell you when hit."
SCRAP ,"Hit now, he just gonna knock you back... ...smother your punches, take your balance. Don't punch until he starts away From you"
SCRAP ,"Keep moving, rotate. That way your head's alwavs movin' and you always have one shoulder back ready to fire a power shot"
MAGGIE,Like that?
SCRAP ,You get this down then start on the speed bag
SCRAP ,You do have a speed bag
MAGGIE,I 'll just borrow it till I can buy my own
MAGGIE,I walk out with you?
SCRAP ,I am  Home
MAGGIE,It's nice
MAGGIE,Would it bother you much if I worked a little Longer?
SCRAP ,Just pull the door closed after you
SCRAP ,"IF there's magic in boxing, it's the magic of fighting battles beyond endurance. Beyond cracked ribs, ruptured kidneys and detached retinas"
SCRAP ,"It's the magic of risking everything, for a dream that nobody sees but you"
FRANKIE,"Jab, jab, double up. dab. Do it again. One-two hook. Do it again"
SHAWRELLE,"Hey, Flippy"
SHAWRELLE,"Flippy, come here! I found someone you can beat!"
DANGER,I don't fights women
SHAWRELLE,"This here a woman? Let me lock, you might be right, Danger"
FRANKIE,"Two jabs, right-hand"
SHAWRELLE,There's her little titties! Barely even a mouthful
MAGGIE,"Saw your last fight, Shawrelle. Spent so much time face down I thought the canvas had titties"
DANGER,Canvas had titties
SHAWRELLE,You gonna work or you gonna laugh?
DANGER,Look at me! tim Shawrelle!
FRANKIE,"Two jabs, right-hand, hook. Do it again. Enough"
FRANKIE,I'll give you a rub down
BIG WILLIE,"Can't, Frankie. My middle one's got piano lesson. Told Grace I'd drive her"
FRANKIE,Grace's car not working?
BIG WILLIE,"Hates that car. Wants her old one back. Dealer won't do it, says he's already got a buyer"
FRANKIE,Want me to talk to the dealer?
BIG WILLIE,I'd appreciate that
SCRAP ,Man's a rub down whore and today he don't want one?
FRANKIE,You ever do any work around here?
SCRAP ,"Not my job I'd worry about, if I was you"
SCRAP ,Little girl's starting to come along
FRANKIE,Yeah. Almost as if somebody been helping her
SCRAP ,"Could be just a natural. Ask me, she's got something"
FRANKIE,"She's got my speed bag, that's what she's got!"
SCRAP ,Now where the hell you think she got ‘that?
FRANKIE,I'm gonna need that bag back
MAGGIE,This bag?
FRANKIE,"Yeah, it's mine. And people know it's mine, so they're gonna think I'm training you"
MAGGIE,"That such a bad thing, boss?"
FRANKIE,Yes. Every time you touch it you lose me business
MAGGIE," I gotta agree, I am embarrassing"
FRANKIE,I just don't lend out my stuff. bet
MAGGIE,I understand
FRANKIE,"Listen, you seem like a real nice girl, so I'm gonna give you some advice"
MAGGIE,I'd appreciate that
FRANKIE,"You may find a trainer in here or some other gym, cause they're all looking for girls, it's like the new freak show. But if they take you on they're wasting your time. You're too old"
MAGGIE,"Don't feel that old, boss"
FRANKIE,"Yeah, well neither do I, but you don't see me fighting twenty-one year-olds. t takes four years to train a fighter. How old are you?"
MAGGIE,Thirty two. Till my birthday
FRANKIE,"You wouldn't start training to be a ballerina at thirty-two, would you?"
MAGGIE,Already been working it three years
FRANKIE,And you can't even hit a speed bag; you had some real good training
MAGGIE,"Never had any, boss"
FRANKIE,"I hate to say it, but it shows. Figure somebody should tell you the truth"
MAGGIE,"Yeah. Sorry for using your bag, Mr. Dunn"
FRANKIE,"Ah, Jesus, you'tre mot gonna cry, are you?"
MAGGIE,"No, Sir"
FRANKIE,Take the goddamn bag
MAGGIE,"No, you need it"
FRANKIE,"I haven't even seen it in twenty years, had three new ones since, take the damn thing"
MAGGIE,I' ll just borrow it till I buy my own
FRANKIE,Just don't lose it
FRANKIE,"You give her anything else, you're fired."
FRANKIE,"Hogan, your boy is the champ, so we won't split fifties, but if I don't see forty percent--"
FRANKIE,You call me when it's sixty forty or don't call back at all
FRANKIE,Willie?
BIG WILLIE,"Hey, Frankie"
FRANKIE,Something wrong?
BIG WILLIE,"Sorry to come round to your house like this, I know you donit like people dropping in."
FRANKIE,"You're not people, Willie, you're welcome anytime"
BIG WILLIE,I wanted to thank you for getting Grace's car back
FRANKIE,"I don't know if you should thank me, Willie. Paying an extra thousand for your own car ain't much of a favor. "
BIG WILLIE,Grace broke out and cried when she Saw it. Y also need to talk to you about business
FRANKIE,I was just on the phone with Hogan. Told him we'd be ready in September. We got everything done but the split
BIG WILLIE,"I gotta leave you, Frankie."
FRANKIE,"Willie, the titie is two fights away"
BIG WILLIE,"It's not that. It's just like you said, I got one shot. If I win, f gotta make as much as I can while I can. TI need somebody in the action, who can make things happen. And I gotta make the change before the fight. Only way this guy'd take me is he takes me to the title"
FRANKIE,"So, Willie, I got you the title fight, but this guy's gonna take you there?"
BIG WILLIE,"Only way he'd do it. I'm sorry, Frankie. I know how long you been waiting for a title. I wanted it to be with me."
FRANKIE,"Mickey Mack's a business man, he can't teach ya nothing."
BIG WILLIE,You already taught me everything I need to know.
SCRAP ,There's some things people just don't want to hear.
DANGER,and I challenge the Motor City Cobra Thomas Hit Man Hearns to fight me for the WBA Welterweight Championship of the whole world!
SCRAP ,No one had the heart to tell Danger that Hearns retired years ago
SCRAP ,"Danger, I'm wearin' these mitts for a reagon"
DANGER,"Workin! on my footwork, Mist Scrap"
FRANKIE,"Danger, throw a punch or get the hell out of my gym"
SCRAP ,You be thinking about that punch. T'll be right back
DANGER,"Thinking how I'm gonna hit it hard, Mist Scrap!"
FRANKIE,"Bier mé f4in leat, is n& déan do dhe armad"
SCRAP ,Heard about Willie. Cold. Dead Cold. Wouldn't be such a shame if you weren't so damn old.
FRANKIE,Least I can see through both eyes
SCRAP ,"Didn't do you much good, did they?"
FRANKIE,I got the gym. Don't need to he training fighters at my age
SCRAP ,Willie tell you why?
FRANKIE,Mickey's got the connections.
SCRAP ,Ain't about connections. Bout you not believing in him.
FRANKIE,"I found him, I stuck with him eight years because I didn't believe in him?"
SCRAP ,Coulda got him a title fight two years ago. Man knew that. Amazing he stuck around this long
