character,dialog
SANBORN,I think we have touchdown.
SANBORN,Hello mamma.
THOMPSON,Push it in.
SANBORN,I can’t.
THOMPSON,What do you mean - you can’t? Pretend it’s your dick.
SANBORN,How about I pretend it’s your dick?
THOMPSON,You’ll never get it in if you do that. Let me try.
SANBORN,Give me a second.
THOMPSON,No. Time is up. My dick.
THOMPSON,See that?
SANBORN,Nice one-five-five.
THOMPSON,Yeah. That’s going to do some damage.
SANBORN,"Hey Eldridge, we’re going to need a charge."
ELDRIDGE,"Got it. Figured four blocks, gives you about twenty pounds of bang total. Are we going to be far enough away?"
THOMPSON,"The blast is going to roll out there  the shell will probably kick out there , and most of the shrapnel is going to rain up in a beautiful umbrella pattern. Some smaller pieces and shell fragments will come out this way but we’ll be okay if we are behind the Humvee. Bring the bot back and we will load up."
SANBORN,No problem. Bot is moving.
SANBORN,Alright. Wagon is set. Bot moves.
SANBORN,Goats! Blow those bastards up.
SANBORN,Wagon is having a bad day.
THOMPSON,Did you build that?
ELDRIDGE,"No, the U.S. Army did."
THOMPSON,It looks like I’m going down there.
SANBORN,"What, you don’t like waiting around this beautiful neighborhood?"
THOMPSON,I love it.
THOMPSON,"Okay. I’m going to make my approach. This area looks okay. No power-lines. Clean line of sight. If it looks alright when I get down there, I’m going to plug it in and we’ll just BIP it. I want them to know if they’re going to leave a bomb on the side of the road, we’re going to blow up their little fucking road."
SANBORN,Ready?
THOMPSON,"I’m craving a hamburger, is that strange?"
SANBORN,Not for you.
THOMPSON,This is Blaster One.
SANBORN,Roger that. Blaster One. You’re good to go.
THOMPSON,Nice and hot in here... One fifty.
SANBORN,Roger that.  A hundred and fifty meters.
YOUNG MAN,"Hi, where are you from?"
SANBORN,No.
YOUNG MAN,California? New York?
SANBORN,Get out of here man.
YOUNG MAN,Where?
SANBORN,This ain’t a fucking meet-and- greet. GET OUT OF HERE!
ELDRIDGE,"Making friends again, Sanborn?"
SANBORN,All day long.
THOMPSON,Twenty five.
SANBORN,"Roger, twenty five. You are now in the kill zone."
THOMPSON,Thanks for reminding me.
THOMPSON,Dets look okay.
SANBORN,Roger that.
THOMPSON,"Laying on the charge.Good to go, coming back."
THOMPSON,Five meters.
SANBORN,"Five meters, roger that."
ELDRIDGE,"Hey Sanborn, you know what this place needs?"
SANBORN,I’m listening.
ELDRIDGE,Grass.
SANBORN,We gonna start our grass business?
ELDRIDGE,That’s right. I’m going to sell the grass -- and you’re going to cut it. It’s going to be called ‘Sanborn and Sons.’ We’ll be rich.
SANBORN,"I like that. Crab grass, St. Augustine, I’m a scholar on this shit. How about this? You sell it -- I fertilize it."
THOMPSON ,Twenty five.
SANBORN,Twenty five. Roger that.
ELDRIDGE,Hey Sanborn -- Butcher shop - two o’clock! Dude has a phone!
SANBORN,Make him put it down --
ELDRIDGE,Hey - put that down--
THOMPSON,"Why is Eldridge running? Come on guys, talk to me."
ELDRIDGE,Drop the phone!
SANBORN,Burn him! Eldridge burn him!
ELDRIDGE,PUT DOWN THE CELL PHONE!
SANBORN,GET OUT OF THE WAY -- BURN
ELDRIDGE,I CAN’T GET A SHOT!!!!
MORTUARY SOLDIER,Anywhere is good.
SOLDIER,Is that everything?
SANBORN,Yeah.
SANBORN,"Sergeant James? J.T. Sanborn, my man."
JAMES,Call me Will.
SANBORN,Welcome to Bravo Company and welcome to Camp Victory.
JAMES,Camp Victory? I thought this was Camp Liberty.
SANBORN,"No, they changed the name about a week ago. ‘Victory’ sounds better."
JAMES,"Alright. Well I guess I’m in the right place. As long as you are here, could you give me a hand with this?"
SANBORN,Maybe you shouldn’t take this down. We get a lot of mortars at night here. The plywood helps stop the lateral frag from coming through. That’s why it’s up there.
JAMES,"It’s not going to stop a mortar from coming through the roof -- you know. Besides, I like the sunshine... I’m sorry about Thompson, I heard he was a good tech."
SANBORN,"Yeah, he was, and he was a great team leader too."
JAMES,I’m not trying to fill his shoes. I’m just going to do my best.
SANBORN,Appreciate it.
JAMES,Home sweet home.
ELDRIDGE,"Aren’t you glad the Army has all these tanks parked here, just in case the Russians come and we have to have a big tank battle."
SANBORN,"I’d rather be on the side with the tanks, just in case."
ELDRIDGE,"But they don’t do anything here. Anybody comes alongside the Humvee, we're dead. Anybody even looks at you funny, we’re dead. Pretty much, the bottom line, is if you're in Iraq you’re dead. How’s a fucking tank supposed to stop that?"
SANBORN,"Shut the fuck up, Owen."
ELDRIDGE,Sorry.  Just trying to scare the new guy.
JAMES,I saw a little bit in Afghanistan.
SANBORN,Hey Owen -- watch the fucking road.
ELDRIDGE,Imshee -- Imshee !
JAMES,Where are the guys who called this in?
SANBORN,"Victory Main, Victory Main, this is Blaster Mike. Interrogative, do you have an updated position?"
DISPATCH ,This is Victory Main. Negative. Figures to follow. Grid 3453.
SANBORN,"Well, that’s exactly where I am and I don’t see anybody in fatigues."
DISPATCH ,Give me a second to confirm. That visual is 3453.
JAMES,We got a Humvee.
SANBORN,Friendly!
ELDRIDGE,They abandoned their vehicle.
SANBORN,We got an empty Humvee over here!
JAMES,Got it!
JAMES,Morning boys. Don’t tell me the bomb is in there with you.
SERGEANT CARTER,"Let’s step outside, I’ll show you what’s going on."
SERGEANT CARTER,"Down the block, about 20 meters this side of the mosque, East side of the street, one of our informants saw wires in a rubble pile - possible IED. I trust this guy, I know him. You want to talk to him?"
