character,dialog
DÉAGOL,"Sméagol, I've got one!I've got a fish, Sméagol!"
SMÉAGOL,"Go on, pull it in."
SMÉAGOL,"Give us that, Déagol, my love!"
DÉAGOL,Why?
SMÉAGOL,Because...it's my birthday and I
SMÉAGOL,My precious!
SMÉAGOL,They cursed us. Murderer. Murderer they called us. They cursed us and drove us away.
SMÉAGOL,"And we wept, Precious. We wept, to be so alone. And we forgot the taste of bread, the sound of trees, the softness of the wind ... We even forgot our own name. Gollum! Gollum"
GOLLUM,It’s mine! My own. It came to me.
SMÉAGOL,My Precious.
GOLLUM,"Wake up! Wake up! Wake up, sleepies! We must go, yes, we must go at once!"
SAM,"Haven't you had any sleep, Mr. Frodo?"
SAM,I've gone and had too much!
SAM,It must be getting late
FRODO,No ... no it isn't. It isn't midday. yet. The days are growing darker.
GOLLUM,"Come on, must go, no time..."
SAM,Not before Mr. Frodo's had something to eat.
GOLLUM,"... no time to lose, silly."
SAM,Here.
FRODO,What about you?
SAM,"I'm not hungry – leastways, not for Lembas bread."
FRODO,Sam.
SAM,"Alright. We don't have that much left We have to be careful or we're going to run out. You go ahead and eat that, Mister Frodo. I've rationed it. There should be enough."
FRODO,For what?
SAM,The journey home.
GOLLUM,"Come, Hobbitses. Very close now. Very close to Mordor! No safe places here. Hurry! Shhh"
PIPPIN,I feel like I'm back at the Green Dragon after a hard day's work.
MERRY,"Only, you've never done a hard work. Welcome, my Lords, to Isengard."
GIMLI,"You young rascals! A merry hunt you've led us on, and now we find you, feasting and smoking."
PIPPIN,"We are sitting on a field of of victory, enjoying a few well-earned comforts. The salted pork is particularly good."
GIMLI,Salted pork?
GANDALF,Hobbits.
MERRY,"We're under orders, from Treebeard, who's taken over management of Isengard"
TREEBEARD,"Burarum ... Young Master Gandalf. I'm glad you've come. Wood and water, stock and stone, I can master, but there’s a Wizard to be managed here ... locked in his tower."
GANDALF,"And there Saruman must remain, under your guard, Treebeard."
GIMLI,Let's just have his head and be done with it.
GANDALF,No. He has no power any more.
TREEBEARD,"The filth of Saruman is washing Away ... Trees will come back to live Here, young trees ... wild trees"
GANDALF,"Peregrin Took! I'll take that, my lad. Quickly, now!"
THÉODEN,Tonight we remember those who gave their blood to defend this country. Hail the victorious dead!
ÉOWYN,Westu Aragorn hál.
THÉODEN,I am happy for you.
THÉODEN,He is an honorable man.
ÉOWYN,You are both honorable Men.
THÉODEN,"It was not Théoden of Rohan who led our people to victory. Don't listen to me. You are young, and tonight is for you."
MERRY,"Oh, you can search – up and down As many lands as can be found But you'll never find a beer so brown As the one we drink in our home town You can keep your fancy ales You can drink them by the flagon But the only brew, for the brave and true, Comes from the Green Dragon!"
ARAGORN,No news of Frodo?
GANDALF,No word ... nothing.
ARAGORN,We still have time.
GANDALF,Do we know that?
ARAGORN,What does your heart tell you?
GANDALF,"That Frodo is alive.  Yes - yes, he is alive."
SMÉAGOL,Too risky. Too risky. The thieves! They stole it from us. Kill them … kill them ... kill them both!
GOLLUM,"Shhh! Quiet! SMustn’t waken them, mustn't ruin it now!"
SMÉAGOL,"They knows, they knows, they"
GOLLUM,"What's it saying, my Precious, my love? Is Sméagol losing his nerve??"
SMÉAGOL,No! Not! Never!! Sméagol hates nasty Hobbitses! Sméagol wants to see them – dead!
GOLLUM,And we will ... Sméagol did it once… He can do it again. It's ours - ours!
SMÉAGOL,We must get the Precious. We must. It's ours - ours!
GOLLUM,"Patience, patience, my love. First, we must lead them to her"
SMÉAGOL,We lead them to the windy stairs.
GOLLUM,"Yes, the stairs ... and then?"
SMÉAGOL,"Up, up, up, up the stairs we go until we come to.. the Tunnel"
GOLLUM,"And when they go in, there's no coming out. She's always hungry, she always needs to feed. She must eat. All she gets is filthy Orcses"
SMÉAGOL,"And they doesn't taste very nice, does they, Precious?"
GOLLUM,"No ...not very nice at all, my love. She hungers for sweeter meats.."
GOLLUM,"“Hobbit meat.” And when She throws away the bones and the empty clothes, then we will find it..."
SMÉAGOL,And take it for me!
GOLLUM,For us...
SMÉAGOL,"Yes, we, we meant for us… Gollum! Gollum!"
GOLLUM,"The Precious will be ours, once the Hobbitses are dead!"
SAM,You treacherous little toad!
GOLLUM,No! Not! Help! Master!
FRODO,"No, Sam! Leave him alone!"
SAM,I heard it from his own mouth ... He means to murder us!
SMÉAGOL,"Never! Sméagol wouldn't hurt a fly!  He’s a horrid, fat Hobbit who hates Sméagol and who makes up nasty lies!"
SAM,You miserable little maggot! I'll stove your head in
FRODO,Sam...
SAM,Call me a liar! You're a liar!
