character,dialog
GRAHAM,It's the sense of touch.
GRAHAM,"Any real city, you walk, you're bumped, brush past people. In LA, no one touches you ...."
MOTORCYCLE COP,You two all right?
RIA,I think he mighta hit his head.
GRAHAM,You don't think that's true?
MOTORCYCLE COP,Stay in your car.
RIA,"Graham, we were rear-ended. We spun around twice. Somewhere in there one of us lost our frame of reference. I'm gonna go look for it."
MOTORCYCLE COP,"Calm down, ma'am!"
KIM LEE,I am calm!
MOTORCYCLE COP,I need to see your registration and insurance.
KIM LEE,Why? Not my fault! Her fault! She do this!
RIA,I do this?
MOTORCYCLE COP,"Ma'am, wait in your vehicle."
KIM LEE,Stop in middle of street! Mexicans! No know how to drive! She blake too fast!
RIA,"I blake too fast?? Oh, sorry, you no see my 11blake lights?"""
MOTORCYCLE COP,Ma-am--
RIA," I blake when I see long line cars stop in front of me. You see over steering wheel, maybe you blake, too."
MOTORCYCLE COP,Ma' am- -
KIM LEE,Crazy Mexican! I call immigration on you! Look you do my car!
RIA, Can you just write in your report how shocked I am to have been hit by an Asian driver?
MOTORCYCLE COP,Ma'am--
RIA," It's not Ma'am, it's Detective."
MOTORCYCLE COP,"Oh, Christ."
KIM LEE,"No care you cop, wanna see insurance! Stupid wetback blake my car!"
DETECTIVE CARR,You okay?
GRAHAM,Freezing.
DETECTIVE CARR,Heard it might snow.
GRAHAM,Get outta here.
DETECTIVE CARR,That's what I heard.
GRAHAM,You got a smoke?
DETECTIVE CARR,Quit.
GRAHAM,"Me, too."
GRAHAM ,What have you got?
DETECTIVE CARR,Dead kid.
DETECTIVE CARR ,You touch anything and it's yours.
DIRK ,"You get one free box of ammunition, what kind you want?"
FARHAD,"What did he say ""ammunition""?"
DORRI, He asked what kind of bullets you want.
FARHAD, The kind that fit in the gun!
DORRI,There's more than one type.
FARHAD,How do I know? I don't know anything about bullets.
DORRI,Which is a really good reason not to be buying a gun.
FARHAD,You don't use that tone of voice with me.
DIRK,"Yo, Osama, plan the Jihad on your own time; what do you want?"
FARHAD,What is he saying about Jihad? Are you making insults at me?
DIRK,Am I making insults at you?? That's the closest you get to English?
FARHAD,I am American citizen--!
DIRK,"Oh, God."
FARHAD,I have rights like you! I have right to buy gun!
DIRK,"Not from my store, you don't."
DORRI,"Go wait in the car, Dad."
FARHAD,You are ignorant man!
DIRK,"Yeah, I'm ignorant; you're liberating my country and I'm flying 747s into your mud huts and incinerating your friends. Get the fuck out of my store."
SEC. GUARD, Let's go.
FARHAD,You don't touch! This man cheats me!
DORRI ,"You can give me the gun or give me the money back, and I'm really hoping for the money."
DIRK,And what kind of ammunition do you want?
DORRI,Whatever fits.
DIRK,"Oh, we got a lot of things that fit. We got long colts, short colts, ball heads, flat-nose, hollow points, wad cutters and a dozen more that all fit in the same size hole, just depends how big a ""bang"" you can handle."
DORRI,I'll take the ones in the red box.
DIRK, Do you know what those are?
DORRI,Can I have them?
ALLAN,"No, please tell me: what ""sin"" did I commit this time?"
ANTHONY,You see any white people in there waiting an hour and thirty two minutes for a plate of spaghetti? Huh? And how many cups of coffee did we get?
PETER,You don't drink coffee and I didn't want any.
ANTHONY,That woman poured cup after cup to every white person around us. Did she even ask you if you wanted any?
PETER,"We didn't get any coffee that you didn't want and I didn't order, and this is evidence of racial discrimination? Did you happen to notice our waitress was black?"
ANTHONY,"And black women don't think in stereotypes? When's the last time you met one who didn't think she knew everything about your lazy ass before you even opened your mouth? That waitress sized us up in two seconds. We're black and ""black people don't tip"" so she wasn't gonna waste her time; someone like that, nothing you can do to change their mind."
PETER,So how much you leave her?
ANTHONY,You expect me to pay for that kinda service??
ALLAN,"... What? What? Hey, come on! I'm sorry."
PETER,"Nothing, nothing."
RICK,You're seriously jealous of Karen??
JEAN,"Hardly. I'd just like to see you get through a meal without calling her, or someone else at your office."
RICK,See this? Off. No more calls tonight.
JEAN,Ten bucks says she calls on the car phone.
ANTHONY,You see what that woman just did?
PETER,"She's cold, man."
ANTHONY,She got colder soon as she saw us.
PETER,--Here it comes.
ANTHONY,"Look around! You couldn't find a whiter, safer or better lit part of this city. But this white woman sees two black guys, who look like UCLA students, strolling down the sidewalk and her reaction is blind fear. I mean, look at us! Are we dressed like gangbangers? Do we look threatening? No. Fact, if anybody should be scared, it's us: the only two black faces surrounded by a sea of over caffeinated white people, patrolled by the trigger- happy"
PETER,Because we have guns?
ANTHONY,You could be right.
PETER,Away from the car! Away from the car!
ANTHONY,Gimme the keys! Gimme the keys! Shut up and give me the keys!
JEAN,Oh my God! Oh my God! Rick!
RICK,"Don't shoot, just don't shoot."
ANTHONY,Get in! Get in!
PETER,Unlock the door!
ANTHONY,Stop!!
PETER,Haven't seen it.
ANTHONY,No! No! Take that voodoo-ass thing right now! Look at the makes!
PETER,You're calling St. Christopher voodoo? Man's the patron saint of travelers.
ANTHONY,"God talk to you, did he? What did he say? ""Go forth my son and leave big, slobbery suction rings on every dashboard you find??"" Why the hell do you do that?"
PETER,"Look at the way you drive, then ask me again!"
OFFICER JOHNSON,"Ford pickup and Mercedes driving North on Hill. The pickup cuts in front. Driver of the Mercedes gets pissed, pulls a gun -- he doesn't realize the guy in the pickup is a cop coming off shift."
GRAHAM,That the cop?
OFFICER JOHNSON,Yeah. Name is Conklin. Narc out of Wilshire. talk to him?
GRAHAM,Not yet.
OFFICER JOHNSON,"Mercedes takes a shot at him. Detective Conklin returns fire, one shot. Mercedes hits the wall, driver opens the door and falls out dead."
RIA,I got the Mercedes.
GRAHAM,Looks pretty relaxed for having shot a man.
OFFICER JOHNSON,"He says he kept trying to drive away but the Mercedes kept pulling up next to him, screaming, waving the gun. Shot back in self-defense."
GRAHAM,Anyone see who shot first?
OFFICER JOHNSON,They just heard two bangs.
GRAHAM,Find me a witness.
GRAHAM ,Nice gun.
RIA,One bullet fired. The car is registered to Cindy Bradley. That's not his name. His name is William Lewis. (hands him a wallet) It was under the front seat.
GRAHAM,Looks like Detective Conklin shot himself the wrong nigga.
PARK,How soon can I have them?
CHOI,Tonight. I'm picking them up right now. Good doing business with you.
RYAN ,I keep telling you he's in pain. He can't sleep.
SHANIQUA,And I told you the clinic is only open after hours for emergencies--
RYAN,-This is an emergency--
SHANIQUA,"Mr. Ryan, your father has been to the clinic three times in the last month. He's being treated for a urinary tract infection that is by no means an emergency. If you have any more questions about your HMO plan, you can make an appointment"
SHANIQUA,I don't know. I'm not a doctor.
RYAN,I want to speak to your supervisor.
