character,dialog
STAGE MANAGER,Anybody seen the Kelly sisters?
STAGE MANAGER,You’re up in five.
STAGE MANAGER,"Velma, where ya been? And where’s Veronica?"
VELMA,She’s not herself tonight.
STAGE MANAGER,But they paid to see a sister act.
VELMA,Don’t sweat it. I can do it alone.
BANDLEADER,"Ladies and gentlemen, the Onyx Club is proud to present Chicago’s hottest dancing duo..."
BANDLEADER,...the Kelly sisters.
VELMA,I’M GONNA ROUGE MY KNEES AND ROLL MY STOCKINGS DOWN AND ALL THAT JAZZ. START TBE CAR I KNOW A WHOOPEE SPOT WHERE’ THE GIN IS COLD BUT TRE PIANO’S HOT IT’S JUST A NOISY DRLL WHERE TDERE’S A NIGHTLY BRAWL.
ENSEMBLE,SLICK YOUR HAIR AND YEAR YOUR   BUC2C E   SHOES AND ALL THAT JAZZ' I HEAR THAT FATHER DIP IS GONNA BLOW TRE BLUES AND ALL THAT JAZZ
VELMA,"HOLD ON, HON ’RE GONNA BUNNY HUG I BOUGHT SOME ASPIRIN DOWN AT UNITED DRUG IN CASE YOU SHAKE APART AND WANT A BRAND NEW START TO DO THAT "
CASELY,"Let’s go, babe."
ROXIE,But I didn’t even meet your friend.
CASELY,"Don’t worry, Roxie. It’s all taken care of."
ROXIE,You told him about me?
CASELY,"Yeah, kid, it’s all arranged."
VELMA,"OH, YOU’RE GONNA SEE YOUR SHEBA SHINMY SHAKE"
VELMA,AND ALL THAT JAZZ
VELMA,IF SHE’D HEAR
VELMA,THAT...
ROXIE,"mvenin’, Mrs. Borusewicz."
NEIGHBOR,Mrs. Hart.
ROXIE,This is Fred. He's my brother.
VELMA,"COME ON, BABE WHY DON’T WE PAINT THE TOWN AND ALL THAT JAZZ I’M GOMNA ROUGE MY KNEES AND ROLL MY STOCKINGS DOWN AND ALL THATJAZZ"
VELMA,START THE CAR I KNOW A WHOOPEE SPOT WHERE THE GIN IS COLD BUT THE PIANO’S HOT
VELMA,"IT’S JUST A NOISY HALL	IF SHE’D HEAR THERE’S A NIGHTLY BRAWL HER BABY’S QUEER AND ALL THAT JAZZ! FOR ALL THATJAZZ!"
ROXIE,"Say it again, Fred."
CASELY,"You’re a star, kid.My little shootin’ star"
ROXIE,"Say it again, Fred."
ROXIE,"Hey, where’s the fire? Amos ain’t due home ’til midnight."
ROXIE,Freddy...hon...now I don’t want you to feel like I’m naggin’ at you...
ROXIE,"...but don’t you think it’s about time I met your friend down at the Onyx7 I mean, it’s been almost a month since you told him about me."
ROXIE,"They say she found ’em in the kip together. Geeps, if I ever found Amos slippin’ it to someone else, I’d throw him a party."
ROXIE,A great big goin’ away party.
CASELY,It’s gettin’ late.
ROXIE,"I been thinkin’ a lot about my act. See, whenever I get a good idea, I try to write it down before it goes out of my head."
ROXIE,"Oh, right. It hit me the other day that all the really knockout acts have somethin’ a little different goin’ on. You know, asignature bit"
ROXIE,I thought my thing could be...aloof.
ROXIE,"Give ’em enough to get ’em good and hungry, but always leave ’em wanting more."
ROXIE,"And once I get a name for myself, maybe we can open a club of our own. You can run it and I’ll be the headliner."
ROXIE,Hey. What’s the idea?
CASELY,"take up, kiddo. You am Y never gonna have an act ."
ROXIE,Says who?
ROXIE,"Well sure, but you got connectiona. That guy down at the club..."
CASELY,There is no guy.
ROXIE,But that night...
CASELY,...was the first time I set foot in that joint. I was collectin’ on a bet from the trombone player.
ROXIE,"so you never told anyone about me? Sugar, you were hot stuff. I woulda said anything to get some of that"
ROXIE,And now?
CASELY,We had some laughs.
CASELY,Let’s leave it at that.
ROXIE,"Fred, you can’t do this to me..."
CASELY,Touch me again and I’ll put your lights out.
CASELY,Your husband’ll be home soon. Why don’t you wash yourself before you go spreadin’ those legs again?
ROXIE,"You’re a liar, Fred. You lied to"
CASELY,"That’s life, aweetheart."
ROXIE,You son-of-a-bitch
CASELY,Shit.
ENSEMBLE,WHOOPEE...
PHOTOGRAPHER,"Why you botherin’, Sat? This one’s all wrapped up."
PHOTOGRAPHER,I hear it’s a new city record. From killing to confession in an hour flat.
SGT. FOGARTY,...and where’d you get the murder weapon?
AMOS,"I keep a gun in the underwear drawer. Just in case of trouble, you know..."
SGT. FOGARTY,"Well that’s just fine. Sign right there, Mr. Hart"
AMOS,Freely and gladly. Freely and gladly.
SGT. FOGARTY,And mind you don’t say we beat it out of you when you get on the witness stand.
AMOS,"No, I gave myself up. Surrendered of my own free will."
HARRISON,Isn’t he the cheerful murderer?
ROXIE,"Shootin’ a burglar ain’t murder' Just last week, a jury thanked a man."
HARRISON,I’m always grateful for citizens who know the law.
HARRISON,Get in there.
HARRISON,You too.
HARRISON,"Okay, from the top."
HARRISON,Off course he has .
AMOS,"Well, I come home from the garage and I see him climbing through the window."
AMOS,"With my  wife Roxie layin' there, sleepin’ like an angel...an angel'"
HARRISON,"Is that true, Mrs. Hart?"
AMOS,My wife had nothin’ to do with it. She wouldn’t hurt a worm. Not even a worm.
BANDLEADER,"For her first number, Miss Roxie Hart would like to sing a song of love and devotion dedicated to her dear husband Amos ..."
