character,dialog
BOB ANDERS,Carnival’s bigger today.
MARINE SGT. SICKMANN,... Fort Apache is breached -- * please advise --
ANN SWIFT,"There are hundreds of people out there -- No, thousands... There are * thousands --"
BOB ANDERS,Are these supposed to be bulletproof?
MARK LIJEK,"Well, they’ve never been tested."
AL GOLACINSKI,Marines to Number One -
BOB ANDERS,Can we get some fucking police please?
AL GOLACINSKI,Don’t shoot. You don’t want to be * the sonofabitch who started a war - -
AL GOLACINSKI,"They need an hour to burn the classified -- Hold. You shoot one person, they’ll kill every one of us in here."
PROTESTORS,La ilaha ilallah --
AL GOLACINSKI,"Tear gas as last resort ONLY -- I repeat, only if your life is under threat!"
JOE STAFFORD,-- We’re not going out in this --
MARK LIJEK,We are in the only building with an exit direct to the street.  We need to GO --
AL GOLACINSKI,I’m going outside.
GALLEGOS,Why?
AL GOLACINSKI,To reason with them. 
KUPKE,Just everything.  Don’t sort it --
ANN SWIFT,"-- NONE, there are no police --"
CORA LIJEK,-- Second floor -- anyone who can hear this -- we need help --
AL GOLACINSKI,Let me in!  Jesus Christ!  Open the fucking door!
ANN SWIFT,-- Washington on flash -- Get Ops -- get a line --
BILL DAUGHERTY,"Well, Tom.  You wanted to see the world..."
BILL DAUGHERTY,Are you kidding me?
AHERN,Get the shredder.
ANN SWIFT,"No... Hal -- yes  -- INSIDE the building, IN --"
MARK LIJEK,Nobody is coming.  We need to go. 
BOB ANDERS,Iranians first. Go!  Now!
STUDENT,Who has made this!!!
ANN SWIFT,It’s done.  They’re in.
BOB ANDERS,Keep going.
BATES,"These fucks can hit us, we can’t hit back?"
MALICK,Mossadeq.  We did it to them first.
BATES,You think the Russians would put up with this?  They’d fucking invade --
MALICK,What did you expect?  We helped a guy torture and de- ball an entire population --
PENDER,Schafer!  Schafer!
BRICE,At least 60.  Could be a hundred.
GENCO,You still haven’t found Schafer?
PENDER,"No, I was screaming his name ‘cause I was fucking him."
SAUNDERS,Six got out!
VANCE,I was told five.
BATES,Apparently it’s six now.
VANCE,What happened?
PENDER,Not clear.  We know they escaped the embassy.
VANCE,Where are they?
SAUNDERS,The Canadian Ambassador’s house.
BATES,Are we attempting rescue?
BRICE,Hold for the Secretary --
BUTLER,They’re claiming the embassy was a ‘den of -- ‘
JORDAN,"We wish it was the fucking Den of Espionage.  C.I. had three people there, didn’t see a revolution coming?  I’d call that something other than intelligence --"
SECRETARY,Hold for the Chief of Staff --  Hodding --
JORDAN,I’ll call him back.
BUTLER,They’re sticking to it.  No release till we expel the shah.
TITTERTON,Put him on a plane.  Fuck him.
JORDAN,He’s half dead and he’s in chemo.
BUTLER,We took him in.  He’s ours now.
TITTERTON,So we’ll take in any prick as long as he’s got cancer?
JORDAN,"No.  Just the pricks on our side. So all our other pricks on their prick thrones know, when they get run out on a rail, they won’t be getting their spleens out by a camel vet in the Sinai."
TITTERTON,The six with the Canadians.
JORDAN,We’ve got 60 in the embassy with guns to their heads right now --
TITTERTON,The eyes of the world are on the * embassy. That makes them safer * than the six on the street. *
ANALYST,Bani-Sadr’s saying it’ll be over in 24 hours.
JORDAN,Leave the six where they are. * I’ll go brief the president. *
MENDEZ,Yeah. 
NEWSCASTER,Prime Minister Bani-Sadr today re- stated demands for the hostages’ release...
BROKAW,"Week ten of a hostage crisis that seems without end.  A glimmer of hope after the release of some women and Afro-Americans but little activity in the weeks since, and the images of bound Americans under armed guard have many losing hope --"
ANGELA BELK,"I’m so afraid that I won’t see him again.  That he won’t get out from over there, because everything -- it seems like everything they’re trying to do is just backfiring, it’s not working --"
PRESIDENT CARTER,The United States shall not purchase oil from Iran.  Iranian assets shall be frozen and the U.S. shall engage in a forceful campaign of international diplomacy against the Iranians...
MENDEZ,Ten weeks State’s sitting on this?
O’DONNELL,"The six of them went out a back exit.  Brits turned them away, Kiwis turned them away.  The Canadians took them in.  They’ve been there since."
O’DONNELL,Traffic calls them The Houseguests.  Haven’t left the Canadian ambassador’s house since it happened.
MENDEZ,Compromised? *
O’DONNELL,"Just a matter of time.  We’ve got Revolutionary Guards going door-to- door like Jehovah’s Witnesses, looking for escapees.  They’re out for blood, Tony.  Half of them think Khomeini’s been too lenient with the ones in the embassy."
MENDEZ,White House?
O’DONNELL,Carter’s shitting enough bricks to build the pyramids. He wants the * six of them out.
MENDEZ,Who else knows?
O’DONNELL,"Just the families.  Meanwhile, some genius in the embassy was keeping a mug book of everybody who worked there."
MENDEZ,Jesus Christ.
O’DONNELL,"We think it got shredded before they got in, but the fuckers have sweat-shop kids in there re- assembling the shreds."
O’DONNELL,They’re gonna make an example of the ones who escaped.  Standing- room-only for beheadings in the square.
MENDEZ,Who’s handling?
O’DONNELL,State’s coordinating in-house.
MENDEZ,They don’t do exfils. 
O’DONNELL,"They do now.  They want to run it by us, strictly as consultants."
O’DONNELL,"Engell’s saying it’s lose-lose. These people die, they die badly. Publicly.  ‘State wants the blame, he’ll give it to them."
MENDEZ,Then why’s he want me?
O’DONNELL,So he can tell State he ran it by his best exfil guy.
O’DONNELL,Tony.  This isn’t the kind of meeting where you talk.
ENGELL,Okay.  This is Bob Pender from State O.S.  He’s been talking to Morgan at ExtAff.
PENDER,"Mark and Cora Lijek, 29 and 25. He’s a consular officer and she’s an assistant.  Newlyweds.  They just got there a couple of months ago.  No language skills or in- country knowledge. Henry Lee Schatz.  Agricultural attache from Idaho.  He was there to sell U.S. tractors to Iranian agro.  Hid out with the Swedes during the takeover then made his way to join the others with the Canadians. Joe Stafford.  Late twenties. He’s smart and a climber.  Speaks Farsi.  Arranged the hire of his wife Kathy --"
BATES,Understaffed so the faculty wives were the typing pool.
PENDER,"Bob Anders.  Senior consular officer, oldest of the group. Most likely to be group leader. So. What we like for this are bicycles. We’ve identified backroads from the Shemiran district -- a couple of rat lines through the mountains to the crossing at Tabriz. Cars are off the table because of the roadblocks."
BATES,We wait till the weather clears up then we deliver six bikes and provide maps to the Turkish border.
PENDER,We have intelligence they can ride bicycles.  Or we’re prepared to send in somebody to teach them.
MENDEZ,You can send in training wheels and wait at the border with Gatorade.
MENDEZ,It’s 300 miles to the Turkish crossings.  They’d need a support crew behind them with a tire pump.
ENGELL,"We’ve only been asked to sharpshoot this, State’s handling the op."
PENDER,Who is --
O’DONNELL,Tony’s an exfil spesh.  He got a lot of the shah’s people out after the fall.
MENDEZ,"If these people can read OR add, any minute they’re gonna figure out they’re six short of a full deck.  It’s winter.  You wanna wait around for a nice spring day for bike rides? The only way out’s through the airport.  You build them new identities, a Moses goes in, takes them out on a commercial flight."
BATES,We’re exploring that option.
ENGELL,They wouldn’t clear airport control.  Komiteh own the place.
BATES,They would pose as reporters.  The government issued 70-something --
BATES,-- visas for American journalists.
MALINOV,74.
MALINOV,And the Revolutionary Guards keep them on 74 leashes.
MENDEZ,"They get caught with journalist creds, you’ve got Peter Jennings with a noose around his neck in an hour."
LAMONT,World Noose Tonight.
BATES,North American accents give us limited options. So we get the Canadians to issue them passports...
GENCO,English teachers from the international school.  Tested model.  It’s worked before.
MENDEZ,The school was shut eight months ago.
BATES,So do-gooders.  They’re six Canadians who’ve been over there inspecting crops.  Making sure the kids get enough to eat.  Get them creds for an AG NGO --
BATES,A Feed the Children thing -- O.S. can make binders with starving kids --
MALINOV,These kids are black. These are African kids.
LAMONT,Are there starving kids in Iran?
