character,dialog
GAY,You take care of yourself out there.
FERN,"What Child is this who, laid to rest/ On Mary's lap is sleeping? Whom Angels greet with anthems sweet/ While shepherds watch are keeping?"
PATTY,No. I don’t see your reservation.
FERN,Are you sure? I’m on the Amazon CamperForce list.
PATTY,"Ooooh, Amazon. I see. Hold on."
FERN,Try McD...
PATTY,There you are!
AL,Seems like more every year.
LINDA MAY,I quit.
FERN,What?!
LINDA MAY,I know. Forty-three years. Wasn’t as hard as I thought.
FERN,"I salute you, Linda May."
LINDA MAY,"Well, I had to. Doctor said I have macular degeneration in my right eye."
FERN,Oh shit.
LINDA MAY,Could’ve been worse.
FERN,What can you do?
LINDA MAY,"Eat healthier, exercise. Definitely no smoking."
LINDA MAY,"Oh, I was enjoying that."
FERN,"No, no."
LINDA MAY,"I think I found land, Fern."
FERN,Really?! Where?
LINDA MAY,"Douglas, Arizona. Right on the Mexico border. It’s four acres in the desert. And I just put down the deposit."
FERN,Nice!
LINDA MAY,"Yeah. Real nice. Well, I haven’t actually seen the land in person but the pictures on Craigslist looked real nice."
FERN,Linda May!
LINDA MAY,Fern! I’m taking a leap of faith! It’s now or never!
FERN,Valid point. The other day I looked in the mirror and I saw my mother.
LINDA MAY,Exactly. I look into the mirror and I see my grandmother.
FERN,I put these drawers under the bed. They pull out from both sides. Now I can get my stuff from inside and outside.
LINDA MAY,Very smart. Where’s your bucket? And the carbon detector? Mr. Buddy heater?
FERN,Here. Here. And my bucket and cat litter is right here. I made a curtain to cover it.
LINDA MAY,I should do that. I have to hurry and hide my bucket whenever people are visiting.
FERN,"Oh, look. This is my husband’s old fishing box. I made a little stopper and when it opens... It becomes a surface to work on."
LINDA MAY,Counter space is everything.
FERN,And I got my nice dishes that my Dad gave me. He collected these from yard sales and when I graduated from high school he gave me the whole set.
LINDA MAY,Beautiful.
FERN,It’s called “autumn leaf”. I don’t have that many pieces left though.
LINDA MAY,Have you named your van yet?
FERN,Vanguard.
LINDA MAY,Ooooh. That’s strong.
FERN,She is.
BRANDY,Fern! Hi!
FERN,Hi... Hi Brandy.
BRANDY,Hey girls. It’s Mrs. M!
DAUGHTERS,"Hi, Mrs. M."
BRANDY,How have you been?
FERN,Good. Real good.
BRANDY,You’re working at Amazon again?
FERN,Yep.
BRANDY,How is it? You like it?
FERN,Yes. Great money.
BRANDY,You still doing the... van thing?
FERN,Yes. I’m parked at Desert Rose RV Park.
BRANDY,"We just drove by there today. Didn’t we, girls -- ?"
FERN,How’s your mom?
BRANDY,Good. Real good. She misses you. You know... You can stay with us. I mean at least while you’re working around here. We’re worried about you.
FERN,Don’t worry about me. I’m fine. Thank you.
BRANDY,"OK... You let us know if you change your mind, yeah?"
FERN,I promise. Merry Christmas.
BRANDY,"Merry Christmas, Fern. Take care!"
MACKENZIE,"Hey, Mrs. M... we went to Burning Man for field trip this year."
FERN,Finally!
MACKENZIE,"Right?! Well, we went before it started. They gave us ice cream and we got to write our names and a message on a piece of wood, and they put the wood on top of that big temple thing they built and then they burn it on the last day."
FERN,Nice. What did you write on yours?
MACKENZIE,I wrote that I wish we still lived in Empire and all my friends that moved away are all moving back.
FERN,You like your new school?
MACKENZIE,It’s OK.
FERN,I bet you’re still the smartest kid.
MACKENZIE,"Yeh, kinda."
FERN,You remember anything we worked on when I tutored you?
MACKENZIE,"Uh, yes... Tomorrow, and tomorrow, and tomorrow/ And all our yesterdays have lighted fools/ The way to dusty death/ Out, out, brief candle!"
FERN,That’s really good. Thank you.
MACKENZIE,My mom said you’re homeless. Is that true?
FERN,"No... I’m not homeless. I’m just... houseless. Not the same thing, right?"
MACKENZIE,No.
FERN,"It’s nice to see you, Mackenzie."
MACKENZIE,"Yeah. Ok. Bye, Mrs. M."
