oscar_year,award,genero,anger,disgust,fear,joy,neutral,sadness,surprise
2010,Adapted Screenplay,male,30.0,10.0,10.0,0.0,30.0,10.0,10.0
2010,Best Picture,female,0.0,0.0,0.0,0.0,100.0,0.0,0.0
2010,Best Picture,male,35.699999999999996,14.299999999999999,3.5999999999999996,0.0,35.699999999999996,0.0,10.7
2010,Original Screenplay,female,0.0,0.0,0.0,0.0,100.0,0.0,0.0
2010,Original Screenplay,male,35.699999999999996,14.299999999999999,3.5999999999999996,0.0,35.699999999999996,0.0,10.7
2011,Adapted Screenplay,female,17.4,13.0,0.0,4.3,39.1,0.0,26.1
2011,Adapted Screenplay,male,8.9,13.3,0.0,6.7,48.9,2.1999999999999997,20.0
2011,Best Picture,female,33.300000000000004,11.1,11.1,0.0,22.2,11.1,11.1
2011,Best Picture,male,0.0,0.0,4.5,22.7,50.0,18.2,4.5
2011,Original Screenplay,female,33.300000000000004,11.1,11.1,0.0,22.2,11.1,11.1
2011,Original Screenplay,male,0.0,0.0,4.5,22.7,50.0,18.2,4.5
2012,Adapted Screenplay,female,20.0,26.700000000000003,6.7,6.7,26.700000000000003,0.0,13.3
2012,Adapted Screenplay,male,5.8999999999999995,11.799999999999999,0.0,11.799999999999999,47.099999999999994,17.599999999999998,5.8999999999999995
2012,Original Screenplay,female,0.0,0.0,27.3,18.2,27.3,9.1,18.2
2012,Original Screenplay,male,4.3,0.0,8.7,4.3,65.2,8.7,8.7
2013,Adapted Screenplay,female,13.3,0.0,6.7,6.7,66.7,0.0,6.7
2013,Adapted Screenplay,male,15.6,3.9,7.8,0.0,54.50000000000001,5.2,13.0
2013,Best Picture,female,13.3,0.0,6.7,6.7,66.7,0.0,6.7
2013,Best Picture,male,15.4,3.8,7.7,0.0,55.1,5.1,12.8
2013,Original Screenplay,female,20.0,10.0,0.0,0.0,50.0,10.0,10.0
2013,Original Screenplay,male,30.599999999999998,24.5,2.0,8.200000000000001,20.4,4.1000000000000005,10.2
2014,Adapted Screenplay,female,18.2,0.0,9.1,9.1,45.5,18.2,0.0
2014,Adapted Screenplay,male,18.4,7.9,7.9,5.3,44.7,13.200000000000001,2.6
2014,Best Picture,female,18.2,0.0,9.1,9.1,45.5,18.2,0.0
2014,Best Picture,male,18.4,7.9,7.9,5.3,44.7,13.200000000000001,2.6
2014,Original Screenplay,female,21.4,0.0,0.0,28.599999999999998,14.299999999999999,7.1,28.599999999999998
