character,dialog
ALEKS,Oh shit! It’s almost midnight! It’s almost midnight.
TOROS,"Hey, this is not a jungle gym, get off of there."
TOROS,Fucking kids.
ANI,That feel good?
IVAN,Yeah?
TOROS,"Ivan, we’re leaving. You good?"
IVAN,"Whatever. I’m busy, man. The fuck."
ANI,All good?
IVAN,All’s great.
ANI,Oh shit.
IVAN,Good morning.
ANI,"No, no dude, it’s 5 o’clock... PM."
IVAN,"Oh good afternoon. Well, come back. C’mon. Don’t go yet."
ANI,"Dude, I work tonight. I got shit to do."
IVAN,"Here, come back. Please. Just a minute."
ANI,Yeah?
IVAN,So... I want you to be exclusive with me. For the week. And we can have... fun.
ANI,What’s ’exclusive’?
IVAN,I don’t know... only with me.
ANI,Exclusive.
IVAN,"Yes, exclusive."
ANI,Like how... exclusive?
IVAN,Hang with me and my boys for the week. We can have fun. Party. Like... be my girlfriend for the week.
IVAN,My horny girlfriend for the week.
IVAN,"No, but seriously."
IVAN,Oh... of course... how about 10K for the week?
ANI,"15, cash, up front."
IVAN,No problem.
IVAN,So... deal?
ANI,Deal.
ANI,"You know, I would have done it for 10."
IVAN,I would have gone to 30.
DAWN,Come with me.
DAWN,He’s not going to be happy. I’m telling you right now. He’s not going to happy.
ANI,Oh please.
ANI,Hey Jimmy.
DAWN,Go ahead. Tell him.
DAWN,Tell him. Cause I don’t want to.
ANI,I am Dawn. Thank you.
JIMMY,Whoa. Whoa. What’s going on?
DAWN,What’s going on is she wants a week off. That’s what’s going on.
ANI,I thought you wanted me to tell him.
DAWN,You see what I deal with. I had the schedule done... already distributed. And she pulls this last minute.
JIMMY,What? We just gave you New Year’s.
ANI,"Jesus Christ Jimmy. When I’m getting health insurance, worker’s comp and a fucking 401k, you can tell me when I work and not work."
JIMMY,Thank you Ani! Love you! Thank you very much.
ANI,"Um, I don’t know what you’re talking about, but anyway I’m not taking any more shifts this week."
JIMMY,Thank you Ani! Love you! Thank you very much.
ANI,Back next Tuesday.
VERA,Today is Tuesday.
ANI,Correct. And I’ll be back next Tuesday.
VERA,That’s a week.
ANI,You got that right.
CRYSTAL,So you’re Russian?
