character,dialog
PAUL,"Fuck her, man. It’s how things are done. It’s just a fucking round of golf! You’d think we were taking clients to a strip club or something-"
JIM,which we can’t anymore
PAUL,Exactly we can’t even do that anymore because of last year’s Christmas party.
JEZ,I think it’s because the golf club doesn’t let women play there.
PAUL,So?
JEZ,So...it means we’re having client meetings without her.
PAUL,Look she should focus on closing her own shit. Not whining because we’re all doing better than her.
PAUL,Jesus.
PAUL,"Look at that. God almighty. Get some dignity, sweetheart."
PAUL,"You know. They put themselves in danger, girls like that. If she’s not careful someone’s going to take advantage and then she’ll be the one in tears tomorrow morning."
JIM,She’s kinda hot.
PAUL,She’s a hot fucking mess.
PAUL,I mean look at that.
JEZ,"Hey guys, I was thinking maybe we should talk to Brian again. I think he might be coming round to-"
PAUL,"I’m sorry that is asking for it. You’d think you’d know better by her age, wouldn’t you? Where are her friends? Fucked off somewhere and left her lying around for anyone to pick up."
JIM,"Sounds like a challenge, Paul."
PAUL,Yeah. Maybe.
JEZ,I’ll go over.
PAUL,Ooooooh!
JIM,Didn’t know you had it in you!
JEZ,To see if she’s ok.
PAUL,"Sure, sure. Mmmm-hmmm. Absolutely."
JEZ,You ok? What are you looking for?
CASSANDRA,Phone.
CASSANDRA,S’not here.
JEZ,Could you have left in...in the bathroom maybe?
CASSANDRA,I...maybe...
JEZ,I’ll go look.
JEZ,No phone in there. I’m sorry. Are you going to be ok?
CASSANDRA,Oh yeah.
JEZ,How are you going to get home?
CASSANDRA,The ryde app.
JEZ,I think you need a phone for that.
CASSANDRA,...Oh...
JEZ,"Look, I’m going home now anyway. I can drop you somewhere?"
CASSANDRA,No...
JEZ,Honestly. It’s fine.
JEZ,There we are.
MONTY,I just got my car cleaned.
JEZ,She’s fine.
CASSANDRA,I’m not going to throw up...I don’t think...
JEZ,"There you are, sir, she’s not going to throw up."
JEZ,"Hey, you know, my apartment is only a few blocks away. You wanna...um...maybe have a drink before hitting the hay?"
CASSANDRA,Um...
JEZ,"I mean, it’s literally just here. One beer?"
CASSANDRA,Um...
JEZ,"Hey, could we go to 242 Raleigh Drive instead? It’s a couple of blocks."
MONTY,Put the address in the app.
JEZ,Sorry...it’s a mess. Embarrassing. I wasn’t expecting...
JEZ,"What can I get for ya, milady?"
JEZ,We have beer...vodka...and...
JEZ,And a kumquat liqueur my parents brought back from Greece.
CASSANDRA,Kumquat...?
JEZ,Kumquat it is!
CASSANDRA,D’you...live alone here?
JEZ,No. But don’t worry. My roommate’s out of town.
CASSANDRA,Ugh. That’s disgusting.
JEZ,You’re so beautiful.
CASSANDRA,Thanks.
JEZ,Wow.
CASSANDRA,I don’t feel good. I need to lie down.
JEZ,Oh...yeah of course!
JEZ,"Hey, hey. Don’t go to sleep."
JEZ,"God, you are so pretty."
CASSANDRA,What...
JEZ,Shhh...
CASSANDRA,Wait...
JEZ,"Don’t worry, hey, it’s ok, you’re ok. You’re safe."
CASSANDRA,What...
JEZ,"God, your body."
CASSANDRA,What are you...
CASSANDRA,What are you doing?
CASSANDRA,Hey. HEY!
CASSANDRA,I said: what are you doing?
STANLEY,Didn’t hear you come in last night.
STANLEY,Everything alright?
CASSANDRA,I had to work late.
STANLEY,The coffee shop closes at nine.
CASSANDRA,We had to do inventory.
SUSAN,You have to do a lot of inventory at that place. You should speak to the manager.
CASSANDRA,I will.
GAIL,"You look tired, Cassie."
CASSANDRA,"Aw. Thank you, Gail!"
GAIL,Want a coffee? Head office sent over this new blend from Zanzibar to try. It’s disgusting but really strong.
CASSANDRA,Sold.
GAIL,"You know, I was actually talking to Graham earlier. He says there’s a position opening up over there."
GAIL,And- don’t freak out- I want you to know I recommended you for it.
CASSANDRA,Why did you do that?
GAIL,"Because you’ve worked here for three years, this is a summer job for a stoned teenager, it’s not a career move. I’m pushing you out of the nest, honey. You’re stinking up the place with your sad little face."
CASSANDRA,But I like it here!
GAIL,No you don’t.
CASSANDRA,"Well, no, I don’t. But I like you. And I like..."
CASSANDRA,Working in a customer-facing role.
RUBY,"Great, could I have an oat milk, single-shot latte-"
CASSANDRA,No.
CASSANDRA,See?
GAIL,Cassie.
CASSANDRA,"Don’t ‘Cassie’ me. I’m fine, Gail. Really."
GAIL,"Johnny said he saw you at Fallout last week. Said you were completely hammered. On your own. He was worried. Look, it’s none of my business but-"
CASSANDRA,He must have seen someone else. I’ve never been there.
GAIL,Ok.
CASSANDRA,What can I get you?
GABBY,Um. A hot chocolate please.
JEFF,I’d never let my daughter go out looking like that. Nothing to the imagination.
CASSANDRA,Do you want me to freak those fuckers out?
GABBY,"No, no! Please don’t! Please don’t say anything. Please."
CASSANDRA,It’s alright. Don’t worry. Don’t worry about those creeps. Fuck ‘em.
CASSANDRA,On the house.
GABBY,Thanks.
JEFF,Jesus!
CASSANDRA,Would you look at that! Right in the crotch!
CASSANDRA,"Let me get you a fresh one, sir. Hope I didn’t burn you."
MAN,Can I get a cappuccino please?
CASSANDRA,Mmm hmm.
CASSANDRA,You want chocolate?
CASSANDRA,What?
RYAN,Cassandra?
CASSANDRA,Yes?
RYAN,It’s Ryan Cooper. We were in the same class together at Forrest! Doctor Hadid’s class.
CASSANDRA,Oh. Yeah. Ryan. Hi.
RYAN,God. What are you doing working here?
RYAN,Wait. No. I’m so sorry. That was so rude. I didn’t mean-
CASSANDRA,You didn’t mean what’s a promising young woman like me doing working at a shitty coffee shop?
RYAN,"No, I didn’t mean...I just thought...Oh man. There’s no way out of this, is there?"
CASSANDRA,Nu-uh.
RYAN,Can I go out and come back in again? I can do better next time.
CASSANDRA,Did you want chocolate?
RYAN,What?
CASSANDRA,On your cappuccino?
