character,dialog
ZOÉ,"To be honest, the way you describe the son's accident is disturbing. It’s so raw and vivid. You go into such detail, like in a documentary. It’s troubling to the reader, probably because it’s your life. Do you think we can only write from experience?"
SANDRA,Umm… no. Is that what you think?
ZOÉ,I think the emotion comes partly from knowing you experienced it.
SANDRA,What if you didn’t know?
ZOÉ,"That's beside the point, we do know."
SANDRA,I wasn’t there when the accident happened.
ZOÉ,"Ah, ok! But it was real, it happened in your life. Your stories never come purely from your imagination."
SANDRA,"Look: We meet. I don’t know you, and we only see each other once. Something about you intrigues me, I don’t know, a song that you mention, whatever. I think, oh, she’s unusual, we could be friends. For one reason or another, we never see each other again. But I start imagining your personality, or maybe how you came across that song you mentioned… and that leads me to an interesting story. I decide to put you in the book I’m writing. That’s it, you’re in my book, and yet I don’t know you. What I do know about, is my interest in you. I can be honest about that. think, oh, she’s unusual, we could be friends. For one reason or another, we never see each other again."
ZOÉ,"Yes but still, you had to meet me. I’m real, in front of you, now."
SANDRA,That you are.
ZOÉ,"Ha ha! So, for you to start inventing, you need something real first. You say your books always mix truth and fiction, and that makes us want to figure out which is which. Is that your goal ?"
SANDRA,"What’s interesting is not that you're real, it's that you're sitting across from me and I don't know you. You're unknown to me."
ZOÉ,Yes but you write about things and people that you know...
SANDRA,"My life is not interesting. As soon as I start writing I destroy what I know, it becomes unknown. I write adventure books, and what is an adventure? It's living something you know nothing about."
ZOÉ,But the adventures that you write are based on--
SANDRA,"What would you write about, that you've experienced?"
SANDRA,That’s Samuel working upstairs… my husband.
ZOÉ,Oh!
SANDRA,"So, what interests you? What makes you so mad you want to explore it?"
ZOÉ,I don't want to be a writer.
SANDRA,"You don't have to write it, just talk! Like we’re talking now."
ZOÉ,You don't want to continue my questions?
SANDRA,"Sure I do, but we can chat too. Maybe we could ask one question each? That way no one’s frustrated."
ZOÉ,Are you really interested…
SANDRA,...in what interests you? Sure! I never see anybody. I work here all day long. You come to see me…you interest me!
ZOÉ,"I run. It's one of my favorite things to do. It makes me feel high, like I'm on drugs."
SANDRA,I told you we should've done this in Grenoble.
ZOÉ,"I’ll write your answers down. But I have many questions, maybe you don’t have time."
SANDRA,"I have time, don't worry. Time is not the problem."
ZOÉ,Cool. I'd like to discuss storytelling as investigation...
SANDRA,"I don’t like sports. Walking, yes; running, no."
SANDRA,"Ok, Zoé, we're gonna have to stop. You know what, I’m coming to Grenoble soon, I’ll give you a call. We must continue this conversation."
ZOÉ,Ok…
SANDRA,Sorry about this. Bye... see you soon!
DANIEL,Maman!
SANDRA,"Allô ? Mon mari est tombé du toit, venez vite !!… 264 route du Prieuré au Col de l’Exil, il bouge plus, y a plein de sang, IL FAUT VENIR TRÈS VITE !! On a besoin d’une ambulance !! Je sais pas, il est… sur le dos, son visage est vers le haut… NON je l’ai pas bougé... il respire plus !!!  Je sais pas ce qui s’est passé je viens d’arriver, de descendre, j’ai rien entendu… Je crois qu’il est tombé du 3ème étage !! Il faut un docteur tout de suite !!!"
MEDECIN LÉGISTE,"L’hématome au front ayant causé l’hémorragie mortelle correspond à un choc, soit avec l’angle tranchant d’une surface rigide  soit avec un objet rigide, reçu avec une grande violence, autrement dit un coup porté volontairement. La lésion est en haut de la partie frontale du crâne qui n’était pas en contact avec la surface du sol où la victime a atterri, cette lésion n’a pas pu résulter de la chute, mais l’a forcément précédée. Conclusion : il est pour l’instant impossible de déterminer s’il s’agit d’un choc avec une surface, ou d’un coup porté."
SANDRA,"Vincent, it’s Sandra… I know this is strange but, uh… Samuel, my husband, is dead… he fell from the roof… I think I need a lawyer; they told me I’m a “témoin assisté”… I thought of you, I know this is strange but I don’t know anyone else. The university gave me your number. Call me back quickly if you can…"
VINCENT,"Sandra, I got your message, I have to cancel a few things  but I think I can make it there sometime tomorrow morning. Tell me where I can meet you, and most important: don’t speak to anyone until I get there."
SANDRA,Thank you for coming…
SANDRA,"This is so weird… seeing you again, like this."
VINCENT,I didn’t realize it was so isolated…
SANDRA,Yeah…
VINCENT,Have you been living here long?
SANDRA,"No, less than two years. It’s Samuel who… he grew up here."
SANDRA,"How do we do this? You want to ask me some questions? I’m sorry, my French isn’t any better than when we met…"
VINCENT,English is fine. How many times have you been questioned?
SANDRA,Once here by the policemen and once by the investigative judge.
VINCENT,Tell me exactly what you told them about the day he died.
SANDRA,I told them what happened from the moment I was with the student until the ambulance got here. I was in the middle of a meeting with this girl and Samuel started blasting a song on repeat to piss me off and make her leave.
VINCENT,"Is that what you told them, that he’d played the song to piss you off and make her leave?"
SANDRA,"No, I just said he’d played the song super loud, and we had to stop; she was recording the interview and so it wasn’t possible anymore."
VINCENT,Good. Try to tell me exactly what you told them.
SANDRA,I said that I put an end to the interview and that she left. I went upstairs to my bedroom. That’s when I saw Daniel go out for a walk…
VINCENT,He wasn’t at school?
SANDRA,"He only goes two days a week, it’s in Grenoble. Just after the girl left, Samuel came down to see me in my bedroom. We spoke a little about what we were going to do that day, nothing special. He went back upstairs to work in the attic. I worked a little in bed."
VINCENT,You wrote? On your computer?
