character,dialog
MERRIMAN,"Just start, you filthy heap of scrap."
MARY,She’ll hear you one of these days.
MERRIMAN,I don’t care if she does
MERRIMAN,Don’t you just?
BUTLER,Mary? Merriman? Are you ready?
BUTLER,"Yes, Mr Burkett."
WEISSMAN,Do you need any help? Are you O.K.7
CONSTANCE,Am I what
MARY,We’re quite all right. Thank you
IVOR,Excuse me but. is that. Lady Trentham?
IVOR,You don’t remember me. I’m William McCordle’s cousin Ivor Novello
CONSTANCE,Of course.
IVOR,"May I present a friend of mine from California, Morris Weissman? And —"
IVOR,I was wondering if we were all headed in the same direction
CONSTANCE,I dare say we might be.
IVOR,Well if you’re sure you don’t need any help
IVOR,Was that rea2iy Ivor Novello2
CONSTANCE,Could we get on before I freeze to death?
WILLIAM,Constance. Welcome
CONSTANCE,"If he has to call me by my christian name, why can’t he make it “Aunt Constance”? I’m not the upstairs maid."
SYLVIA,You know what he's like
CONSTANCE,I see he's still got that vile dog
SYLVIA,It's so typical. The ones you hate live forever. Have you had a horrid journey?
CONSTANCE,Fairly horrid
SYLVIA,You must be frozen Come and have some tea.
SYLVIA,Leave him alone. He knows what to do.
JENNINGS,Take the car round the back to unload it
JENNINGS,You’d better follow him Mrs Wilson’ll look after you.
MRS WILSON,"Just leave everything in one pile, make sure it’s properly labelled and it’ll be taken up."
BARNES,These are the guns. Where’s the gun room?
MRS WILSON,"At the end on the left You’ll find the keeper, Mr Strutt, in there. He’ll show you what to do."
BARNES,I know what to do
BARNES,Yes2
BARNES,Hello.
MERRIMAN,The Countess of Trentham.
MRS WILSON,"Leave them over there by the luggage lift and tie this to the top one.You’ll find the chauffeur, Mr Raikes, in the courtyard. He’ll tell you where to put the car. You’ll sleep in the stable block with the grooms"
MRS WILSON,"Her ladyship is iu the Blue Damask Room You’ll be sharing with the Head Parlourmaid.She’ll show you where everything is. Elsie, this is Miss Trentham."
MARY,"Excuse me, m’m, but, my name’s Maceachran"
ELSIE,Not here it’s not
MARY,What about the jewels?
ELSIE,This way. George is in charge of the safe. He’s the First Footman And you want to watch where he puts his hands..
ELSIE,Have you got the ones for tonight?
MARY,Oh..
ELSIE,Always take a separate box with the first night’s jewels. Saves bother
MRS WILSON,"Elsie, this is Lord Stockbridge’s valet Show him the footmen’s staircase, will you? And he’ll need the ironing room"
ROBERT,The name’s Robert Robert Parks.
MRS WILSON,I meant to say you'll be sharing with Mr Weissman's man You could have gone up together but I don't know where he's got to.
ELSIE,Has his lordship’s luggage gone up?
ROBERT,"Supposedly. He’s in the Tapestry Room wherever that is Oh well, here, we go again"
ROBERT,That’s just it I’ve never done a house-party before. Not properly.
ROBERT,You’ll be all right
ELSIE,How d’you manage to be taken on as a countess’s lady’s maid if you didn’t ’ave no experience?
ELSIE,She wants to train me. She said she didn’t care about experience
ELSIE,"She didn’t want to pay for it, you mean."
MRS CROFT,Get on with your work. Yes?
HENRY,I just -
MRS WILSON,"Ah, Mr Weissman, there you are"
MRS CROFT,"I'm dealing with this What is it, Mr Weissman?"
MRS CROFT,"Well, to start with my name is Denton Henry Denton."
MRS WILSON,"You are here as valet to Mr Weissman. That means you will be known, below stairs, as Mr Weissman for the duration of your stay. You'll find we keep to the old customs. It avoids confusion."
HENRY,It’s about Mr Weissman’s diet -
HENRY,Yes?
HENRY,He's a vegetarian
MRS CROFT,A what?
HENRY,A vegetarian He doesn’t eat meat He eats fish but not meat
MRS CROFT,"Well, I never."
HENRY,I’m sorry if it’s inconvenient.
MRS CROFT,"Well, it’s not very convenient, I must say Doesn’t eat meat? He’s come for a shooting party and he doesn’t eat meat?"
HENRY,Mr Weissman doesn’t intend to shoot. I think he just wants to walk out with them Get a bit of air
MRS CROFT,Get a bit of air7
MRS WILSON,"Thank you. We’ll make the necessary adjustments. Now, if you’d like to get one of the servants to take you upstairs. Mr Weissman is in the Mulgrave Room and you’ll be sharing with Lord Stockbridge’s valet."
MRS CROFT,"He’s very full of himself, I must say. Doesn’t eat meat!"
MRS WILSON,"Come along, Mrs Croft We don’t want to be thought unsophisticated, do we? Mr Weissman is an American. They do things differently there."
MRS CROFT,I’ll give her ’unsophisticated’!
MRS CROFT,fat are you gawping at? Those are no good I said ’julienne. ' And Ellen that is ice-cream you are churning not concrete Calm down
ELSIE,"I thought ladies’ maids never wore aprons. Her ladyship used to have a French	  maid who wore a black one like this.She thinks it’s got a bit of style"
ELSIE,"I bet she does. And I’ll bet she took it out of your wages, too. She likes to have everything just so"
ELSIE,Don’t they all?
ELSIE,That’s him!
ELSIE,Nbo’d you mean2
ELSIE,"Ivor Novello. He passed us on the road today, on his way here, and he spoke to me. Well.: he spoke to her ladyship but I answered,"
ELSIE,I only cut it out for Garbo. I prefer the American stars I think they’ve got more oomph.
ELSIE,Go on. Is he really Sir William's cousin? Imagine having a film star in the family. Lady Sylvia must be thrilled.
ELSIE,I don't think
MARY,by wouldn't she be?
ELSIE,Because she's a snobbish cow. Because she looks down on anyone who got to the top with brains and hard work Just like she looks down on her husband. Except when it’s time to foot the bills. Then she’s got her hand out all right.
MARY,"What was her family, then?"
ELSIE,that you’d expect Toffee-nosed and useless. Her father was the Earl of Carton which sounds good except he didn’t have a pot to piss in.What’s she like to work for?
ELSIE,Horrible but he. he’s O.K.. Come on. We’d better get cracking.
PROBERT,"Can’t think why I’m so behind today The gong hasn’t gone, has it?"
MRS WILSON,"Oh no, you’ve plenty of time yet"
PROBERT,'Cos you know what a fuss he’s in when he’s playing Mine Host. .I think I'll go and get him a paper if there's time.
MRS WILSON,George? What are you up to? Hasn't Mr Jennings given you anything to do?
GEORGE,I’m just going to help him with the tea Then I'm to finish the table with Arthur
MRS WILSON,Well get on with it then
MAN,"What do you mean “no""7 You promised!"
YOUNG WOMAN,"I never promised! I said I’d do my best., Anyway, I’m going to ask him tonight."
MAN,You’d bloody well better! What -
FREDDIE,It’s all right. It’s nobody
ISOBEL,You shouldn’t sneak up on people like that
ISOBEL,"Sorry, Miss Isobel."
FREDDIE,"Do you really think you’ll have a 	 chance to talk to him tonight?"
