character,dialog
YOUNG COP,How’s that going?
OLDER COP,The mother’s bawling and the uncle’s pissed off.
YOUNG COP,She’s not married?
OLDER COP,Divorced with four kids. I guess Father was helping out.
YOUNG COP,Helping out?
OLDER COP,"Hey, Mr. Burke. They’re in the back talking to the Bishop."
BURKE,And Father?
OLDER COP,We put him in the break room.
BURKE,Any press?
OLDER COP,"Some guy from the Citizen, but we sent him away. None of the big papers."
BURKE,Let’s keep it that way.
YOUNG COP,Who’s that?
OLDER COP,Assistant DA.
YOUNG COP,Gonna be hard to keep the papers away from the arraignment.
OLDER COP,What arraignment?
OLDER COP,You can tell Father Geoghan it won’t be much longer.
BISHOP,"Sheila, you know what good work the church does in the community. I give you my personal guarantee that I’m going to take Father out of the parish and this will never happen again."
BISHOP,"We’ll just be another moment, Paul."
BURKE,"Of course, Father."
BISHOP,"Now Sheila, I’m going to give you my personal card..."
BEN,"Losing good reporters, it’s tough. And losing one of our best... well to put it as eloquently as I can, it’s a real kick in the ass."
BEN,But Robby’s known Stewart longer than most of you have been alive so I’m gonna turn it over to him. Robby?
ROBBY,"Thanks, Ben. I think. And although I take issue with the reference to my seniority, I will say Stewart’s departure is especially painful for me. You see, for... what? 20 years now, Stewart’s been more than willing to part with his money at the poker table... And I got a kid in college."
STEWART,"Yeah, but I’m gonna keep playing."
ROBBY,"Problem solved. Godspeed, buddy."
ROBBY,"Now, Stewart, I find the timing of your departure a bit disconcerting. The corner office sits empty, the new editor arrives on Monday, so forgive me, buddy, but I gotta ask... what the hell do you know?"
MATT,How’s the cake?
SACHA,It’s really good.    Saving yours?
MATT,"Nah, it’s for Mike. I can never eat at those things. They kind of depress me."
SACHA,I know. You see the numbers from Washington?
MATT,Yeah.     Very interesting.
SACHA,I think so too.
MATT,SACHA
ROBBY,"Yes, I am."
MIKE,You think it’s about Spotlight?
ROBBY,"I don’t know, Mike, but I do know Ben needs an answer on the crime numbers story."
MIKE,"I’m telling you, I really don’t think that story’s for us."
ROBBY,So you did get Cahill to talk then?
ROBBY,Mr. Baron.
ROBBY,Walter Robinson. Robby.
MARTY,"Thanks for taking time out of your weekend, Robby."
ROBBY,My pleasure. What are you reading?
MARTY,‘The Curse of the Bambino.’
ROBBY,"That’s a great book. The Globe has season tickets at Fenway, once you settle in."
MARTY,A couple of months.
ROBBY,"Yeah, we don’t like to rush it. Once we settle on a project, we can spend a year or more investigating it."
ROBBY,Is that a concern?
MARTY,"Not necessarily. Uh, but from what I understand readership is down, the Internet is cutting into the Classified business and, uh, I think, uh, I’m going to have to take a hard look at things."
ROBBY,So you anticipate more cuts?
MARTY,"I would assume so, yes, but what I’m more focused on right now is finding a way to make this paper essential to its readers."
ROBBY,I’d like to think it already is.
MARTY,Fair enough. I just think we can do better.
ROBBY,Mr. Bradlee.
BEN,Hey. Saw the email on the PD numbers. Looks interesting.
ROBBY,Yeah.    There’s something there.
BEN,How much longer you need?
ROBBY,Another week.
BEN,Where are you going?
ROBBY,To the 10:30.
BEN,You?    Since when?
ROBBY,"Technically, I am an editor."
BEN,Technically. Your sit-down with Baron go that well?
ROBBY,I couldn’t get a read on him.
BEN,That’s a first.
ROBBY,How ‘bout you?
BEN,He’s a barrel of laughs.
HELEN DONOVAN,"Morning everyone. Let’s get started. Do you want to say something, Marty?"
MARTY,"Uh, sure. Hello. As most of you know by now, my name is Marty Baron, I’m delighted to be here. If you can tell me your name as we go around, that would be helpful."
HELEN DONOVAN,Okay.   Peter?
CANELLOS,"Peter Canellos, Metro. We’ve got a major Big Dig closure that’s just been scheduled for early August..."
MIKE,Hey Steve.     Crappy game last night.
KURKJIAN,They can’t hit worth a nickle.
MIKE,What’s Eileen McNamara doing in the 10:30?
KURKJIAN,"Do you need something, Mike?"
MIKE,No.   Just curious.
KURKJIAN,"I got work to do. Go be curious somewhere else, will you?"
CANELLOS,EILEEN MARTY BEN
MARTY,CANELLOS MARTY
ROBBY,Gutsy call for the first day.
BEN,That’s one word for it.
ROBBY,How do you think it’s gonna play down front?
BEN,I think Gilman’s gonna shit a brick.
MIKE,Hey.
BEN,Door.
MIKE,How’d it go?
ROBBY,Baron wants to sue for the sealed docs in the Geoghan case.
MIKE,He wants to sue the church?   That’s great.
BEN,We covered Geoghan when the story broke three years ago. Baron was still in Miami.
ROBBY,I think he was at the Times then.
BEN,He wasn’t here.
MIKE,You think the suit has a chance?
ROBBY,Depends on the judge.
BEN,And what parish he belongs to.
BEN,Bradlee. Yeah.    Okay. Baron wants to talk to us.
ROBBY,Us?
MARTY,"Okay, thank you. Yes. Okay, thanks."
MARTY,I set up a meeting for tomorrow with outside counsel...
BEN,Jon Albano?
MARTY,Yeah.
BEN,Who’s the Judge on this case?
MARTY,"Uh, Constance Sweeney."
BEN,Tough.
MARTY,Why’s that?
BEN,Good Catholic girl.
MARTY,"Judging from what I’ve read, it doesn’t seem like we’ve done a thorough investigation of the Geoghan case. Is that right?"
BEN,No it’s not. We looked hard at Geoghan. David Armstrong for Metro and Michael Paulson for Religion.
MARTY,"Okay, but, uh, just so I understand, beyond our daily coverage, we haven’t committed any long term investigative resources to the question of whether or not Cardinal Law knew about this?"
BEN,"No, we haven’t."
MARTY,And that’s the kind of thing your team does?
ROBBY,"Spotlight? Well, yeah, but we’re still prospecting the Boston PD story I told you about."
MARTY,Could you set it aside?
ROBBY,We could.
BEN,"Marty, in the past, Spotlight has had success in large part because they pick their own projects."
MARTY,Would you consider picking this one?
MIKE,I vote yes.
ROBBY,"No, we’re just setting it aside for now. I don’t need to tell you guys, we need to be more discreet than usual. Everybody’s gonna be interested in this, not just the Herald. I don’t want the Chancery getting wind of this before we know what we have."
MATT,Good luck with that.
SACHA,"When are you leaving, Nana?"
NANA,The bus is picking us up in the church parking lot at nine o’clock. We have forty people going.
SACHA,Is Father Dominic going?
NANA,"No. He said, he’s very unlucky. But luck has nothing to do with it."
SACHA,Nana won a hundred and sixty dollars last time.
HANSI,Wow.
HANSI,You gonna tell her?
SACHA,We don’t even know if there’s a story yet.
HANSI,“Globe sues church?”    There’s gonna be a story.
MARTY,"Excuse me, do you know where the Publisher’s office is?"
GILMAN,"Thanks, Tom. Will do. How are you, Marty? Settling in?"
MARTY,"Yes, I think so."
GILMAN,Good. What can I do for you?
MARTY,I’d like to challenge the protective order in the Geoghan case.
GILMAN,You want to sue the Catholic Church?
MARTY,We’re just filing a motion. But yes.
GILMAN,You think it’s that important?
MARTY,Yes.     I do.
GILMAN,"Because, obviously, the Church will fight us very hard on this. Which won’t go unnoticed by our subscriber base. 53% of them are Catholic."
MARTY,"Uh, I think they’ll be interested."
GILMAN,Okay.
GILMAN,Marty? Lake Street will probably contact you about a face to face with the Cardinal. It’s customary.
MARTY,They already have. It’s set up for next week.
GILMAN,I wouldn’t mention this.
MATT,Hey Lisa. Could you pull all the relevant clips on that for me?
LISA TUITE,Yeah. This is for Spotlight?
MATT,"Just drop them off when they’re ready, thanks."
MIKE,Hello.   Hello?
PARALEGAL,Can I help you?
MIKE,Oh. Hi. I’m Mike Rezendes from the Boston Globe. I’m here to see Mitchell Garabedian.
PARALEGAL,He’s on a call. Please have a seat.
ERIC MACLEISH,The famous Walter Robinson in my conference room. ROBBY ERIC MACLEISH SACHA ERIC MACLEISH ROBBY
ERIC MACLEISH,"They’re kids. Shame. Guilt. And they come from tough neighborhoods, nobody wants to admit this kind of thing. So you’re screwed on the time limit and even if you argue your way around that, the charitable immunity statute caps damages at twenty grand."
SACHA,Twenty grand for molesting a child?
ERIC MACLEISH,That’s the way the system works. The Church is tough. So your best shot is to try these cases in the press like I did on Porter. But most victims want nothing to do with being on TV. And Mitch isn’t exactly a people person.
ROBBY,So if Garabedian can’t get these victims to talk to the press...
ERIC MACLEISH,Then he has a long road ahead of him. My guess? He doesn’t have anything on Law.
