character,dialog
MA,How are you Frankie?
FRANKIE WEST,I’m alright. How you doin’?
MA,Buddy? 
MRS FORD,"Hey you Moira, how are you?"
MOIRA,Very good thank you. How are you?
MRS FORD,I’m good. 
MOIRA,Hey Buddy!
MOIRA,Your Ma’s callin’ you. Yer tea’s ready. 
MOIRA,All the rest of you too. 
MRS FORD,How are you Buddy?
BUDDY,Hello Mrs. Ford.
MRS FORD,Have you been fighting any dragons?
BUDDY,Only a couple.
FRANKIE WEST,I got a couple in my house.
BUDDY,Is that right Mr. West? 
FRANKIE WEST,Aye. And can you lend us a shield Buddy?
BUDDY,I’ll see what I can do.
FRANKIE WEST,"Say hello to your daddy for me, will ya?"
BUDDY,Will do.
MRS KAVANAGH,Buddy your Ma’s callin’ you for your tea.
BUDDY,Thanks Mrs. Kavanagh.
MR STEWART,She says it’s tripe and onions.
BUDDY,She did not.
MR STEWART,In a sandwich. 3.
BUDDY,She did not. She says you’re a terrible man.
MR STEWART,She’s right.  
BUDDY,Mum?
MA,Buddy! Buddy!
MA,Keep your head down and don’t move. 
MA,Will!
MA,Wil!!
WILL,Get into the house Mommy! 
MA,Keep him there. And stay still. 
WILL,Ma what are you doing? 
MA,"Will, stay where you are!"
MICKEY CLANTON,You’ve been warned. Get these fuckers out o’ yer street. 
MICKEY CLANTON,"And if you talk to the Police, we’ll be back for you too."
MA,Holy God.
TV REPORTER,Belfast was in shock--
TV REPORTER,--this morning as the impact of last night’s rioting was all too clear. Small numbers of catholics still peacefully living in protestant areas were targeted. Their houses were attacked and marked. And intimidation may force them to leave...
TV REPORTER,their homes completely. Can these tightly knit neighbourhoods ever return to the peace they shared together only twenty four hours ago? Further reports...
MAN 1,.....look we need to get this barricade up before those kids come back.....
MAN 2,"........I’m taking all these paving stones to the barricade, ’m taking them all down....."
MAN 3,"......don’t you worry Paddy, we’re not gonna let them back here again. You’re as welcome on this street as any of us...."
MAN 4,....alright Buddy?...
WOMAN 1,....Fergus didn’t come home last night I’m gonna go see Mrs. McGuinness.....
MAN 5,"....we have to do this, the police aren’t going to protect us. We have to do it ourselves...."
WOMAN 2,.....kids please go inside. I don’t want you out here.... 
WOMAN ON THE BARRICADE,...watch yourself getting up there love....
TV REPORTER,"The likeliest move is to bring troops into Belfast in hope of avoiding further clashes between rioters and police, particularly the B specials. Another six hundred troops will be available this afternoon."
TV REPORTER,And now that the third battalion of the light infantry flying from Plymouth to block the gap left by the use of troops. A curfew is another possibility which has been widely mentioned...
PA,I’ve just come from the airport.....now. I’ve literally just come from the airport. I live in that street. That’s my kids there. I live at number 96. 
MRS FORD,Get up there quick! Quick! 
MA,Christ! 
SOLDIER,Where do you think you’re going love?
MA,To bring my husband home. That’s him on the other side there.
SOLDIER,Where’s he been then?
MA,None of your bloody business.
SOLDIER,Not with you in your hour of need? That’s a bit off isn’t it?
MA,He works away in England. By now MA and PA have seen each other and the tension increases.
SOLDIER,Oh does he now? What kinda work is that?
MA,He’s a joiner.
SOLDIER,I see. And has he joined any of these groups making all this mess in your street?
MA,He knew nothing about the whole bloody thing. That’s why he’s here now. He’s come over from his work to see to his family.
SOLDIER,Glad to hear it madam. 
FRANKIE WEST,"They nearly had you there, Steve McQueen! "
PA,"I’ll have you in a bloody minute, Frankie!"
MA,Come on you two.
WILLIAM SHATNER,Space. The final frontier...
WILLIAM SHATNER,...these are the voyages of the star ship Enterprise...
GRANNY,Did they attack you?
MA,"No, it was only the Catholic houses. Them Boyos want them out."
GRANNY,"But them peoples no bother to you in that street, are they?"
MA,"Not at all. Sure they’re friends.Their families same as us, they just kick with the left foot."
GRANNY,"Exactly! Sure my best friend in this street is Mrs Ganjawala, she’s Indian. She even comes to the wee mission with me. But them curries, I tried it once, I had to wear a nappy for a week. "
MA,Will! 
WILL,Ach mom...sorry Granny…
POP,She’s well used to handling herself.
PA,"It’s being so cheerful keeps you goin, isn’t it?"
POP,"Sure, I’m not goin be runnin’ up the Cave Hill anytime soon, am I? "
BUDDY,Hey Pop. 
POP,How are you Buddy.
PA,Does the Doctor want to see you again?
POP,"Aye, he’s give’ me a letter for the hospital."
PA,And did you go? 
POP,No point.
POP,I think you’ve got some big decisions to make son. 
POP,Did you clear up that wee bit of trouble we were talkin about? 
GRANNY,Hey wee fellas. We’re not deaf back here. 
TV EYE WITNESS 1,"Oh yes, we’ve friends on the protestant side."
TV EYE WITNESS 2,They weren’t friends last night...they weren’t friends last night...
BUDDY,"Paddy Kavanagh told me that as long as Catholics keep confessin everything bad that they do to a Priest, then they can do whatever they want, and God’ll forgive them all the time."
