character,dialog
RICHARD,"If there's one thing you take away from the nine weeks we've spent, it should be this: Winners and Losers. What's the difference?"
RICHARD,"Winners see their dreams come true. Winners see what they want, they go out and they get it. They don't hesitate. They don't make excuses. And they don't give up. Losers don't get what they want. They hesitate. They make excuses. And they give up. On themselves and their dreams."
RICHARD,"Inside each of you -- at the very core of your being -- is a Winner waiting to be awakened ... and unleashed upon the world. With my nine step ""Unleash the Winner Inside"" program, you now have the tools, the know-how, the insights you need to put your losing habits behind you and make your dreams come true. No hesitating! No excuses! I want you to go out into the world ... and be Winners~"
SHERYL,"... Yeah, I,m on my way now."
SHERYL,"... I don't know how long …I don't know ... ! Richard, he doesn't have anywhere else to go! "
SHERYL,"I'm not smoking... I'm not! Look, I'm at the hospital … Yeah, I'll pick up a bucket of chicken. Okay, bye."
FRANK,Well. That's one of us.
SHERYL,You want to talk? Or no?
FRANK,No. 
SHERYL,No
SHERYL,Hello! Anyone ... ?!
SHERYL,Down here. We have you with Dwayne.
SHERYL,He doesn't mind~ Frank. We talked.
SHERYL,"Dwayne? Hi, Uncle Frank's here."
SHERYL,We can't have you sleeping alone. The doctors said … I'm sorry. I have to insist.
SHERYL,"You'll get along fine. He's really quiet. Look, I set up a cot. Please, Frank? Please?"
SHERYL,Thank you. I gotta start dinner. Come out when you're settled? And leave the door open. That's important. I'm glad you're heree
SHERYL,"Dwayne, honey, there's a bucket of chicken in the car. Can you get it and I'll make a sal.ad?"
SHERYL,Olive?!
OLIVE,Yeah?!
SHERYL,Is Grandpa with you?!
OLIVE,Yeah!
SHERYL,What are you guys doing?
OLIVE,Rehearsing!
SHERYL,Okay! Dinner in ten minutes!
RICHARD,Hi.
SHERYL,Hi. Frank's here.
RICHARD,Oh. Did Stan Grossman call?
SHERYL,Check the machine.
MACHINE,Hello. You have one message.
SHERYL,Check the machine.
SHERYL,"Just put it on the table, hon. And can you set the table? We'll do paper plates tonight. I'll get cups and napkins."
JEFF,"Sheryl, hey, it's Jeff. Listen, great news. You know, when Olive was down here last month, she was runner up in the regional Little Miss Sunshine ... ?"
RICHARD,It's from Jeff. Fuck
JEFF,"Well, they just called me and said that the girl who won had to forfeit her crown. I don't know why -- something about diet pills but anyway, that means Olive won the regionals/ so now she has a place in the State contest in Boca. They want to make sure she can make it, so I said you'd call them ..."
JEFF,The woman's name is Lauren Henderson and her number ...
