character,dialog
BBC NEWS READER,Good afternoon. This is the BBC National Programme and Empire Services taking you to Wembley Stadium for the Closing Ceremony of the Second and Final Season of the Empire Exhibition.
BBC NEWS READER,"58 British Colonies and Dominions have taken part, making this the largest Exhibition staged anywhere in the world. Complete with the new stadium, the Exhibition was built in Wembley, Middlesex at a cost of over 12 million pounds. The Exhibition has attracted over 27 million visitors from every corner of our great Empire and the rest of the world."
BBC NEWS READER,"Today the vast Stadium is filled to capacity with in excess of 100,000 spectators...as regiments from His Majesty's Army, Navy and Air Force stand in review."
BBC NEWS READER,The Opening Ceremony was the first occasion his Majesty the King addressed his subjects on the wireless. The close of the first Season was the initial time His Royal Highness the Prince of Wales had broadcast. And today His Royal Highness the Duke of York will give his inaugural broadcast to the Nation and the World.
ELIZABETH,Time to go.
BBC NEWS READER,"Leading us in prayer will be the Right Honourable and Most Reverend Archbishop of York, Primate of all"
COSMO LANG,I am sure you will be splendid. Just take your time.
WOOD,"Let the microphone do the work, sir."
WOOD,"Thirty seconds, sir."
BERTIE,I have received from his Majesty the K-K-K
BERTIE,"...the King, the following gracious message..."
SIR BLANDINE-BENTHAM,"Inhale deep into your lungs. Relaxes your larynx, does it not?"
SIR BLANDINE-BENTHAM,Cigarette smoking calms the nerves and gives you confidence.
SIR BLANDINE-BENTHAM,If Your Highness will be so kind asto open his hand...
SIR BLANDINE-BENTHAM,Thank you so very much.
SIR BLANDINE-BENTHAM,Sterilized. Now...if I may take the liberty?...insert them into your mouth.
SIR BLANDINE-BENTHAM,Would you be so kind as to read.
BERTIE,I
SIR BLANDINE-BENTHAM,Just take your time. Relax
SIR BLANDINE-BENTHAM,Now if you would be so kind as to read. A wealth of words.
ELIZABETH,"Excuse me, Doctor. What is the purpose of this?"
SIR BLANDINE-BENTHAM,The classic approach that cured Demosthenes.
ELIZABETH,That was in Ancient Greece. Has it worked since?
SIR BLANDINE-BENTHAM,Now if you would be so kind as to read. A wealth of words.
SIR BLANDINE-BENTHAM,Fight against those marbles Your Royal Highness. Enunciate!
SIR BLANDINE-BENTHAM,A little more concentration your Royal Higness.
BERTIE,I nearly swallowed the damned things!
ELIZABETH,"Thank you so much, Doctor, it’s been most interesting."
ELIZABETH,"Temper, Bertie darling, temper. Tick, tock, tick, tock."
BERTIE,Insert marbles! He can insert his own bloody marbles....!
ELIZABETH,"You can’t keep doing this, Bertie."
BERTIE,I know. Promise me: no more.
ELIZABETH,Hello. Is anyone there?
LIONEL,I’m just in the loo
LIONEL,“Poor and content is rich and rich enough”
ELIZABETH,I beg your pardon?
LIONEL,"Shakespeare. I’m sorry, there’s no receptionist. I like to keep things simple. How are you Mrs Johnson? I’m afraid you’re late."
ELIZABETH,I’m afraid I am.
LIONEL,Where’s Mr Johnson?
ELIZABETH,He doesn’t know I’m here.
LIONEL,That’s not a promising start.
ELIZABETH,My husband has seen everyone to no avail. He’s given up hope.
LIONEL,He hasn’t seen me.
ELIZABETH,You’re awfully sure of yourself.
LIONEL,I’m sure of anyone who wants to be cured.
ELIZABETH,Naturally he wishes to be cured. My husband is required to speak publicly.
LIONEL,Perhaps he should change jobs
ELIZABETH,He can’t.
LIONEL,Indentured servitude?
ELIZABETH,Something of that nature.
LIONEL,Well have your hubby pop by...Tuesday would be good...to give his personal history and I’ll make a frank appraisal.
ELIZABETH,I do not have a “hubby”. We don’t ‘pop’. We never talk about our private lives. You must come to us.
LIONEL,"Sorry, Mrs J, my game, my turf, my rules."
ELIZABETH,And what if my husband were the Duke of York?
LIONEL,The Duke of York?
ELIZABETH,Yes the Duke of York.
LIONEL,"I thought the appointment was for “Johnson”? Forgive me, your Royal...?"
ELIZABETH,Highness.
LIONEL,Your Royal Highness.
ELIZABETH,Johnson was used during the Great War when the Navy didn’t want the enemy to know ‘he’ was aboard.
ELIZABETH,We are operating under the strictest of confidences.
LIONEL,Of course. I’m considered the enemy?
ELIZABETH,You will be if you remain un- obliging.
LIONEL,How did you find me?
ELIZABETH,The President of the Speech Therapists Society.
LIONEL,Eileen McCleod? She’s a sport.
ELIZABETH,Dr McCleod warned me your antipodean methods were “unorthodox and controversial”. I warned her...they were not my favorite words.
LIONEL,I succeed.
ELIZABETH,So she says.
