character,dialog
HARVEY MILK,This is Harvey Milk speaking on Friday November 18th. This is to be played only in the event of my death by assassination...
HARVEY MILK,"During one of the early campaigns, I started opening my speeches with the same line and it sort of became my signature..."
HARVEY MILK,"Hello, I'm Harvey Milk, and I'm here to recruit you."
HARVEY MILK,"If I was speaking to a slightly hostile or mostly straight audience, I'd try to break the tension with a joke..."
HARVEY MILK,"I know, I know, I'm not what you were expecting, but I left my high heels at home."
HARVEY MILK,"I fully realize that a person who stands for what I stand for - an activist, a gay activist - becomes the target or potential target for a person who is insecure, terrified, afraid or very disturbed themselves..."
DIANNE FEINSTEIN,"As President of the Board of Supervisors, it's my duty to make this announcement. Both Mayor Moscone and Supervisor Harvey Milk have been shot... and killed."
DIANNE FEINSTEIN,Police are looking for a suspect... Supervisor Dan White.
DAN WHITE,Something has happened.
HARVEY MILK,"Knowing that I could be assassinated at any moment, I feel it's important that some people should understand my thoughts.  I think that-- I wish I had time to explain everything I did. Almost everything that was done was done with an eye on the gay movement."
HARVEY MILK,Hey.  I'm Harvey.
SCOTT SMITH,"Okay, Harvey..."
HARVEY MILK,"Today's my birthday. No, today is actually my birthday. Well, tonight.  At midnight."
SCOTT SMITH,Really?
HARVEY MILK,"And, believe it or not, I don't have any plans.  People took me out after work..."
SCOTT SMITH,"Work?  So, that would be...  Let me guess.  Ma Bell or AT&T."
HARVEY MILK,"The Great American Insurance Company.  I'm part of the big, evil, corporate establishment that, let me guess, you think is the cause of every evil thing in the world from Vietnam to diaper rash."
SCOTT SMITH,You left out bad breath.
HARVEY MILK,So...  You're not going to let me celebrate my birthday all by myself are you?
SCOTT SMITH,"Listen, Harvey, you're kind of cute for a suit...  But I don't do guys over forty."
HARVEY MILK,"Well then, I'm in luck."
SCOTT SMITH,How's that?
HARVEY MILK,Because I'm still thirty-nine... And it's only eleven-fifteen.
HARVEY MILK,Where are you from?
SCOTT SMITH,"Jackson, Mississippi."
HARVEY MILK,"Well, this isn't Jackson, but you still can't respond to every strange man you meet on a subway platform. It's too dangerous."
SCOTT SMITH,Now you tell me.
HARVEY MILK,"There's nothing tougher than a New York City cop. They're arrogant, and they're everywhere. I'll show you the cruising spots, if you want, if you promise you'll be careful... little Scottie-san."
SCOTT SMITH,Are you on uppers or what?
HARVEY MILK,No. This is just... plain old me.
SCOTT SMITH,You're afraid of the cops?
HARVEY MILK,"I'm just discreet. I know a lot of people here. If they found out, I could lose my job."
SCOTT SMITH,"Oh. You're one of ""those."" I think you need a change of scenery. New friends."
HARVEY MILK,I need a change.
SCOTT SMITH,You're forty now.
HARVEY MILK,Forty years old and I haven't done a thing I'm proud of.
SCOTT SMITH,You keep eating like this and you'll be a fat ass by fifty.
HARVEY MILK,No. Don't you worry. I won't make it to fifty.
HARVEY MILK, Why don't we run away together?
SCOTT SMITH,Where to?
HARVEY MILK,"In those days, San Francisco was the place where everyone wanted to go...  To drop out... To fall in love..."
HARVEY MILK,"But by 1972, The Haight was boarded up. Crime-filled. Drug-filled. The new place for us refugees was this run down Irish Catholic neighborhood in Eureka Valley. Six blocks square... The Castro."
SCOTT SMITH,I cashed my last unemployment check yesterday...
HARVEY MILK,"Well, I hope you did something useful with it."
SCOTT SMITH,"I bought an ounce of pot.  I was just wondering if you had any plans, or thoughts... About us doing something to, you know, bring in an income."
HARVEY MILK,Don't move.
SCOTT SMITH,I suppose I can wait tables.
HARVEY MILK,No way.  I want you right here with me... Did you see place downstairs is for rent?
SCOTT SMITH,Yeah.
HARVEY MILK,I was thinking we could open a shop together.
SCOTT SMITH,What kind of shop?
HARVEY MILK,"One with very little overhead. Not too much work... A little one, just like Morris and Minnie Milk of Woodmere, New York..."
HARVEY MILK,Just a little to the left...
HARVEY MILK,Hello there.  I'm Harvey Milk.
MCCONNELLY,You're the new renters?
HARVEY MILK,Yes. Welcome to Castro Camera.
HARVEY MILK,"I want to join the, um...  What is it?  The Eureka Valley Merchant's Association.  I want to help in any way possible.  I'm no interloper. A Jew perhaps, but I hope you'll forgive that."
MCCONNELLY,"I don't think your application will be approved, Mr. Milk. This is a family neighborhood. Your kind are far more welcome on Haight street."
HARVEY MILK,"What ""kind"" do you mean, sir?"
MCCONNELLY,The Merchant's Association will have the police pull your license if you open your doors.
SCOTT SMITH,Based on what law?
MCCONNELLY,There's man's law and there's God's law in this neighborhood and in this City.  The San Francisco Police force is happy to enforce either.
HARVEY MILK,Thanks for the warm welcome to the neighborhood!
SCOTT SMITH,We pay taxes you know!
HARVEY MILK,We'll form our own business association!  Start with the gay- owned businesses... We'll take down the addresses of every customer that comes in for a roll of film. We'll ask them what they want to see done here... what they want changed... We'll get money rolling into this neighborhood. Revitalize it...
SCOTT SMITH,Can I come in now?
HARVEY MILK,One more minute! I'll go to the neighborhood banks. They must have some gay customers.
SCOTT SMITH,Harvey.  What's with all this political activist crap?  I thought you were a goddamn Republican.
HARVEY MILK,"I'm a businessman, Scott.  I think businesses ought to treat their customers right.  Even their gay customers. For God's sake, this is San Francisco!"
SCOTT SMITH,Harvey.  It's just like every other city in this country.  People hate us. Big surprise.
HARVEY MILK,"We should have at least one block in one city right? Start there and take over the neighborhood. Okay, you can come in now!"
SCOTT SMITH,Wow.  This is--
HARVEY MILK,Happy birthday!
HARVEY MILK,Thanks for joining the Castro Village Association!
HARVEY MILK,Excuse me gentleman... ladies. Hello! Mr. McConnelly!
HARVEY MILK,I just wanted to stop in and see how business was doing.
MCCONNELLY,Fine.
HARVEY MILK,"So you don't mind all these homosexuals in here, do you?"
HARVEY MILK,No. No. Just a joke. Mr. McConnelly here loves our kind. Spend away! Tell your wife Hello for me.
HARVEY MILK,"And people started hanging around our store. Not customers. Activists, kids, folks who needed a home away from home..."
HARVEY MILK,"There was Danny Niccoletta, a cute art student who I'd picked up at Toad Hall. Turns out he was also good at running the Camera Shop... something Scott and I found we had surprising little interest in..."
DANNY NICCOLETTA,"Opera is passe, Harvey. It's about street theater, now."
HARVEY MILK,"And somewhere along the line Jim picked up a protege, a cute political kid from Wisconsin... Dick Pabich... And of course there was Dennis Peron, who ran a very popular business with the new kids..."
HARVEY MILK,And on occasion we actually had a real customer. But only occasionally.
HARVEY MILK,"What you're not getting is the spectacle of it, the bigger than life emotions… Jim Rivaldo. A great mind. A great wit. A Harvard graduate, which nobody cared about, in those days, in the Castro... Including himself."
SCOTT SMITH,Harvey... This guy wants to talk to you.
HARVEY MILK,Welcome. What can we do for you?
ALLAN BAIRD,"Hi, I'm Allan Baird. Teamsters representative, and Director of the Coors beer boycott in California."
HARVEY MILK,"Everyone, this is Allan Baird. He's a very big deal, so behave yourselves."
ALLAN BAIRD,"I was told you were like the Mayor of the Castro, said you organized the CVA, you might know some people in the bars."
HARVEY MILK,"I do have friends in awfully low places, but just so you know, it's not official yet."
ALLAN BAIRD,What's that?
HARVEY MILK,"The Mayor part. I've considered gathering an army of queers to march up to City Hall and secede, but so far the young gays seem more interested in jeeps and jeans.  But if I could be of any use, I'm all ears!"
ALLAN BAIRD,"We can't get Coors to go union. These guys are like me, they can't be out of work too long."
HARVEY MILK,I'm just curious. Are we your first stop or your last?
ALLAN BAIRD,"It's been a tough one, Mr. Milk."
HARVEY MILK,"Well, you seem to have noticed that my kind of people drink a lot of beer. If we're going to fast for your sake, I think we should get to deliver some of it when you win this fight, don't you?"
ALLAN BAIRD,Is that what you really want?
HARVEY MILK,And allies. I'll have Coors out of every bar in the Castro by the end of the week. Deal?
ALLAN BAIRD,Thank you Mr. Milk.
HARVEY MILK,No more Coors beer. It's gotta come out of every bar. Gay and straight.
SCOTT SMITH,What's he giving you?
HARVEY MILK,Nothing for me. That's a convert.
SCOTT SMITH,A convert to what?
HARVEY MILK,The cause.
HARVEY MILK,"I got ""my people"" to get Coors out of all the Gay Bars. 30 million bottles worth in San Francisco alone. Coors beer immediately fell from number 1. They caved. One week later, union man Allan Baird hired the first ever openly gay union boys to drive Teamsters trucks... We weren't just a group of pansies anymore. We had a neighborhood. We had the unions. And for the first time, we had a little bit of power."
HARVEY MILK,"Maybe that was the day someone first called me the ""Mayor"" of Castro Street. Or perhaps I invented it myself."
YOUNG GAY MAN,"The fucking cops, man, they're up on Castro Street! Toad Hall."
COP,Clear the sidewalk!
HARVEY MILK,"...if we had someone in the government who saw things the way we see them, the way the black community has black leaders who look out for their interests--"
SCOTT SMITH,"You're gonna run for Supervisor, is that the idea?"
HARVEY MILK,"I could go right for mayor, but I think I should work my way up to it... You'll be my campaign manager."
SCOTT SMITH,Because I have so much experience in politics.
HARVEY MILK,"Politics is theater. It doesn't matter if you win. You make a statement.  You say, ""I'm here, pay attention to me."""
SCOTT SMITH,"Harvey, you do that every time you cross the street."
HARVEY MILK,Coors looks like it might cave. The union boys will owe me. Imagine if we get their vote... It'll be fun!
SCOTT SMITH,Fun?
HARVEY MILK,We'll make it a spectacle.
HARVEY MILK,"A week ago, Police officers came into our area with covered up badges and sent fourteen of our people to the hospitals, and to jail. The charges, ""Blocking a Sidewalk."""
HARVEY MILK,--Let us have our tax money go for our protection and not our persecution. Worry about gun control and not marijuana control.
HARVEY MILK,"School supplies, seniors, not what books I read--"
HARVEY MILK,"My fellow degenerates, I would like to announce my candidacy for San Francisco City Supervisor!"
HARVEY MILK,"Public dental care for retired people... Legalize pot, vote Milk."
HARVEY MILK,"Hey, I like the way your pants fit... Where are you from, kid?"
CLEVE JONES,"Sorry old man, not interested."
HARVEY MILK,Where's home?
CLEVE JONES,Phoenix.
HARVEY MILK,I'm Harvey Milk. I'm running for Supervisor. What's your name?
CLEVE JONES,Cleve... Jones.
HARVEY MILK,"Well Mr. Jones, we should walk up to my camera shop and register you."
CLEVE JONES,Fuck that. Elections of any kind are a bourgeois affectation.
HARVEY MILK,Is that right? Do you trick up on Polk Street?
CLEVE JONES,If I need the cash... But I'm selective about my clients.
HARVEY MILK,Tell me one thing before you get back to work then. What was it like to be a little queer in Phoenix?
CLEVE JONES,"I faked a lung disease to get out of PE. So what? What are you, some kind of street shrink?"
HARVEY MILK,"Sometimes. But what I'm saying is, Phoenix can change. But we have to start with our street: rent control, police abuse, pot, parks, seniors."
CLEVE JONES,"Well, good luck with all that."
HARVEY MILK,"You know what I think, Cleve Jones?"
CLEVE JONES,That you're gonna get somewhere if you keep talking?
