character,dialog
BENIGNO,"El escenario está lleno de sillas y mesas de madera. Salen dos mujeres en combinación, y con los ojos cerrados, como dos sonámbulas… ¡Te da un miedo que las pobres se choquen con todo…! Pero de pronto aparece un hombre con la cara más triste que he visto en mi vida y les va quitando a manotazo limpio las sillas y las mesas para que no tropiecen… ¡No te puedes imaginar lo emocionante que era!"
BENIGNO,"A mi lado había un hombre de más de cuarenta años, guapo, que lloró varias veces de emoción"
BENIGNO,¡Te he traído una sorpresa!
BENIGNO,Al final del espectáculo fui a los camerinos y le pedí a Pina Bausch un autógrafo para ti
BENIGNO,"Mira, está en ingles. Pero dice algo así como que…«¡A ver si superas tus obstáculos y te pones a bailar!»"
MATILDE,"¿Te importa quedarte esta noche, Benigno…? Mi hermana no puede quedarse hoy con los niños… y no sé con quién dejarlos"
BENIGNO,"¡Y por qué has venido! ¡Haberme llamado, mujer!"
MATILDE,¿No estoy abusando de ti? Esta semana ya te has quedado tres noches
BENIGNO,"No te preocupes. Con tener una tarde libre me basta, quiero hablar con los albañiles a ver si terminan de una vez de arreglarme la casa, que la tengo manga por hombro… y también necesito ir a enmarcar una foto…, y ya está."
MATILDE,Mi situación no va a mejorar… Si quieres lo planteamos en la Clínica… y que ellos decidan
BENIGNO,"Tú no tienes la culpa de que tu marido te haya dejado colgada, con tres crios… Vienes la noche que puedas, y la que no, me quedo yo. No necesitamos a nadie, entre los dos nos apañamos."
MATILDE,"Muchas gracias, Benigno. Le has quitado la nutrición enteral."
BENIGNO,"Sí, no la toleraba. Yo por la noche nunca se la pongo. Venga, vete tranquila."
MATILDE,Gracias.
BENIGNO,Le ha venido el periodo.
ROSA,Pues se le ha adelantado un día.
CONDUCTORA,"¡Seis toros y una mujer! El próximo miércoles en la tradicional plaza de Brihuega, Lydia González se encierra con seis toros… Seis toros son muchos toros, buenas noches, Lydia. ¿Por qué una decisión tan drástica?"
LYDIA,"Mi trabajo es torear… dos toros, seis o lo que me echen."
CONDUCTORA,Hay gente que dice que es porque muchos toreros se han negado a torear con Vd. por el mero hecho de ser mujer.
LYDIA,La gente puede decir lo que quiera.
CONDUCTORA,"Hay demasiado machismo en el mundo del toro, eso tiene que reconocérmelo… con excepciones, claro. Porque al Niño de Valencia no le importó compartir cartel con Vd. durante varios meses."
LYDIA,Eso ya pasó.
CONDUCTORA,"¿Cree que todo fue un montaje para promocionarse el y que cuando lo consiguió, la dejó?"
LYDIA,Le advertí en el camerino que no quería hablar de esto!
CONDUCTORA,"Pero hablar es bueno, mujer. Hablar de los problemas es el primer paso para superarlos, porque el Niño…"
LYDIA,¡Y dale!
CONDUCTORA,"Lydia, tesoro, no seas ordinaria, déjame terminar la pregunta. Porque el Niño de Valencia…"
LYDIA,¡Le advertí en el camerino que no iba a hablar de este tema!
CONDUCTORA,¡Tú en el camerino no me advertiste nada! Y no me gusta que digas eso porque la gente va a creer que aquí pactamos las entrevistas. Y yo no pacto nada. Yo sólo hago «vivo». Soy de las pocas que todavía se atreven
CONDUCTORA,"¡Como tú también deberías atreverte a reconocer que el Niño de Valencia te ha chuleado, las cosas como son! Un hombre que ha compartido contigo no sólo la fama y el albero, sino también la cama, te ha dejado tirada cuando a él le ha venido bien. Y yo quería que habláramos de eso, porque es un problema que tienen muchas mujeres, aunque no sean toreras. Lydia, tú olvidas que eres una persona pública y que el público tiene derecho a saber todos esos detalles que nos estás hurtando de mala manera. ¡Yo comprendo que es difícil, pero tienes que luchar, tienes que enfrentarte a los hechos y contárnoslos con pelos y señales y, hasta que no lo hagas, no serás una mujer libre!"
MARCO,"Quería consultarte… Me gustaría hacerle una entrevista a Lydia González… Sí, yo también la estoy viendo. ¡Es inaudito…! Me gustaría hacerle algo a fondo… ¿Para el dominical…? ¡Estupendo!"
NIÑO DE VALENCIA,¡Esa mujer se ha vuelto loca!
APODERADO,"Te lo está dedicando. Es capaz de dejar que el toro le saque las entrañas con tal de que tú lo veas. No debíamos haber venido, y menos tú."
APODERADO,El Niño tiene que centrarse. No puede andar perdiendo el tiempo con otras preocupaciones.
LYDIA,"Yo no pienso darle ninguna, pero dile que pase por el chalé a recoger sus cosas o que me diga dónde se las mando."
APODERADO,Mándamelas a mi casa.
LYDIA,"Que me lo diga él, yo contigo no tengo nada que ver."
MARCO,"¿Por favor, podría hablar un momento con Vd.?"
APODERADO,Te dije que no vinieras.
NIÑO DE VALENCIA,"Quería beber algo… y en algún momento, debería hablar con ella."
APODERADO,"Ni se te ocurra. Cuando las cosas se acaban, se han acabado. Le he dicho que mandara tus cosas a mi casa"
LYDIA,"Perdón, ¿qué decía?"
MARCO,Que si podía hablar un momento con Vd
LYDIA,Si me lleva a Madrid podemos hablar por el camino
MARCO,"Por mí, encantado."
MARCO,¿Quién le puso Lydia?
LYDIA,Mi padre
MARCO,Era como predestinarla desde que nació.
LYDIA,"Él siempre quiso ser torero, pero se quedó en banderillero. Fue la persona que más me apoyó en este mundo, pero se me murió hace un año…"
MARCO,Lo siento. El País me ha encargado un reportaje sobre Vd. para el dominical en color.
LYDIA,¿Escribe Vd. de toros? Su nombre no me suena.
MARCO,La verdad es que no entiendo nada de toros
LYDIA,"¡¿Entonces, qué hace aquí?!"
MARCO,"No entiendo de toros, pero sé mucho de mujeres desesperadas."
LYDIA,¿Quién le ha dicho que yo estoy desesperada?!
MARCO,Me dio esa impresión
