character,dialog
KI-WOO,NO.  Not you too “iptime.” Ki-Jung!  Upstairs neighbor finally locked up his Wi-Fi.
KI-JUNG,Try ‘123456789.’  Then try it backwards.
KI-WOO,No luck.
CHUNG-SOOK,"What am I supposed to do if someone calls me?  What if it’s a job?  Hey, Ki-Tek!"
CHUNG-SOOK,"I know you’re awake, asshole. Care to comment?"
KI-TEK,What?
CHUNG-SOOK,"Our phones have been suspended for weeks, and now the neighbors have shut us out.  What’s your plan?"
CHUNG-SOOK,"What are you going to do about it? What’s the plan, genius?"
KI-TEK,"Son, if one seeks Wi-Fi--"
KI-TEK,One must reach into the heavens. Up.
KI-WOO,"Yes, Father."
KI-WOO,Booyah!
KI-JUNG,You got it?
KI-WOO,You see it?  “coffeenara_2G”.  I guess it’s a new coffee joint. Must be nearby.
KI-JUNG,I’m not getting shit.
KI-WOO,Get up closer.
CHUNG-SOOK,"No text from Pizza Time?  2,000 more boxes and it’s payday."
KI-JUNG,Close the window.
KI-TEK,Leave it.  Free fumigation.  Get rid of the damn crickets.
CHUNG-SOOK,Shit!
KI-JUNG,I told you to close it!
CHUNG-SOOK,Fuck me.
KI-WOO,"Watch.  If we all fold like this girl, we might even get paid today."
PIZZA SHOP OWNER,Look at this for example.  This shitty folding job here.
PIZZA SHOP OWNER,One out of four. One-fourth of the boxes are unusable.
CHUNG-SOOK,"Still, you can’t cut ten percent from my pay.  That’s too much."
PIZZA SHOP OWNER,I should pay even less considering the number of botched boxes.
CHUNG-SOOK,We were barely making anything to begin with.
PIZZA SHOP OWNER,Look.  It’s not that simple.  Each ruined box exponentially tarnishes our brand’s image.
CHUNG-SOOK,Your “brand”?  You only have two stores in Seoul.  Fuck this.
PIZZA SHOP OWNER,What did you say?
KI-WOO,"It’s that kid, isn’t it?"
PIZZA SHOP OWNER,What are you talking about?
KI-WOO,"The part-timer at your shop.  He went MIA, didn’t he?  During such a crucial time too.  You have a large group order from The Love of Christ Church.  That’s why you and your husband are out here working your bottoms off."
PIZZA SHOP OWNER,How do you know that?  Who told you?
KI-WOO,"That kid, he’s my friend."
KI-JUNG,Totally unreliable.  Not-so- stellar reputation.
KI-WOO,"I understand you’re upset.  Ten percent?  Fine, we accept.  That’s completely within your authority. However--"
PIZZA SHOP OWNER,However what?
KI-WOO,Would you consider hiring a new employee?
KI-JUNG,Fire the loser who bailed on you.
KI-WOO,I can come in for an interview tomorrow.  What would be a good time for you?
PIZZA SHOP OWNER,Wait.  Hold on.  I need to think about this--
KI-TEK,What a special occasion.  The four of us gathered here to celebrate the partial reactivation of our phones as well as our son’s upcoming job interview with a national franchise.
KI-WOO,Cheers!
KI-TEK,To family! That son of a bitch.  It’s not even dark yet!
CHUNG-SOOK,How many times did I tell you?  We need to put up a “No Urinating” sign.
KI-TEK,It’ll make them want to do it even more.  It’s psychology.
KI-JUNG,Go yell at him or something!
KI-WOO,It’s not the right timing--
KI-WOO,I need to catch him in the act.
CHUNG-SOOK,Isn’t it fucking obvious?  Just kick him out!
KI-JUNG,I hate this place.
MIN-HYUK,"HEY, MISTER!"
KI-JUNG,Is that Min-Hyuk?
CHUNG-SOOK,It is.
MIN-HYUK,What do you think you’re doing? You think this is a public toilet?
DRUNK MAN,"I, uh--"
MIN-HYUK,What are you looking at!
KI-TEK,Your friend has mucho cajones.
CHUNG-SOOK,It’s that college student glow. Look at that confidence.
KI-JUNG,Which Ki-Woo obviously doesn’t have.
MIN-HYUK,"How are you, Mr. and Mrs. Kim!"
KI-TEK,"Min-Hyuk!  Good to see you, son!"
KI-WOO,What’s with the surprise appearance?
MIN-HYUK,"I texted you. Hey, Ki-Jung."
KI-WOO,We could have met somewhere else. You didn’t have to come all this way.
MIN-HYUK,I brought this.
MIN-HYUK,It’s heavy so I had to bring it on my bike.
KI-JUNG,What’s this?
MIN-HYUK,"When I told my grandfather I was going to see Ki-Woo, he gave me this."
KI-TEK,Whoa.
KI-TEK,This is a precious viewing stone. Is this an abstract specimen?
MIN-HYUK,"You know your stones, Mr. Kim. Pop-Pop’s been collecting viewing stones since his academy days. Our house is literally filled with these things -- living room, study, basement...  This one is supposed to bring luck.  And money."
KI-WOO,How perfect for us.  Symbolic.
KI-TEK,"Yes, how serendipitous.  Please send him our sincere regards."
CHUNG-SOOK,He should’ve brought food.
MIN-HYUK,"I had to bring that stupid rock, but it was nice to see your folks. They look good."
KI-WOO,They’re not as good as they look. They’re all jobless.
MIN-HYUK,Ki-Jung’s at home too?  She doesn’t take college prep classes?
KI-WOO,It’s not that she doesn’t want to. She can’t.
MIN-HYUK,"Cute, right?"
KI-WOO,Is that her?  The girl you’re tutoring?
